d_vendor_name,max_years,n
MKDS TRAINING,1.15,17
MLS OVERSEAS,11.18,485
MNP,7.01,294
MOBILE RESOURCE GROUP,4.58,96
MOBILE VALVE,2.47,65
MOBILITY LAB,1.11,41
MODERN NIAGARA ALBERTA,1.5,11
MODERN NIAGARA OTTAWA,8.92,33
MODIS CANADA,7.55,707
MOMENTUM SOLUTIONS,1.04,57
MONERIS,9.01,2
MONTREAL BRONZE,1.13,57
MOORE CANADA,6.5,75
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,7.01,1
MORIYAMA TESHIMA ARCHITECTS,6.52,3
MORNEAU SHEPELL,10.86,36
MORPHO CANADA,9.01,70
MORRISON HERSHFIELD,6.56,105
MOSS DEVELOPMENT,2.27,5
MOTOR COACH INDUSTRIES,1.99,3
MOTOROLA SOLUTIONS CANADA,10.01,1016
MQM QUALITY MANUFACTURING,0.47,1
MRS MANAGEMENT AND,3.72,1
MS CONSTRUCTION,2,162
MSC INDUSTRIAL SUPPLY,1.66,111
MTC LAW,8.03,1
MTE LOGISTIX EDMONTON,3.88,4
MTS ALLSTREAM,11.26,242
MUFACTOR,1,1
MULDER MEATS,0.01,218
MULTINATIONAL LOGISTIC SERVICES,0.1,76
MULTISHRED,5.58,44
MUNICIPAL READY MIX,2.33,14
MUNICIPALITY OF THE COUNTY OF KINGS,1,6
MURRAYS MILLWOOD MANOR,3.02,2
MURRAYS WINDERMERE GARDENS,3,4
MUSTANG HELICOPTERS,5.24,42
MUSTANG SURVIVAL,4.01,119
MWCO,4.78,7
N P A,1.45,6
N12 CONSULTING,3.93,18
"NACRIS",2.05,14
"NADINE INTERNATIONAL",4.47,40
"NAHANNI CONSTRUCTION",4.38,4
"NAILS ENTERPRISES 2007",1.11,96
"NAMMO PERRY",0.48,1
"NANOMETRICS",3.97,25
"NAPPAQ DESIGN CONSTRUCTION",1.92,2
"NARL MARKETING PARTNERSHIP",1.01,31
"NARL MARKETING PARTNERSHIP NORTH ATLANTIC",0.98,33
"NASITTUQ",10.99,5
"NATCO PHARMA CANADA",1.12,5
"NATIONAL ARTS CENTRE",6,26
"NATIONAL TEST PILOT SCHOOL",2.09,4
"NATIONS TRANSLATION GROUP",8.64,608
"NATIVE CLAN ORGANIZATION",3,3
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",7.84,14
"NATTIQ",4.75,133
"NAUT MAWT TRIBAL COUNCIL",0.98,11
"NAV CANADA",6.36,47
"NAVAMAR",3.35,21
"NAVENCO MARINE",2.18,2
"NAVPOINT CONSULTING GROUP",5.07,35
"NAVTECH",7.1,18
NCL NORTHERN CONTRACTING,1.38,7
NDL CONSTRUCTION,4.52,2
NELSON ENVIRONMENTAL REMEDIATION,0.68,8
NEOPRENE CANADA,2.15,61
NEPTEC DESIGN GROUP,3.88,13
NEPTUNE SECURITY SERVICES,5,33
NETAGEN COMMUNICATION,5.01,85
NEUROSCOPE,5.25,3
NEVADA AUTOMOTIVE TEST CENTER,3.4,1
NEW BRUNSWICK COMMUNITY COLLEGE,4,6
NEW ENGLAND BIOLABS,1,54
NEW ERA TOOL DIE,0.75,4
NEWDOCK ST JOHN S DOCKYARD,1.55,42
NEWENERGY COMMUNITY,0.82,9
NEWFOUND RECRUITING,5.08,121
NEWFOUNDLAND HELICOPTERS,2.92,86
NEWROCKET CANADA,3.16,7
NEWS CANADA,2.62,121
NEXTER SYSTEMS,2.76,2
NFOE,6.68,10
NICHE TECHNOLOGY,5,3
NIELSEN,3.5,66
NIKON CANADA,4.88,150
NIMBLE INFORMATION STRATEGIES,5.18,69
NISHA TECHONOLOGIES,6.31,2384
NISSAN CANADA,0.94,186
NITAM SOLUTIONS,1.62,279
NITRO CONSTRUCTION,2.07,6
NKE INSTRUMENTATION,1.16,29
NMC DYNAPLAS,0.94,1
NOKIA CANADA,2.01,20
NOLINOR AVIATION,0.96,52
NORDLYS ENVIRONMENTAL,3.25,3
NORDLYS ENVIRONMENTAL PARTNERSHIP,4,3
NORDMEC CONSTRUCTION,7.01,2
NORR,11.66,66
NORTAC DEFENCE,4,3
NORTAK SOFTWARE,6.64,26
NORTH AMERICA CONSTRUCTION,6.37,1
NORTH ATLANTIC PETROLEUM,0.98,192
NORTH BAY HYDRO,2,31
NORTH CARIBOO AIR,1.05,118
NORTH COUNTRY LOGISTICS,1.38,1
NORTH COUNTRY MAINTENANCE,5.13,2
NORTHEAST TREE TRIMMING,5.69,2
NORTHERN CONSTRUCTION,3.85,22
NORTHERN CONTRACTING,1.86,1
NORTHERN MICRO,6.06,3150
NORTHFIELD METAL PRODUCTS,0.99,136
NORTHROP GRUMMAN,10.01,13
NORTHSIDE DEVELOPMENT,4.84,3
NORTHWEST MARINE TECHNOLOGY,0.94,21
NORTHWESTEL,13.01,30
NORTHWIND INDUSTRIES,1.21,5
NORTRAX CANADA,1.21,48
NOTRA,3.73,29
NOVA CONSTRUCTION,2.01,2
NOVA NETWORKS,3,250
NOVA SCOTIA COMMUNITY COLLEGE,3.01,25
NOVA SCOTIA POWER,10.59,57
NOVIPRO,3,41
NP AEROSPACE CANADA,5.01,6
NRNS,5.2,14
NU VIEW HOMES,2.36,2
NUA OFFICE,1.38,140
NUCTECH COMPANY,10.41,4
NUIX NORTH AMERICA,5.01,44
NUIX USG,3,6
NUMBER TEN ARCHITECTURAL GROUP,6.82,90
NUMERIS,2,8
NUNA EAST,9.09,3
NUNAVUT ARCTIC SERVICES,5.34,2
NUR CONSTRUCTION,1.46,137
O HANLON PAVING,1.17,84
OCEAN NAVIGATION,0.11,11
OCEAN PACIFIC MARINE SUPPLY,6.49,11
OCR CANADA,3,76
OEI KRUEGER,1.03,552
OKANAGAN AGGREGATES,3.59,29
OKANAGAN HALFWAY HOUSE SOCIETY CRF,3.75,5
OLIN,3.45,15
OMNITECH ELECTRONICS,3,24
ONCIDIUM,4.33,4
ONIX NETWORKING CANADA,11.01,5
ONLINE CONSTRUCTORS,1.61,34
ONTARIO CLEAN WATER AGENCY,3.92,5
ONTARIO DENTAL ASSOCIATION,2,230
ONX ENTERPRISE SOLUTIONS,5.01,322
OPEN GEOSPATIAL CONSORTIUM,5,21
OPEN STORAGE SOLUTIONS,5.09,46
OPENFRAME TECHNOLOGIES,8.19,50
OPENTEXT,5.09,379
OPROMA,6.72,51
OPSIS,6.78,77
OPTIMUM SOLUTIONS,0.01,154
OPTIV CANADA FEDERAL,5.08,118
ORACLE CANADA,29.85,600
ORACLE CANADA MISSISSAUGA ON,1,3
ORANGUTECH,5.41,231
ORBIS RISK CONSULTING,5.01,139
OSHKOSH,1,1
OSI,7.98,1
OSI MARITIME SYSTEMS,19.01,7
OSKAR CONSTRUCTION,1.96,26
OSPREY ELECTRIC,0.9,27
OTIS ELEVATOR,26.02,91
OTTAWA BUSINESS INTERIORS,2.53,147
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,1.42,130
OTTAWA MOVING LOGISTICS 2013,4.01,26
OUTLAW EAGLE MANUFACTURING,2.08,23
OXFORD ECONOMICS USA,6.72,22
OXFORD NANOPORE TECHNOLOGIES,3.18,177
OXFORD UNIVERSITY PRESS,3.01,74
P B ENTREPRISES,2,7
P C MCNEILL CONTRACTING,1.73,17
P K WELDING FABRICATORS,2.6,3
P R CONSTRUCTORES DE C V,0,1
PACIFIC INDUSTRIAL MARINE,5.01,53
PACIFIC SAFETY PRODUCTS,5.01,110
PACWILL ENVIRONMENTAL,3.2,24
PAGEAU MOREL ASSOCIES,10.1,60
PAL AEROSPACE,10.92,88
PALADIN GROUP,6.49,446
PALFINGER MARINE,1.51,96
PAN AMERICAN DEVELOPMENT FOUNDATION,6.69,2
PANASONIC,1.16,271
PARKER JOHNSTON INDUSTRIES,0.75,4
PARKLAND,2,564
PARKLAND INDUSTRIES,2.38,321
PARKLAND REFINING,0.98,359
PARLEVIEW,4.01,1
PARSONS CANADA,17.31,62
PATLON AIRCRAFT INDUSTRIES,10.01,103
PATTISON SIGN GROUP,1.67,159
PAVEX,4.44,1
PCL CONSTRUCTORS,11.96,88
PECHERIES VILO,3.1,3
PEERLESS GARMENTS,6.04,33
PEMCO CONSTRUCTION,2.75,1
PENN CONSTRUCTION CANADA,3.75,5
PENNANT CANADA,4.89,4
PENNECON,9.01,110
PEPCO,1,222
PEPIN FORTIN CONSTRUCTION,0.72,1
PERCEPTICS,8.01,4
PERSISTENT SYSTEMS,6.76,23
PETER J KINDREE ARCHITECT,5.85,18
PETER KIEWIT SONS,1.96,3
PETERS CONSTRUCTION,2.37,18
PETRO AIR,3,1
PETRO AIR SERVICES,3.16,52
PETROVALUE PRODUCTS,1.59,186
PFIZER CANADA,4.93,6
PHASELOCK SYSTEMS INTERNATIONAL,15.01,316
PHILIPPINE AIRLINES,0.47,1
PHILSON,1.23,2
PHOENIX DRUG ALCOHOL RECOVERY,3,6
PHOENIX STRATEGIC PERSPECTIVES,3.67,74
PIDHERNEY S,1.55,5
PILITAK ENTERPRISES,3.42,7
PIONEER CONSTRUCTION,3.88,2
PIPE QUEST PROJECTS,4.4,2
PITNEY BOWES,9.92,236
PITTMAN S ENTERPRISES,1.45,10
PIVOTAL POWER,4,7
PK WELDING FABRICATORS,1.3,8
PLANET LABS,2.01,88
PLEIAD CANADA,5.01,131
PMB ELECTRICAL SERVICES,4,30
PME,1.21,6
PMG TECHNOLOGIES,3.02,146
PODOLINSKY EQUIPMENT,3.02,119
POINT HOPE MARITIME,2.55,10
POLARIS INDUSTRIES,2,292
POMERLEAU,6.78,34
PORT OF SPAIN HOLDINGS,1.5,17
PORTAGE PERSONNEL,5,77
PORTS 79,0.9,10
POSTMEDIA NETWORK,6.01,39
POWER AUCTIONS,7.08,4
PR3 MEDIAS,2.17,6
PRA,4.75,122
PRAGMATIC CONFERENCING,3,3
PRECISION ADM,1.05,1
PRECISIONIT,7.55,91
PREMISE DATA,2,1
PRICEWATERHOUSE COOPERS,10.76,932
PRICEWATERHOUSECOOPERS ESIT CANADA ENTERPRISE SERVICES IN JV,1.25,8
PRIMED MEDICAL PRODUCTS,1.24,3
PRIMEX PROJECT MANAGEMENT,8.57,45
PRINCE GEORGE ACTIVATOR,3,6
PRINTERS PLUS,6.42,407
PRO MEDICAL INDUSTRIES,1.01,1
PROCOM CONSULTANTS,6.95,214
PROLINE ADVANTAGE,0.99,1
PROLOGIC SYSTEMS,2.41,86
PROMAXIS,6.29,248
PRONEX EXCAVATION,3.58,2
PROOF EXPERIENCES,5,15
PROQUEST,3.96,171
PROSCI CANADA,4.01,327
PROTAK,2,6
PROTAK CONSULTING GROUP,4.22,232
PROVENCHER ROY ASSOCIES,8.44,22
PUBLIVATE,1.52,21
PURELOGIC,5.28,474
PURESPIRIT SOLUTIONS,7.01,595
PURKINJE,3,2
PUROLATOR,5,272
PYLON ELECTRONICS,5,6
QATAR AIRWAYS,0.91,6
QIAGEN,3.22,98
QINETIQ,4.23,33
QM ENVIRONMENTAL,1.89,48
QMR,8.61,1088
QUAD PRO CONSTRUCTION,2,3
QUADBRIDGE,5,33
QUANTUM MANAGEMENT SERVICES,7.59,190
QUARTZ NATURE,1.54,1
QUEEN S UNIVERSITY,6.01,117
QUESTEL ORBIT,5,19
QUINAN CONSTRUCTION,3,14
QUINTET CONSULTING,4.01,209
QUOREX CONSTRUCTION SERVICES,3.05,9
QUORUM,5.08,3
QUORUS CONSULTING GROUP,2.13,51
R C M MODULAIRE,5.5,2
R E GILMORE INVESTMENTS,5.81,71
R GUILBEAULT CONSTRUCTION,2.71,1
R J MACISAAC CONSTRUCTION,1.63,6
R LAMBA FORENSIC PSYCH SERVICE,6.01,2
R R INTERNATIONAL TRANSLATION,4,242
R W TOMLINSON,2.34,9
R2I,5.01,11
RACEROCKS 3D,2,5
RACING FORENSICS,4.75,2
RADIATION SOLUTIONS,6.88,35
RADWARE,1,2
RAFA LABORATORIES,4.22,4
RAINHOUSE MANUFACTURING CANADA,1.25,2
RALMAX,0.99,66
RAMPART INTERNATIONAL,6.01,295
RANDSTAD,7.77,824
RANDSTAD INTERIM INTERIM,1.74,14
RAPISCAN SYSTEMS,7.88,13
RATIO ARCHITECTURE INTERIOR DESIGN,3.7,20
RAVEN IT SECURITY,3,2
RAYMOND CHABOT GRANT,3,4
RAYMOND CHABOT GRANT THORNTON,8.21,465
RAYTHEON,15.96,32
REACH TECHNOLOGIES,2.3,4
REACTOR ENGINEERING GROUP,0.64,1
REDACTED,1.04,7
REDMANGO MEDIA,30.09,53
REDWOOD PERFORMANCE GROUP,2.41,23
REFORMAR,7.24,10
REGENT CONSTRUCTION,4.84,10
REGINA BUSINESS SYSTEMS,3,4
REHAB,8.01,4
RENK,5.25,1
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,2.12,144
REPUBLIC ARCHITECTURE,5.23,198
RESIDENCE CARPEDIEM,4,5
RESIDENCE LAFLEUR,3,4
RESOLVE MARINE,0.26,1
RESOLVE SALVAGE FIRE AMERICAS,0.25,1
REVISION MILITARY,5.01,12
REVOLUTION EVENTS,0.5,106
RGB MEDIA,1,69
RGT CLOUTHIER,2,39
RHEA,3.4,114
RHEINMETALL,8.05,93
RICOH,9.39,1713
RIGGS ENGINEERING,5.13,32
RIGHTWAY SANITATION,2.41,49
RIGHTWAY SANITATION SERVICES,4,177
RIKJAK CONSTRUCTION,1.04,16
RISK SCIENCES INTERNATIONAL,5.59,120
RJG CONSTRUCTION,4.3,47
RMS SOFTWARE,7.2,57
ROBERT ALLAN,2.59,16
ROBERTSON GEOCONSULTANTS,1,7
ROBERTSON MARTIN ARCHITECTS,6.48,37
ROCHE DIAGNOSTICS,5.04,75
ROCKWELL COLLINS CANADA,2,16
ROGERS,20.01,122
ROHDE SCHWARZ CANADA,5.09,68
ROLLING TIDES CONSTRUCTION,1.92,12
ROLLS ROYCE CANADA,7.03,10
RONA,1,178
RONALD J POIRIER PROFESSIONAL,6.89,1
RONDAR,5.54,28
ROOF TILE MANAGEMENT,1.44,3
ROSBOROUGH BOATS,3.55,33
ROSCOE CONSTRUCTION,2.52,29
ROSS AND ANGLIN,2.18,4
ROUDEL MEDICAL AND SURGICAL,1.48,2
ROXBORO EXCAVATION,5,3
RTG PROTECH,4.38,76
RUSH TRUCK CENTRES OF CANADA,1.01,11
RUSSEL METALS,7.26,310
RUSSELL CHERNOFF RAND THOMPSON,5.68,31
RUSSELL REDI MIX CONCRETE,0.35,2
RYCOM,6.34,15
S C A,0.43,20
S P GLOBAL MARKET INTELLIGENCE,5,216
S W WEEKS CONSTRUCTION,0.92,1
SAAB,12.96,42
SABA SOFTWARE,8.09,6
SABB CANADA,1.01,2
SABRINA BARNABE,3,18
SAFE FACE SHIELDS,1,1
SAFFCO,0.81,24
SAHO CONSTRUCTION,1.99,1
SALESFORCE CANADA,29.71,129
SALISH SEA INDUSTRIAL SERVICES,1.17,20
SALVATION ARMY,8.01,61
SAMSON ASSOCIES,10.1,869
SANDOZ CANADA,4.09,13
SANEXEN ENVIRONMENTAL SERVICES,1,1
SANEXEN SERVICES ENVIRONMENTAUX,6.17,42
SANI SABLE LB,4.79,14
SANI SPORT,0.94,42
SANOFI PASTEUR,10.85,42
SANTE MONTFORT,22.5,1
SAP,17.24,247
SAPPER LABS CYBER SOLUTIONS,2.02,1
SARTORIUS STEDIM NORTH AMERICA,4,38
SAS AIR,1.02,19
SAS INSTITUTE,5.01,246
SASKTEL,12.26,23
SCA SHIPPING CONSULTANTS ASSOCIATED,3.04,453
SCANSA CONSTRUCTION,2.52,6
SCHOELER HEATON ARCHITECTS,7.17,31
SCOTIA PALLETS,3,99
SCOUT ENGINEERING CONSULTING,0.93,1
SDL INTERNATIONAL CANADA,4,55
SEACOAST MARINE ELECTRONICS,0.84,41
SEAGATE CONSTRUCTION,2.68,13
SEAMLESS MECHANICAL SOLUTIONS,4,10
SEASPAN VICTORIA SHIPYARDS,13.8,16
SEAWATCH,3.96,7
SEAWAVES DEVELOPMENT SERVICES,1.18,2
SEAWAY CONSTRUCTION MANAGEMENT IN,3.02,3
SECURE ENERGY,1.12,10
SECUREKEY TECHNOLOGIES,9.65,8
SECURIGUARD SERVICES,4.33,2
SED SYSTEMS,5.09,2
SEEGENE CANADA,0.65,3
SEGUIN MORRIS,2.68,37
SELECT GLOBAL INTERNATIONAL,5,7
SELEX,6.78,2
SEMANTIC CONSULTING,5.25,7
SENSUS COMMUNICATION SOLUTIONS,4.84,87
SEPW ARCHITECTURE,10.52,31
SEQIRUS CANADA,6.01,2
SERCO,10.01,11
SERVICE STAR BUILDING CLEANING,6.25,25
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,6,4
SETANTA CONTRACTING,3.59,167
SEVEN SOUTH STREET TREATMENT CENTRE,7.01,4
SEYEM,1.22,1
SGS AXYS ANALYTICAL SERVICES,4.28,107
SGS CANADA,5,52
SHARP ELECTRONICS,12.01,500
SHAW CABLE,9.82,6
SHELL CANADA PRODUCTS,11.01,2089
SHELTER NOVA SCOTIA,8.01,3
SHI CANADA,5,239
SHM CANADA CONSULTING,5.09,97
SI SYSTEMS,6.86,1310
SIEMENS,7.09,459
SIERRA SYSTEMS GROUP,9.67,127
SIFEC NORTH,5.09,14
SIGN LANGUAGE INTERPRETING,3,87
SIGNATURE SUR LE SAINT LAURENT,34.82,1
SIKORSKY AIRCRAFT,21.37,1
SILLIKER,5.9,81
SIMEX DEFENCE,5.37,1121
SIMO MANAGEMENT,3.27,42
SIMONSON CONSTRUCTION,0.93,8
SIMPLEX GRINNELL,5.25,166
SIMPSON BUILDING CONTRACTORS,1.52,6
SITE ENERGY SERVICES,3.3,1
SKILLSOFT CANADA,6.99,30
SKOR CULINARY CONCEPTS,1.15,92
SKRETTING,2,145
SKY CANOE,1.16,1
SKYLINE ATLANTIC CANADA,4.85,15
SLR CONSULTING CANADA,5.09,171
SMITHS DETECTION,10.91,183
SMITHS MEDICAL CANADA,0.2,1
SNAP ON TOOLS,2,241
SNC LAVALIN,12.51,713
SOCIETE ACOLAD CANADA,3.89,28
SOCIETE EMMANUEL GREGOIRE,5.01,10
SOCIETE EN COMMANDITE KEVLAR,1,4
SOCIETE FRANCAISE DE DEMENAGEMENT,4,1
SOFTCHOICE,8.34,1428
SOFTSIM TECHNOLOGIES,5,87
SOFTWARE ENGINEERING OF AMERICA,2,4
SOLACE,4,5
SOLANA NETWORKS,5.01,7
SOLID CADDGROUP,4.1,57
SOLIDCAD,2.16,47
SOLOTECH,7.51,353
SOLOTECH QUEBEC,1.22,86
SOLUDOC,7.01,33
SOLUTIONS MOERAE,4.44,65
SOMOS,4.71,46
SONOBUOY TECH SYSTEMS STS,1.25,1
SOUCY INTERNATIONAL,2.71,8
SOUTHMEDIC,1,2
SOUTHWEST RESEARCH INSTITUTE,7.93,15
SOVO TECHNOLOGIES,7.92,8
SPARK POWER HIGH VOLTAGE SERVICES,4,11
SPARTAN BIOSCIENCE,1.01,1
SPEARHEAD MANAGEMENT CANADA,3.29,31
SPECIALTY BUILDING SERVICES,6.01,21
SPERRA CONSTRUCTION,1.68,8
SPRINGCREST,3.61,5
SPRINGER VERLAG,1,16
SPRINGHILL CONSTRUCTION,5.41,1
SQUAMISH INDIAN BAND,1,3
SRA STAFFING SOLUTIONS,3.8,36
SSCL,3,11
ST AIRBORNE SYSTEMS,3.97,13
ST DENIS THOMPSON,3.99,9
ST GELAIS MONTMINY ASSOCIES,8.63,29
ST JOHN AMBULANCE,7.01,25
ST JOSEPH PRINT GROUP,9.1,162
ST LEONARD S COMMUNITY SERVICES,8.01,6
ST LEONARD S SOCIETY HAMILTON,4,12
ST LEONARDS HOUSE WINDSOR,4,8
ST LEONARDS PLACE PEEL,3,7
ST LEONARDS SOCIETY OF NORTH VANCOUVER,6,5
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,5,2
ST OPS TACTICAL TRAINING CANADA,3.02,46
ST PATRICKS HOUSE SOCIETY,6,2
STAG CONSTRUCTION SOLUTIONS,1.3,17
STANDARD AERO,0.65,29
STANDARD AERO ATLANTIC,0.69,6
STANFIELDS,1.57,1
STANLEY CONSTRUCTION,2.98,9
STANTEC,8.72,2093
STAPLES ADVANTAGE CANADA,1.2,43
STEEPLE,2.48,64
STEPPED CARE SOLUTIONS,3.33,1
STERICYCLE,5.01,87
STERIS CANADA,5,115
STERLING FUELS,1.15,332
STERLING SWIFT,5.04,1
STIFF SENTENCES,4.88,45
STOEGER CANADA,3.1,4
STONEHENGE THERAPEUTIC COMMUNITY,3.17,2
STONEWORKDS TECHNOLOGIES,0.14,2
STONEWORKS TECHNOLOGIES,7.01,656
STOPS TACTICAL TRAINING,6.03,2
STRATOS,5.02,201
STRONG BROS GENERAL CONTRACTING,2.8,28
STRONG BROS HEATING AIR CONDITION,2.05,2
STRONGCO,0.31,13
STRYKER CANADA,5.28,29
STS MAINTENANCE 4527984 CANADA,2,2
STURGEON COUNTY,10.76,5
SUBARU CANADA,1.5,194
SUER AND POLLON MECHANICAL,3.06,2
SUER POLLON MECHANICAL,1.9,6
SUMMIT CANADA DISTRIBUTORS,3.01,107
SUN LIFE ASSURANCE COMPANY,17.2,25
SUNCOR ENERGY,2,747
SUNCOR ENERGY PRODUCTS,2,31
SUPER CHANNEL INTERNATIONAL,4,77
SUPERIOR PROPANE,5.53,154
SUPERMAX HEALTHCARE CANADA,0.75,2
SUPREMEX,7.01,179
SURE FORM CONTRACTING,2.85,1
SUSE SOFTWARE SOLUTIONS CANADA,3,12
SUSTEMA,6.11,25
SUTHERLAND EXCAVATING,3,409
SVEMY CONSTRUCTION,2.22,20
SWALLOW FOURNIER,2.05,2
SWITCH HEALTH,1.28,7
SYFT TECHNOLOGIES,5.78,3
SYLVIE ROY,3,31
SYM COMMUNICATIONS,4,46
SYMCOR,6,1
SYNERGIE MEDICALE BRG,5,1
SYNERSOLUTIONS TECHNOLOGIES,5,26
SYNTAGME,3.56,15
SYSCO,2.12,854
SYSTEMATIX SOLUTIONS,7.55,164
SYSTEMES URBAINS,2.35,3
SYSTEMS FOR RESEARCH,4.16,23
SYSTEMSCOPE,5.55,169
T J NOLAN CONSTRUCTION,5,160
T LANE TRANSPORTATION AND LOGISTICS,0.13,70
T R HINAN CONTRACTORS,2.23,5
TACS,0.23,32
TAG HR,4.75,280
TAI,0.23,9
TALIGENT CONSULTING,5.64,96
TANGLE RIDGE CUSTOM CRUSHING,2.56,9
TANKATEK,1.12,108
TANKATEK 6854265 CANADA,0.97,23
TATO RECRUITING S I SYSTEMS,2.13,3
TAURUS CONTRACTORS,1.68,27
TAYLOR FRANCIS,2.88,49
TCI INTERNATIONAL,4.01,6
TCI TRANSLATORS CONFERENCE,3,22
TDE CONSTRUCTION COMPANY,1.69,1
TDI INTERNATIONAL,3.04,6
TEAM CERTAS,7.28,1
TECHNE SEATING COMPONENT,0.99,101
TECHNO FEU,1.6,34
TECHNOMICS,3.52,11
TECHNOREM,12.45,34
TECSIS,4.38,18
TEEL TECHNOLOGIES CANADA,3.01,78
TEKNION,7.79,1844
TEKSYSTEMS CANADA,6.77,551
TELECOM COMPUTER SERVICES,5.08,637
TELECOMMUNICATION SUPPORT SERVICES,3.01,5
TELEDYNE,5,85
TELEPHONICS,5.06,7
TELESAT,11.22,55
TELFLEX TECHNOLOGIE,0.86,7
TELUS CANADA,15.63,919
TELUS HEALTH CARE CENTRES,6.07,15
TENAQUIP,3,337
TERAMACH TECHNOLOGIES,10.12,909
TERLIN CONSTRUCTION,6.47,6
TERRA SENSE ANALYTICS,3.01,10
TERRAGON ENVIRONMENTAL TECHNOLOGIES,2.08,8
TERUS CONSTRUCTION,1.36,4
TERVITA,4.56,45
TES CONTRACT SERVICES,5.23,124
TESTFORCE SYSTEMS,5.02,399
TETRA TECH,8.53,239
TEXTILES MONTEREY 1996,4,2
TFORCE LOGISTICS CANADA,6.01,5
THALES,8.34,168
THALES DEFENSE AND SECURITY,0.41,3
THE AIM GROUP,6.47,663
THE BOEING COMPANY,24.02,3
THE CALGARY AIRPORT AUTHORITY,2.4,2
THE CANADA LIFE ASSURANCE COMPANY,9.59,8
THE CANNINGTON ABORIGINAL VENTURE,0.1,2
THE DELTIC GROUP,7,7
THE GOVERNING COUNCIL OF,5.34,4
THE HALIFAX COMPUTER CONSULTING GROUP,6.01,28
THE HALIFAX GROUP,5.01,24
THE IT BROKER,5.01,46
THE KTL GROUP,3.36,37
THE MASHA KRUPP TRANSLATION GROUP,6.14,200
THE MATHWORKS,10.2,265
THE RIGHT DOOR CONSULTING,5.01,343
THE ROYAL ARCHITECTURAL INSTITUTE,3.45,4
THE STEVENS COMPANY,5.83,40
THE UNIVERSITY OF BRITISH COLUMBIA,3,25
THE VCAN GROUP,7.39,42
THERMO FISHER SCIENTIFIC,9.08,1863
THG THE HISTORY GROUP,3,120
THINKON,30.16,20
THINKPOINT,2.21,32
THOMAS SCHMIDT,5.92,59
THOMSON REUTERS,5,195
THORNHILL MEDICAL,3,2
THRIVE HEALTH,2,2
THYSSENKRUPP ELEVATOR,12.99,118
TIREE,7.01,196
TISSEUR,3.76,9
TITAN AEX,6.01,2
TITAN BOATS,3.36,30
TITANIUM CONSTRUCTION,3.88,9
TLD CANADA,3,4
TOFCON CONSTRUCTION,2.66,2
TOMLINSON ENVIRONMENTAL SERVICES,3.39,40
TOP ACES,8.5,366
TOROMONT,21.6,589
TORONTO BAIL PROGRAM,5.34,2
TORONTO INDUSTRIES,3.01,1
TORONTO PORT AUTHORITY,0.7,1
TORONTO STAMP,0.99,1
TOSHIBA CANADA,8.49,110
TOTEM OFFISOURCE,10.01,463
TOURE CLEANING,1.01,11
TOURE CLEANING SERVICES,6.09,40
TOYOTA,10.02,761
TPG TECHNOLOGY CONSULTANTS,7.55,516
TR PETROLEUM,2,98
TRACK24 CANADA,5.5,2
TRACKGEN SOLUTIONS,2,9
TRADUCTIONS PIERRE CLOUTIER,0.66,4
TRADUCTIONS SCRIPTIS,3.02,14
TRAINOR MECHANICAL CONTRACTORS,2.65,28
TRANE CANADA,5.5,62
TRANS CAPITAL AIR,0.33,2
TRANSCONTINENTAL PRINTING,5.14,2
TRANSPOLAR TECHNOLOGY,11.01,93
TRANSTEC,5.05,3
TRANSWEST AIR,4,33
TRAUGOTT BUILDING CONTRACTORS,1.35,2
TRAYTOWN BUILDERS,3.2,13
TREMCAR INDUSTRIES,3.04,7
TRI STAR INDUSTRIES,2.29,6
TRIDENT CONSTRUCTION,2.09,3
TRIDON COMMUNICATIONS,1.02,1
TRIGON ASSOCIATES,5.02,1
TRIPLEWELL CANADA,1.48,1
TRM TECHNOLOGIES,6.58,199
TROY LIFE FIRE SAFETY,5.01,94
TRUDELL HEALTHCARE SOLUTIONS,1.81,1
TRUGENOMIX,0.27,3
TRUMPF,0.86,15
TSI,3,44
TSUU T INA CONTRACTING GP,1.75,1
TULMAR SAFETY SYSTEMS,3.01,25
TUNDRA TECHNICAL SOLUTIONS,3.59,63
TURN KEY CONSTRUCTION,0.47,1
TURNER TOWNSEND,6.05,19
TURTLE ISLAND STAFFING,4.01,257
TWENTY20 INSIGHT,3.01,28
TWENTY20INSIGHT,1,2
TYCO INTEGRATED FIRE AND SECURITY CANADA,0.95,2
TYCO INTEGRATED FIRE SECURITY,8.5,208
TYR TACTICAL,4.04,27
UBIQUS CANADA,5.84,122
ULTIMATE CONSTRUCTION,1.79,10
ULTRA ELECTRONICS,8.02,25
ULTRA ELECTRONICS MARITIMES SYSTEM,0.12,2
UNCHARTED SOFTWARE,2.99,14
UNIFORM WORKS,2.77,18
UNISOFT INTERNATIONAL,5,2
UNISOURCE,3.53,482
UNISYNC GROUP,3.97,5
UNISYS CANADA,7.8,7
UNITED CHURCH HALFWAY HOMES,4,4
UNITED RENTALS,2.77,266
