d_vendor_name,total_amendment_increase_value,n
NUR CONSTRUCTION,21286.72,5
OCEAN NAVIGATION,369200.92,2
OCEAN PACIFIC MARINE SUPPLY,150172.27,3
OCLC CANADA,125159.81,2
OEI KRUEGER,30430.95,25
OGILVY MONTREAL,2267776.85,4
OKANAGAN AGGREGATES,14681459.63,16
OKANAGAN HALFWAY HOUSE SOCIETY CRF,6876187.27,4
OLIN,4197062.18,6
ONICA TECHNOLOGIES CANADA,875750.00,1
ONIX NETWORKING CANADA,5831116.16,2
ONLINE CONSTRUCTORS,858779.74,13
ONTARIO DENTAL ASSOCIATION,1372798.01,64
ONX ENTERPRISE SOLUTIONS,792580.31,23
OPEN GEOSPATIAL CONSORTIUM,901185.90,5
OPEN STORAGE SOLUTIONS,29747.85,5
OPENFRAME TECHNOLOGIES,3022134.50,24
OPENTEXT,79583587.57,63
OPROMA,3377019.59,13
OPSIS,4049213.78,9
OPTIV CANADA FEDERAL,568515.08,8
ORACLE CANADA,220453666.70,30
ORANGUTECH,16818321.48,44
ORBIS RISK CONSULTING,771925.57,21
OSKAR CONSTRUCTION,1813188.87,7
OTIS ELEVATOR,1077567.54,16
OTTAWA BUSINESS INTERIORS,40755.60,6
OTTAWA CONVENTION CENTRE,46024.03,2
OTTAWA GREENBELT CONSTRUCTION,380960.50,2
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,38841.00,14
OUTLAW EAGLE MANUFACTURING,626467.33,2
OVID TECHNOLOGIES,1359245.26,3
OXFORD ECONOMICS USA,1755507.31,2
OXFORD NANOPORE TECHNOLOGIES,-682872.71,2
P B ENTREPRISES,22111.99,1
P C MCNEILL CONTRACTING,529866.34,6
P K WELDING FABRICATORS,1212333.17,1
PACIFIC GEOMATICS,0.00,1
PACIFIC INDUSTRIAL MARINE,1570974.46,20
PACIFIC SAFETY PRODUCTS,7998168.74,14
PACWILL ENVIRONMENTAL,3554003.47,4
PAD CAR MECHANICAL,-19012.94,2
PAGEAU MOREL ASSOCIES,2268805.32,11
PAL AEROSPACE,12459309.57,14
PALADIN GROUP,28786000.24,36
PALFINGER MARINE,1858916.71,9
PAN AMERICAN DEVELOPMENT FOUNDATION,799999.00,1
PANASONIC,-191902.58,9
PARKLAND,6048.36,21
PARKLAND INDUSTRIES,275732.89,11
PARKLAND REFINING,-78337.41,10
PARLEVIEW,3390000.00,1
PARSONS CANADA,238636211.35,27
PATLON AIRCRAFT INDUSTRIES,5142327.61,10
PATTISON SIGN GROUP,226789.83,16
PAVEX,-730623.46,1
PCL CONSTRUCTORS,1228947173.53,43
PEERLESS GARMENTS,1758326.71,8
PENN CONSTRUCTION CANADA,8824283.17,3
PENNANT CANADA,327659.00,2
PENNECON,3290764.78,15
PEPCO,-180527.47,14
PEPIN FORTIN CONSTRUCTION,356358.00,1
PERCEPTICS,19222380.07,3
PERSISTENT SYSTEMS,600000.00,1
PETER J KINDREE ARCHITECT,1088851.82,12
PETER KIEWIT SONS,55002356.19,1
PETERS CONSTRUCTION,17450400.86,4
PETRO AIR SERVICES,887709.85,1
PETROVALUE PRODUCTS,1581300.00,8
PFIZER CANADA,210741.40,2
PHASELOCK SYSTEMS INTERNATIONAL,2231.75,2
PHOENIX DRUG ALCOHOL RECOVERY,5837099.72,3
PHOENIX STRATEGIC PERSPECTIVES,17848.07,3
PIDHERNEY S,851725.93,2
PILITAK ENTERPRISES,420870.14,2
PIONEER CONSTRUCTION,536811.00,1
PIPE QUEST PROJECTS,855649.65,1
PITNEY BOWES,1440855.15,26
PIVOTAL POWER,0.00,1
PLANET LABS,0.00,2
PLEIAD CANADA,3081823.83,23
PMB ELECTRICAL SERVICES,2803172.60,24
PMG TECHNOLOGIES,21692130.53,35
PODOLINSKY EQUIPMENT,67373.53,5
POINT HOPE MARITIME,4737622.01,5
POLARIS INDUSTRIES,-19584.42,15
POMERLEAU,359758648.02,16
PORT OF SPAIN HOLDINGS,77966.88,7
PORTAGE PERSONNEL,3038893.37,39
POSTMEDIA NETWORK,6728888.96,5
POWER AUCTIONS,1582757.36,4
PR3 MEDIAS,5152950.68,2
PRA,1401133.11,17
PRAGMATIC CONFERENCING,7565627.68,1
PRECISIONIT,18745412.48,56
PRICEWATERHOUSE COOPERS,241350982.88,380
PRIMEX PROJECT MANAGEMENT,6920347.98,6
PRINCE GEORGE ACTIVATOR,3940349.40,1
PRINTERS PLUS,273945.41,29
PRISM ENGINEERING,32508.00,2
PROCOM CONSULTANTS,33355573.78,139
PROLINE ADVANTAGE,0.00,1
PROLOGIC SYSTEMS,1250319.58,34
PROMAXIS,26522082.48,117
PRONEX EXCAVATION,2278978.58,2
PROOF EXPERIENCES,12295880.29,6
PROQUEST,489517.57,10
PROSCI CANADA,428486.36,10
PROTAK,686246.00,1
PROTAK CONSULTING GROUP,45011231.56,102
PROVENCHER ROY ASSOCIES,4171869.08,12
PURELOGIC,862759.85,21
PURESPIRIT SOLUTIONS,12844848.43,41
PUROLATOR,403940.11,30
PYLON ELECTRONICS,275940.00,2
QATAR AIRWAYS,0.00,5
QIAGEN,2720280.47,3
QINETIQ,6827102.53,5
QM ENVIRONMENTAL,13991835.59,17
QMR,9998369.13,192
QUAD PRO CONSTRUCTION,457685.69,1
QUADBRIDGE,3794.18,1
QUANTUM MANAGEMENT SERVICES,54950074.69,59
QUARTZ NATURE,256720.32,1
QUEEN S UNIVERSITY,1895570.27,8
QUINAN CONSTRUCTION,2896589.07,10
QUINTET CONSULTING,1278280.66,55
QUOREX CONSTRUCTION SERVICES,5284020.72,8
QUORUM,3942147.31,2
QUORUS CONSULTING GROUP,244924.73,11
R C M MODULAIRE,6306585.08,1
R D CONSTRUCTION,370994.69,2
R E GILMORE INVESTMENTS,9018184.61,16
R GUILBEAULT CONSTRUCTION,213620.52,1
R J MACISAAC CONSTRUCTION,179481.12,1
R LAMBA FORENSIC PSYCH SERVICE,2500000.00,1
R R INTERNATIONAL TRANSLATION,2744533.67,45
R W TOMLINSON,717535.75,6
RACEROCKS 3D,4814458.48,2
RACING FORENSICS,2743484.27,1
RADIATION SOLUTIONS,6277826.17,4
RAFA LABORATORIES,1060590.00,2
RAMPART INTERNATIONAL,1917368.57,8
RANDSTAD,70960834.50,465
RAPISCAN SYSTEMS,1663426.10,4
RATIO ARCHITECTURE INTERIOR DESIGN,2998126.83,13
RAYMOND CHABOT GRANT THORNTON,17779165.13,98
RAYTHEON,-23219824.26,8
REDACTED,2802400.00,2
REDI FORM CONSTRUCTION,18705.12,5
REDMANGO MEDIA,0.00,2
REDWOOD PERFORMANCE GROUP,3395.45,2
REFORMAR,2507333.80,2
REGENT CONSTRUCTION,3420258.40,3
REHAB,4758743.73,4
RENOKREW,4442423.75,1
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,5974832.98,46
REPUBLIC ARCHITECTURE,4680169.75,56
RESIDENCE CARPEDIEM,9839389.00,4
RESIDENCE LAFLEUR,2692011.11,3
REVISION MILITARY,10941226.20,2
REVOLUTION EVENTS,1067.85,4
RGB MEDIA,0.00,9
RGT CLOUTHIER,597117.98,12
RHEA,593602.23,13
RHEINMETALL,87947340.85,22
RICOH,62033238.67,288
RIGGS ENGINEERING,2945979.78,8
RIGHTWAY SANITATION SERVICES,179.25,2
RISK SCIENCES INTERNATIONAL,3084483.68,17
RJG CONSTRUCTION,4357597.73,26
RMS SOFTWARE,1488789.72,9
ROBERT ALLAN,216058.11,3
ROBERTSON GEOCONSULTANTS,1105186.37,2
ROBERTSON MARTIN ARCHITECTS,6618892.60,14
ROBIN ELECTRIC,776826.85,2
ROCHE DIAGNOSTICS,76677170.01,8
ROCKWELL COLLINS CANADA,0.00,2
ROGERS,425585645.37,30
ROHDE SCHWARZ CANADA,289401.22,3
ROLLING TIDES CONSTRUCTION,49731.74,3
RONA,-16348.58,5
RONALD J POIRIER PROFESSIONAL,4767861.53,1
RONDAR,2824310.64,3
ROOF TILE MANAGEMENT,2754398.25,1
ROSBOROUGH BOATS,548326.89,11
ROSCOE CONSTRUCTION,2120234.73,5
ROSS AND ANGLIN,265502.71,2
ROUDEL MEDICAL AND SURGICAL,-48178115.00,2
ROXBORO EXCAVATION,927836.86,3
RPL ARCHITECTS,213472.06,1
RTG PROTECH,372019.87,12
RUSSEL METALS,2009.11,7
RUSSELL CHERNOFF RAND THOMPSON,4473064.06,12
RYCOM,4971321.20,10
S P GLOBAL MARKET INTELLIGENCE,3235471.17,15
S W WEEKS CONSTRUCTION,1540904.44,1
SAAB,-5701605.92,6
SABA SOFTWARE,11426129.59,5
SAFFCO,540.00,1
SALESFORCE CANADA,4246487.93,8
SALISH SEA INDUSTRIAL SERVICES,1105524.39,8
SALVATION ARMY,84822206.76,36
SAMSON ASSOCIES,17656319.85,151
SANDOZ CANADA,-581648.57,4
SANEXEN SERVICES ENVIRONMENTAUX,6904662.78,10
SANI SABLE LB,17673628.04,12
SANI SPORT,313452.96,1
SANTE MONTFORT,75647300.00,1
SAP,104506247.75,44
SAPPER LABS CYBER SOLUTIONS,550942.38,1
SARTORIUS STEDIM NORTH AMERICA,483352.63,5
SAS AIR,-59702.16,7
SAS INSTITUTE,5857754.80,16
SASKTEL,42925639.75,9
SCA SHIPPING CONSULTANTS ASSOCIATED,10167371.91,68
SCANSA CONSTRUCTION,11992977.46,5
SCHOELER HEATON ARCHITECTS,1357154.04,15
SDL INTERNATIONAL CANADA,2358885.21,4
SEACOAST MARINE ELECTRONICS,147726.41,7
SEAFIRST CONSTRUCTION,358889.06,5
SEAGATE CONSTRUCTION,1874431.93,12
SEALITE USA,0.00,6
SEASONS CULINARY SERVICES,1380150.34,2
SEASPAN VICTORIA SHIPYARDS,1638514559.45,3
SEAWATCH,6750285.79,4
SEAWAVES DEVELOPMENT SERVICES,295450.87,2
SEAWAY CONSTRUCTION MANAGEMENT IN,2622530.17,2
SECURE ENERGY ONSITE SERVICES,937805.55,1
SECUREKEY TECHNOLOGIES,17081383.31,3
SECURIGUARD SERVICES,8472994.36,1
SED SYSTEMS,12781920.51,1
SEEGENE CANADA,18167765.21,1
SEGUIN MORRIS,407965.05,10
SELECT GLOBAL INTERNATIONAL,8917333.76,1
SEMANTIC CONSULTING,5011041.51,6
SENSUS COMMUNICATION SOLUTIONS,525591.56,5
SEPW ARCHITECTURE,2430740.34,10
SEQIRUS CANADA,16589041.88,2
SERCO,2709356.44,3
SERVICE STAR BUILDING CLEANING,6662097.27,15
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,7966550.51,3
SETANTA CONTRACTING,1404706.00,22
SEYEM,4867.65,1
SGS AXYS ANALYTICAL SERVICES,1218175.84,4
SHARP ELECTRONICS,729301.31,117
SHAW CABLE,5039452.11,3
SHELL CANADA PRODUCTS,-3523161.56,45
SHELTER NOVA SCOTIA,8272543.49,3
SHI CANADA,169554.02,7
SHM CANADA CONSULTING,1063525.99,18
SHOULDICE MECHANICAL,110740.00,2
SHRMA ARCHITECTS IN JOINT VENTURE,2198992.79,1
SI SYSTEMS,210296626.52,736
SIEMENS,4211632.47,52
SIERRA SYSTEMS GROUP,34440225.03,22
SIFEC NORTH,1832447.22,7
SIGMA SAFETY,849040.71,1
SIGN LANGUAGE INTERPRETING,4325730.30,23
SIGNATURE SUR LE SAINT LAURENT,497112785.48,1
SIKORSKY AIRCRAFT,-892515743.00,1
SILLIKER,-75188.27,7
SIMEX DEFENCE,4331170.74,40
SIMO MANAGEMENT,11254.73,4
SIMONSON CONSTRUCTION,131692.25,2
SIMPLEX GRINNELL,9173090.13,31
SIMPSON BUILDING CONTRACTORS,96844.67,3
SKILLSOFT CANADA,5470372.53,1
SKRETTING,-10470.54,3
SKY CANOE,102720.45,1
SLR CONSULTING CANADA,16658918.51,62
SMITHS DETECTION,26493070.34,31
SNAP ON TOOLS,4049.66,6
SNC LAVALIN,561850331.44,206
SOCIETE EMMANUEL GREGOIRE,15372774.18,8
SOFTCHOICE,5444298.54,83
SOFTSIM TECHNOLOGIES,5923919.22,41
SOFTWARE ENGINEERING OF AMERICA,842670.64,1
SOLACE,1973493.17,4
SOLANA NETWORKS,1620104.15,3
SOLOTECH,7382818.54,22
SOLUDOC,7125831.22,13
SOLUTIONS MOERAE,12125099.68,39
SOMOS,8488184.41,20
SOUTHWEST RESEARCH INSTITUTE,53238.19,2
SOVO TECHNOLOGIES,5630788.98,1
SPARTAN BIOSCIENCE,70780500.00,1
SPEARHEAD MANAGEMENT CANADA,544626.62,9
SPECIALTY BUILDING SERVICES,3703665.58,5
SPERRA CONSTRUCTION,854662.31,6
SPRINGER VERLAG,-57681.25,1
SPRINGHILL CONSTRUCTION,1687310.36,1
SRA STAFFING SOLUTIONS,1493140.74,15
SSCL,893084.96,4
ST AIRBORNE SYSTEMS,2868600.00,3
ST DENIS THOMPSON,9887957.70,3
ST GELAIS MONTMINY ASSOCIES,6852864.07,9
ST ISIDORE ASPHALTE,1041692.15,1
ST JOHN AMBULANCE,10513079.66,6
ST JOSEPH PRINT GROUP,4379924.57,17
ST LEONARD S COMMUNITY SERVICES,15511154.39,5
ST LEONARD S SOCIETY HAMILTON,12151881.55,7
ST LEONARDS HOUSE WINDSOR,6149496.85,3
ST LEONARDS PLACE PEEL,11647351.28,5
ST LEONARDS SOCIETY OF NORTH VANCOUVER,4603085.39,4
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,5073696.08,2
ST OPS TACTICAL TRAINING CANADA,-78654.50,5
ST PATRICKS HOUSE SOCIETY,4674441.94,1
STANFIELDS,135600.00,1
STANLEY CONSTRUCTION,984984.36,5
STANTEC,55501974.38,454
STAPLES ADVANTAGE CANADA,1355211.36,1
STEDFAST,1005598.01,3
STEPPED CARE SOLUTIONS,156623469.20,1
STERIS CANADA,488408.12,15
STERLING FUELS,70517.12,10
STIFF SENTENCES,3366665.50,4
STONEHENGE THERAPEUTIC COMMUNITY,2445068.05,2
STONEWORKS TECHNOLOGIES,1179126.52,38
STRATOS,2116934.12,30
STRONG BROS GENERAL CONTRACTING,1776681.12,10
SUBARU CANADA,-299536.89,12
SUMMIT CANADA DISTRIBUTORS,550571.15,7
SUN LIFE ASSURANCE COMPANY,366680776.81,4
SUNCOR ENERGY,681439.73,25
SUPER CHANNEL INTERNATIONAL,303919.80,7
SUPERIOR CONTRACTING,201623.44,2
SUPERMAX HEALTHCARE CANADA,2686000.01,1
SUPREMEX,814466.91,15
SURE FORM CONTRACTING,328914.86,1
SUSE SOFTWARE SOLUTIONS CANADA,4750771.07,1
SUSTAINABLE TRAILS 2011,782196.66,6
SUTHERLAND EXCAVATING,984251.41,31
SWITCH HEALTH,511309216.15,2
SYFT TECHNOLOGIES,2839542.82,2
SYLVIE ROY,868771.62,4
SYM COMMUNICATIONS,2177548.68,15
SYMCOR,5638700.00,1
SYNERGIE MEDICALE BRG,2049820.00,1
SYNERSOLUTIONS TECHNOLOGIES,564774.00,2
SYNTAGME,1992371.99,5
SYSCO,84427.72,27
SYSTEMATIX SOLUTIONS,86519654.83,101
SYSTEMES URBAINS,425385.02,1
SYSTEMS FOR RESEARCH,14363.15,1
SYSTEMSCOPE,17583844.95,49
T E S THE EMPLOYMENT SOLUTION,2400563.44,4
T J NOLAN CONSTRUCTION,21530.74,6
T3P CONSTRUCTION,2194212.86,2
TACS,226875.60,5
TAG HR,3855755.96,79
TALIGENT CONSULTING,14647164.14,25
TANGLE RIDGE CUSTOM CRUSHING,97125.00,1
TANKATEK,370298.74,14
TAURUS CONTRACTORS,482895.13,12
TAYLOR FRANCIS,239601.80,1
TAYLOR HAZELL ARCHITECTS,3928404.81,8
TCI TRANSLATORS CONFERENCE,1523991.00,3
TDI INTERNATIONAL,3141826.97,4
TECAN,823242.62,1
TECHNE SEATING COMPONENT,801916.98,3
TECHNO FEU,2302857.08,3
TECHNOMICS,1784867.04,1
TECHNOREM,5163546.47,17
TECSIS,2983781.27,3
TEEL TECHNOLOGIES CANADA,971105.46,6
TEKNION,-1560056.55,85
TEKSYSTEMS CANADA,114293442.09,228
TELECOM COMPUTER SERVICES,7587455.70,65
TELECOMMUNICATION SUPPORT SERVICES,1500000.00,1
TELEDYNE,199869.65,9
TELEPHONICS,-2499768.00,2
TELESAT,164572797.95,24
TELUS CANADA,519462760.15,77
TENAQUIP,-977895.90,9
TERAMACH TECHNOLOGIES,17192924.71,73
TERLIN CONSTRUCTION,1610037.80,3
TERVITA,2141886.85,13
TES CONTRACT SERVICES,50868463.10,95
TESTFORCE SYSTEMS,970979.11,10
TETRA TECH,13566360.81,71
TFORCE FINAL MILE,274471.80,3
THALES,26912739.56,20
THE AIM GROUP,54489676.98,216
THE BOEING COMPANY,-738823012.80,2
THE CALGARY AIRPORT AUTHORITY,7192822.59,1
THE CANADA LIFE ASSURANCE COMPANY,15053.22,1
THE CANNINGTON ABORIGINAL VENTURE,1393528.37,2
THE DELTIC GROUP,-949686.00,2
THE GOVERNING COUNCIL OF,2282557.02,1
THE HALIFAX COMPUTER CONSULTING GROUP,11890010.41,11
THE HALIFAX GROUP,1214038.32,11
THE IT BROKER,2164279.20,3
THE KTL GROUP,2084564.64,17
THE MASHA KRUPP TRANSLATION GROUP,11034209.45,37
THE MATHWORKS,1079503.02,14
THE RIGHT DOOR CONSULTING,8813332.58,94
THE ROYAL ARCHITECTURAL INSTITUTE,1983500.00,2
THE STEVENS COMPANY,-381196.45,2
THE UNIVERSITY OF WESTERN ONTARIO,-78800.11,1
THE VCAN GROUP,9978265.15,19
THERMO FISHER SCIENTIFIC,1935568.51,55
THG THE HISTORY GROUP,1254741.41,19
THINKON,6216680.02,3
THINKPOINT,1618016.34,8
THOMAS SCHMIDT,2289175.50,18
THOMPSON BOILER WORKS,281572.87,12
THOMSON REUTERS,10511912.87,18
THRIVE HEALTH,7316750.00,2
THYSSENKRUPP ELEVATOR,2442538.66,20
TIREE,30577571.95,96
TISSEUR,12352009.21,9
TITAN AEX,25934333.34,2
TITAN BOATS,2287209.93,9
TITANIUM CONSTRUCTION,3897463.95,6
TITUS,89565.99,1
TOFCON CONSTRUCTION,62782.30,2
TOM JONES,-179316.24,1
TOP ACES,178945.48,33
TOROMONT,4007808.86,73
TORONTO BAIL PROGRAM,2713132.00,1
TORONTO PORT AUTHORITY,2653817.60,1
TORONTO STAMP,57969.00,1
TOSHIBA CANADA,29478345.88,25
TOTEM OFFISOURCE,-1826112.63,24
TOURE CLEANING SERVICES,2205305.32,14
TOYOTA,-311531.89,65
TPG TECHNOLOGY CONSULTANTS,127897465.47,311
TRACK24 CANADA,10086613.22,2
TRADUCTIONS PIERRE CLOUTIER,0.00,1
TRADUCTIONS SCRIPTIS,1405956.77,3
TRAINOR MECHANICAL CONTRACTORS,2010312.27,8
TRANE CANADA,1612912.91,11
TRANSCONTINENTAL PRINTING,322286.98,1
TRANSPOLAR TECHNOLOGY,9388158.34,13
TRANSWEST AIR,3343650.84,5
TRAUGOTT BUILDING CONTRACTORS,737493.35,2
TRAYTOWN BUILDERS,819539.35,6
TRI STAR INDUSTRIES,3607474.25,2
TRI WAVE CONSTRUCTION,51919.73,1
TRIDENT CONSTRUCTION,740360.56,3
TRIPLEWELL CANADA,4136093.80,1
TRM TECHNOLOGIES,25827572.70,78
TROY LIFE FIRE SAFETY,1396463.65,10
TSI,-84248.94,2
TSUU T INA CONTRACTING GP,4859000.00,1
TULMAR SAFETY SYSTEMS,371200.00,3
TUNDRA TECHNICAL SOLUTIONS,3941090.23,26
TURNER TOWNSEND,12213698.39,8
TURTLE ISLAND STAFFING,2297372.01,84
TYCO INTEGRATED FIRE SECURITY,1181046.97,24
TYR TACTICAL,511030.33,5
U BUILD CONSTRUCTION,70355.13,2
UBIQUS CANADA,3034862.90,29
ULTIMATE CONSTRUCTION,-339619.39,6
ULTRA ELECTRONICS,3532307.43,5
UNCHARTED SOFTWARE,181752.87,2
UNIFORM WORKS,-107931.44,1
UNISOURCE,334429.71,8
UNISYS CANADA,45928614.54,3
UNITED CHURCH HALFWAY HOMES,6342639.61,2
UNITED RENTALS,51195.74,24
UNITED STATES DEPARTMENT OF THE AIR FORCE,-10918592.80,6
UNITED STATES DEPARTMENT OF THE ARMY,-1934565.26,12
UNITED STATES DEPARTMENT OF THE NAVY,-23642985.36,10
UNIVERSAL HELICOPTERS,6291488.84,10
UNIVERSAL PROTECTION SERVICE,4407000.00,1
UNIVERSAL SHEET METAL,262732.42,3
UNIVERSITE DE MONTREAL,1059372.85,9
UNIVERSITE DE SHERBROOKE,1069856.16,4
UNIVERSITE LAVAL,516575.10,13
UNIVERSITE SAINTE ANNE,889156.94,62
UNIVERSITY OF ALASKA FAIRBANKS,532384.70,1
UNIVERSITY OF ALBERTA,1532796.08,26
UNIVERSITY OF BRITISH COLUMBIA,254993.89,5
UNIVERSITY OF CALGARY,1141744.18,8
UNIVERSITY OF GUELPH,3202266.27,21
UNIVERSITY OF MANITOBA,25942.56,1
UNIVERSITY OF NEW BRUNSWICK,1935905.65,14
UNIVERSITY OF OTTAWA,6499908.07,26
UNIVERSITY OF REGINA,2513602.57,2
UNIVERSITY OF SASKATCHEWAN,4073695.11,13
UNIVERSITY OF TORONTO,3037288.10,15
UNIVERSITY OF WATERLOO,6233524.73,12
UNIVERSITY OF WESTERN ONTARIO,1213238.05,6
UQSUQ,-55117.15,1
URBAN VALLEY TRANSPORT,9300000.00,1
URLACHER CONSTRUCTION,-30277.80,5
URTHECAST,178082.47,3
UTILITIES KINGSTON,417118.10,34
VAISALA CANADA,3926845.28,8
VALARD CONSTRUCTION,313937.35,2
VALCOM CONSULTING,25786288.22,100
VALLEY REFRIGERATION,543858.21,5
VALUE MASTER BUILDERS,-32356.74,2
VAN KAPPEL INTERNATIONAL,15384.54,5
VANCOUVER AIRPORT AUTHORITY,11931395.81,1
VANCOUVER DRYDOCK COMPANY,520461.71,3
VANCOUVER FRASER PORT AUTHORITY,258205.00,1
VANCOUVER PILE DRIVING,2669355.58,6
VANCOUVER SHIPYARDS,846974054.33,16
VANRX PHARMASYSTEMS,710170.87,2
VARD MARINE,102408.45,2
VCI CONTROLS,677334.85,14
VECTOR AEROSPACE,2388947.50,8
VENASSE BUILDING GROUP,128650.25,3
VERITAAQ TECHNOLOGY HOUSE,229070141.48,904
VERITAS TECHNOLOGIES,12410092.30,4
VERREAULT NAVIGATION,9675812.39,10
VERSACOM,2584089.52,22
VERSATERM,840157.26,1
VERSATIL BPI,31163.40,1
VETEMENTS COOKSHIRE,2573860.34,2
VFA CANADA,6510625.61,3
VFS GLOBAL,241533471.00,11
VIA TRAVAIL,7955661.81,8
VIDCRUITER,755361.83,19
VIRTUAL POSSIBILITIES DIVISION,0.00,1
VISIONTEC,1912398.51,6
VMWARE,30352350.11,11
VOYAGEUR AVIATION,28888.76,1
VOYAGEUR TRANSPORTATION,8085209.79,1
VVI CONSTRUCTION,2249697.52,4
VWR INTERNATIONAL,156711.01,14
W S MORGAN CONSTRUCTION,843553.21,6
WADE GENERAL CONTRACTING,230351.71,4
WAHL CONSTRUCTION,-1305075.03,16
WAINWRIGHT MARINE SERVICES,-481000.00,1
WAJAX,989512.07,61
WAMPUM RECORDS,1781135.40,15
WARTSILA,36745785.57,64
WASAUKSING FIRST NATION,640687.26,2
WASTE CONNECTIONS OF CANADA,1198483.47,22
WASTE MANAGEMENT OF CANADA,1034682.47,19
WASTE PROCESSING TECHNOLOGIES,0.00,1
WATCH SYSTEMS,1236276.89,1
WATCHGUARD VIDEO,22139.55,2
WATERS,9978144.32,27
WATERSHED INFORMATION TECHNOLOGY,1974173.48,5
WATERWORKS CONSTRUCTION,417077.17,5
WAZANA CLOTHING,1673946.47,1
WCG INTERNATIONAL CONSULTANTS,94364755.61,1
WEBSTER ELECTRIC,299181.23,21
WEIR CANADA,393960000.00,1
WESCO DISTRIBUTION CANADA,166424.69,7
WEST COAST TUG BARGE,-647769.71,7
WEST WIND AVIATION,33600.00,1
WESTBURY NATIONAL SHOW SYSTEMS,71178.19,14
WESTCO CONSTRUCTION,1070791.14,4
WESTCOAST GENESIS SOCIETY,11634571.75,6
WESTCOMB OUTERWEAR,91938.62,1
WESTERN CANADA MARINE RESPONSE,3763667.25,2
WESTERN MATERIALS HANDLING EQUIPMENT,1660783.25,5
WESTERN MECHANICAL ELECTRICAL,277322.08,2
WESTERN PETROLEUM,84454.56,6
WESTJET,-28239.33,2
WESTOWER COMMUNICATIONS,715740.96,18
WHITE BEAR INDUSTRIES,2322337.10,2
WHITECHURCH CONSTRUCTION,152226.31,4
WHOOSHH INNOVATIONS,549377.54,1
WILCO CONTRACTORS SOUTHWEST,1583878.50,7
WILD STONE ENGINEERING,693410.63,2
WILDLIFE COMPUTERS,14811.26,7
WILDSTONE CONSTRUCTION,3577410.79,7
WILLIAM J BARKER CLINICAL,3700150.61,2
WILLS TRANSFER,326114.23,21
WINMAR,51232470.63,8
WINNIPEG AIRPORT AUTHORITY,3354368.50,1
WINTERSTEIGER,13195.43,3
WM M 1993,577670.21,6
WOLTERS KLUWER,6477482.94,11
WOOD,3071719.90,34
WOOD CANADA,4867882.55,58
WOOD ENVIRONMENT INFRASTRUCTURE,528494.49,13
WOOD MACKENZIE,23464.64,1
WOODWARD S OIL,8015.21,2
WOOLLY MAMMOTH OUTERWEAR,39377223.00,2
WORKDYNAMICS TECHNOLOGIES,2919387.99,32
WORKPLACE HEALTH AND COST SOLUTIONS,5091890.72,6
WORLD FUEL SERVICES,-354551.29,22
WORLD UNIVERSITY SERVICE OF CANADA,549065.03,1
WORLDREACH SOFTWARE,3406738.39,6
WORLEY PARSONS,719912.51,5
WPP GROUP CANADA COMMUNICATIONS,2773832.52,13
WRIGHT CONSTRUCTION WESTERN,3056411.45,1
WSP,334511161.74,342
WTB LANGUAGE GROUP,162443.61,7
WYSSEN AVALANCHE CONTROL,383352.62,3
XANALYS CANADA,17232.50,1
XEROX,18651744.07,322
XPERA RISK MITIGATION INVESTIGATION,11628695.98,2
XPERT SOLUTIONS TECHNOLOGIQUES,2779838.92,1
XPERTEK CONSTRUCTION,119832.33,5
XTECH EXPLOSIVE DECONTAMINATION,5004494.77,2
XTRACT TECHNOLOGIES,29921.25,1
YAMAHA MOTORS CANADA,-7103.14,18
YAMNUSKA,3383753.10,3
YELLOWHEAD HELICOPTERS,-16312.40,13
YOURTE CA,144124.99,7
ZAYO CANADA,-50840405.45,43
ZENITH PAVING,188630.77,1
ZERNAM ENTERPRISE,3126495.57,15
ZODIAC HURRICANE TECHNOLOGIES,10126671.65,7
ZOLL MEDICAL CANADA,1142904.43,2
ZUTPHEN CONTRACTOR,1611552.43,14
ZYCOM,50434.14,8
