d_vendor_name,mean_amendment_increase_percentage,n
NEWFOUNDLAND HELICOPTERS,0.76,8
NEWROCKET CANADA,4.125,2
NEWS CANADA,0.1128,8
NEXTER SYSTEMS,0.1958,1
NFOE,1.5914,6
NICHE TECHNOLOGY,0.7526,1
NIELSEN,1.6266,16
NIKON CANADA,0.1063,2
NIMBLE INFORMATION STRATEGIES,1.442,14
NISHA TECHONOLOGIES,0.3736,366
NISSAN CANADA,-0.0067,14
NITAM SOLUTIONS,0.2372,19
NITRO CONSTRUCTION,0.0931,6
NKE INSTRUMENTATION,1.2222,3
NMC DYNAPLAS,0,1
NOKIA CANADA,0.431,2
NOLINOR AVIATION,0,1
NORDLYS ENVIRONMENTAL,-0.0066,1
NORDMEC CONSTRUCTION,0.1404,2
NORR,1.9802,29
NORTAC DEFENCE,2.3883,3
NORTAK SOFTWARE,1.9414,12
NORTH AMERICA CONSTRUCTION,0.2483,1
NORTH ATLANTIC PETROLEUM,0.0479,3
NORTH BAY HYDRO,0.3183,1
NORTH CARIBOO AIR,0.0577,43
NORTH COUNTRY MAINTENANCE,0.0831,1
NORTHEAST TREE TRIMMING,0.1158,2
NORTHERN CONSTRUCTION,0.6672,6
NORTHERN CONTRACTING,-0.0636,1
NORTHERN MICRO,1.4722,401
NORTHFIELD METAL PRODUCTS,0,2
NORTHROP GRUMMAN,1.482,5
NORTHWEST MARINE TECHNOLOGY,-0.117,2
NORTHWESTEL,3.1189,10
NORTRAX CANADA,0.1416,5
NOTRA,0.0898,7
NOVA CONSTRUCTION,0.7902,2
NOVA NETWORKS,0.1005,19
NOVA SCOTIA POWER,0.1222,13
NOVIPRO,1.3241,2
NP AEROSPACE CANADA,0.0544,5
NRNS,1.8112,12
NU VIEW HOMES,1.8585,1
NUA OFFICE,0.1124,13
NUCTECH COMPANY,0.4499,2
NUIX NORTH AMERICA,1.1296,4
NUIX USG,0.2395,2
NUMBER TEN ARCHITECTURAL GROUP,2.743,25
NUMERIS,1.0335,2
NUNA EAST,0.851,2
NUNAVUT ARCTIC SERVICES,-0.0056,1
NUR CONSTRUCTION,0.0909,35
O HANLON PAVING,0.3941,10
OCEAN NAVIGATION,0.6706,2
OCEAN PACIFIC MARINE SUPPLY,0.2631,3
OCR CANADA,0.1728,4
OEI KRUEGER,0.1037,26
OKANAGAN AGGREGATES,0.1746,18
OKANAGAN HALFWAY HOUSE SOCIETY CRF,3.4763,5
OLIN,10.7609,6
ONIX NETWORKING CANADA,4.3327,2
ONLINE CONSTRUCTORS,0.2719,14
ONTARIO CLEAN WATER AGENCY,3.2018,3
ONTARIO DENTAL ASSOCIATION,0.1696,64
ONX ENTERPRISE SOLUTIONS,0.3506,23
OPEN GEOSPATIAL CONSORTIUM,1.8859,5
OPEN STORAGE SOLUTIONS,0.2035,5
OPENFRAME TECHNOLOGIES,1.0375,25
OPENTEXT,1.6514,67
OPROMA,1.7792,14
OPSIS,1.22,10
OPTIV CANADA FEDERAL,0.4231,9
ORACLE CANADA,110.1042,34
ORANGUTECH,2.0526,54
ORBIS RISK CONSULTING,0.8055,25
OSI MARITIME SYSTEMS,0,2
OSKAR CONSTRUCTION,0.4815,7
OTIS ELEVATOR,0.7333,20
OTTAWA BUSINESS INTERIORS,0.0136,6
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,0.0074,14
OTTAWA MOVING LOGISTICS 2013,0.3252,15
OUTLAW EAGLE MANUFACTURING,1.0078,4
OXFORD ECONOMICS USA,1.1993,4
OXFORD NANOPORE TECHNOLOGIES,0.1943,14
P B ENTREPRISES,0.2298,1
P C MCNEILL CONTRACTING,0.5407,7
P K WELDING FABRICATORS,0.1591,1
PACIFIC INDUSTRIAL MARINE,0.3068,23
PACIFIC SAFETY PRODUCTS,0.7086,14
PACWILL ENVIRONMENTAL,1.5662,4
PAGEAU MOREL ASSOCIES,0.9848,15
PAL AEROSPACE,0.2018,15
PALADIN GROUP,1.2625,42
PALFINGER MARINE,0.0735,9
PAN AMERICAN DEVELOPMENT FOUNDATION,0.2177,1
PANASONIC,-0.0301,9
PARKLAND,0.2578,49
PARKLAND INDUSTRIES,0.5278,16
PARKLAND REFINING,-0.0289,10
PARLEVIEW,3,1
PARSONS CANADA,3.6206,28
PATLON AIRCRAFT INDUSTRIES,1.0058,12
PATTISON SIGN GROUP,0.1875,17
PAVEX,-0.0458,1
PCL CONSTRUCTORS,85.8599,50
PECHERIES VILO,2.2495,2
PEERLESS GARMENTS,0.965,8
PEMCO CONSTRUCTION,0.1571,1
PENN CONSTRUCTION CANADA,0.1501,3
PENNANT CANADA,0.3408,2
PENNECON,0.3645,16
PEPCO,0.448,14
PEPIN FORTIN CONSTRUCTION,0.0598,1
PERCEPTICS,0.9158,3
PERSISTENT SYSTEMS,0.8396,1
PETER J KINDREE ARCHITECT,0.4558,13
PETER KIEWIT SONS,2.971,1
PETERS CONSTRUCTION,0.3447,4
PETRO AIR SERVICES,4.1333,1
PETROVALUE PRODUCTS,0.0579,8
PFIZER CANADA,1.3653,2
PHASELOCK SYSTEMS INTERNATIONAL,0.0833,3
PHOENIX DRUG ALCOHOL RECOVERY,1.4561,3
PHOENIX STRATEGIC PERSPECTIVES,0.2946,4
PIDHERNEY S,0.1192,2
PILITAK ENTERPRISES,0.1325,4
PIONEER CONSTRUCTION,0.0837,1
PIPE QUEST PROJECTS,0.1715,1
PITNEY BOWES,0.8267,30
PITTMAN S ENTERPRISES,0.0244,3
PIVOTAL POWER,0,1
PLANET LABS,2.7368,4
PLEIAD CANADA,0.9849,24
PMB ELECTRICAL SERVICES,1.7145,24
PME,0.4494,4
PMG TECHNOLOGIES,1.8734,45
PODOLINSKY EQUIPMENT,0.1085,5
POINT HOPE MARITIME,0.3077,5
POLARIS INDUSTRIES,0.0767,17
POMERLEAU,13.2713,17
PORT OF SPAIN HOLDINGS,-0.1068,8
PORTAGE PERSONNEL,1.1543,43
PORTS 79,1.9724,2
POSTMEDIA NETWORK,2.0971,5
POWER AUCTIONS,0.30620000000000003,4
PR3 MEDIAS,0.7889,3
PRA,0.7488,17
PRAGMATIC CONFERENCING,2.0982,1
PRECISIONIT,1.2946,59
PREMISE DATA,5.4127,1
PRICEWATERHOUSE COOPERS,2.0585,420
PRICEWATERHOUSECOOPERS ESIT CANADA ENTERPRISE SERVICES IN JV,0.1029,1
PRIMEX PROJECT MANAGEMENT,1.9482,7
PRINCE GEORGE ACTIVATOR,1.6527,2
PRINTERS PLUS,0.0686,29
PROCOM CONSULTANTS,2.0894,142
PROLINE ADVANTAGE,0,1
PROLOGIC SYSTEMS,1.4341,34
PROMAXIS,1.1605,131
PRONEX EXCAVATION,0.1431,2
PROOF EXPERIENCES,4.2193,7
PROQUEST,0.4496,14
PROSCI CANADA,0.6667,13
PROTAK,0.5387,1
PROTAK CONSULTING GROUP,0.8716,118
PROVENCHER ROY ASSOCIES,1.07,14
PUBLIVATE,0.5422,6
PURELOGIC,0.3763,36
PURESPIRIT SOLUTIONS,0.1718,56
PURKINJE,0.0506,1
PUROLATOR,0.8956,35
PYLON ELECTRONICS,1.75,2
QATAR AIRWAYS,0,5
QIAGEN,1.2864,5
QINETIQ,2.8185,5
QM ENVIRONMENTAL,0.2732,21
QMR,0.7443,218
QUAD PRO CONSTRUCTION,0.4425,1
QUADBRIDGE,0.2931,1
QUANTUM MANAGEMENT SERVICES,1.069,62
QUARTZ NATURE,0.0337,1
QUEEN S UNIVERSITY,1.2283,10
QUESTEL ORBIT,2.8867,5
QUINAN CONSTRUCTION,0.2409,10
QUINTET CONSULTING,0.5094,69
QUOREX CONSTRUCTION SERVICES,0.2155,8
QUORUM,0.6392,3
QUORUS CONSULTING GROUP,0.303,12
R C M MODULAIRE,5.1962,1
R E GILMORE INVESTMENTS,1.3825,19
R GUILBEAULT CONSTRUCTION,0.0498,1
R J MACISAAC CONSTRUCTION,0.0926,1
R LAMBA FORENSIC PSYCH SERVICE,1.6667,1
R R INTERNATIONAL TRANSLATION,1.3631,63
R W TOMLINSON,0.0724,6
RACEROCKS 3D,12.1243,2
RACING FORENSICS,0.5452,1
RADIATION SOLUTIONS,2.4647,5
RAFA LABORATORIES,1.8947,2
RALMAX,0,6
RAMPART INTERNATIONAL,1.729,9
RANDSTAD,1.4821,540
RANDSTAD INTERIM INTERIM,0.6406,3
RAPISCAN SYSTEMS,0.2226,4
RATIO ARCHITECTURE INTERIOR DESIGN,4.5454,13
RAYMOND CHABOT GRANT,0.5106,1
RAYMOND CHABOT GRANT THORNTON,1.4678,125
RAYTHEON,4.1796,8
REDACTED,0.1176,2
REDMANGO MEDIA,0,2
REDWOOD PERFORMANCE GROUP,0.2309,4
REFORMAR,1.6312,2
REGENT CONSTRUCTION,1.3925,4
REGINA BUSINESS SYSTEMS,1.0329,1
REHAB,4.7433,4
RENK,0.2112,1
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,0.3715,46
REPUBLIC ARCHITECTURE,0.8642,61
RESIDENCE CARPEDIEM,3.043,5
RESIDENCE LAFLEUR,1.5288,3
REVISION MILITARY,0.4192,2
REVOLUTION EVENTS,0.023,5
RGB MEDIA,0,9
RGT CLOUTHIER,0.1024,14
RHEA,1.33,17
RHEINMETALL,0.8977,25
RICOH,0.5396,330
RIGGS ENGINEERING,1.7782,8
RIGHTWAY SANITATION,0.4898,6
RIGHTWAY SANITATION SERVICES,0.0039,2
RISK SCIENCES INTERNATIONAL,1.0974,19
RJG CONSTRUCTION,0.1072,27
RMS SOFTWARE,2.2341,10
ROBERT ALLAN,0.2723,3
ROBERTSON GEOCONSULTANTS,1.0315,2
ROBERTSON MARTIN ARCHITECTS,1.3623,20
ROCHE DIAGNOSTICS,6.2273,7
ROCKWELL COLLINS CANADA,0,2
ROGERS,20.0788,33
ROHDE SCHWARZ CANADA,1.2905,3
ROLLING TIDES CONSTRUCTION,0.1615,3
RONA,0.5487,8
RONALD J POIRIER PROFESSIONAL,6.8318,1
RONDAR,0.7934,3
ROOF TILE MANAGEMENT,0.5388,2
ROSBOROUGH BOATS,0.3137,11
ROSCOE CONSTRUCTION,0.2251,5
ROSS AND ANGLIN,0.1371,2
ROUDEL MEDICAL AND SURGICAL,-0.4109,2
ROXBORO EXCAVATION,3.9271,3
RTG PROTECH,0.942,16
RUSSEL METALS,0.0441,9
RUSSELL CHERNOFF RAND THOMPSON,5.7335,14
RUSSELL REDI MIX CONCRETE,0.4726,1
RYCOM,1.9273,12
S C A,0.4738,5
S P GLOBAL MARKET INTELLIGENCE,1.5966,22
S W WEEKS CONSTRUCTION,0.1927,1
SAAB,0.1975,6
SABA SOFTWARE,8.8631,5
SABRINA BARNABE,1.0205,6
SAFFCO,0.0086,2
SAHO CONSTRUCTION,0.0456,1
SALESFORCE CANADA,0.8972,11
SALISH SEA INDUSTRIAL SERVICES,0.4626,8
SALVATION ARMY,3.4517,45
SAMSON ASSOCIES,1.2199,182
SANDOZ CANADA,-0.1433,9
SANEXEN ENVIRONMENTAL SERVICES,0.0015,1
SANEXEN SERVICES ENVIRONMENTAUX,0.7672,12
SANI SABLE LB,0.6677,12
SANI SPORT,2.2196,1
SANOFI PASTEUR,1.2945,11
SANTE MONTFORT,0.4089,1
SAP,1.4747,49
SAPPER LABS CYBER SOLUTIONS,0.0737,1
SARTORIUS STEDIM NORTH AMERICA,0.8384,5
SAS AIR,-0.1338,7
SAS INSTITUTE,2.3609,20
SASKTEL,2.3987,9
SCA SHIPPING CONSULTANTS ASSOCIATED,0.1694,102
SCANSA CONSTRUCTION,0.283,5
SCHOELER HEATON ARCHITECTS,0.6461,16
SCOTIA PALLETS,-0.1111,3
SDL INTERNATIONAL CANADA,1.1682,10
SEACOAST MARINE ELECTRONICS,0.6517,7
SEAGATE CONSTRUCTION,0.2516,12
SEAMLESS MECHANICAL SOLUTIONS,0.1938,5
SEASPAN VICTORIA SHIPYARDS,12.364,3
SEAWATCH,0.4113,4
SEAWAVES DEVELOPMENT SERVICES,0.0413,2
SEAWAY CONSTRUCTION MANAGEMENT IN,1.1771,2
SECURE ENERGY,-4e-4,3
SECUREKEY TECHNOLOGIES,0.1014,3
SECURIGUARD SERVICES,0.5961,1
SED SYSTEMS,2.7787,1
SEEGENE CANADA,4.4868,1
SEGUIN MORRIS,0.3218,11
SELECT GLOBAL INTERNATIONAL,0.455,1
SEMANTIC CONSULTING,3.2965,6
SENSUS COMMUNICATION SOLUTIONS,1.207,5
SEPW ARCHITECTURE,1.4155,10
SEQIRUS CANADA,0.8612,2
SERCO,0.4859,3
SERVICE STAR BUILDING CLEANING,2.4119,15
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,3.5348,4
SETANTA CONTRACTING,0.223,30
SEVEN SOUTH STREET TREATMENT CENTRE,8.4707,2
SEYEM,5e-4,1
SGS AXYS ANALYTICAL SERVICES,0.9629,8
SGS CANADA,0.0627,18
SHARP ELECTRONICS,0.1537,125
SHAW CABLE,1.2288,4
SHELL CANADA PRODUCTS,-0.4193,45
SHELTER NOVA SCOTIA,5.2171,3
SHI CANADA,0.4964,8
SHM CANADA CONSULTING,0.4538,18
SI SYSTEMS,2.3383,846
SIEMENS,0.9477,58
SIERRA SYSTEMS GROUP,12.701,25
SIFEC NORTH,1.8374,7
SIGN LANGUAGE INTERPRETING,6.5655,23
SIGNATURE SUR LE SAINT LAURENT,0.111,1
SIKORSKY AIRCRAFT,-0.2759,1
SILLIKER,0.0025,9
SIMEX DEFENCE,0.316,45
SIMO MANAGEMENT,0.2244,4
SIMONSON CONSTRUCTION,0.0624,2
SIMPLEX GRINNELL,1.9252,34
SIMPSON BUILDING CONTRACTORS,0.0643,3
SKILLSOFT CANADA,3.6067,3
SKRETTING,-0.0946,3
SKY CANOE,0.0188,1
SKYLINE ATLANTIC CANADA,3.3627,4
SLR CONSULTING CANADA,1.1557,70
SMITHS DETECTION,0.3791,33
SNAP ON TOOLS,0.0103,6
SNC LAVALIN,1.2936,237
SOCIETE ACOLAD CANADA,3.4709,9
SOCIETE EMMANUEL GREGOIRE,2.4165,10
SOFTCHOICE,1.0558,94
SOFTSIM TECHNOLOGIES,1.0752,43
SOFTWARE ENGINEERING OF AMERICA,0.75,2
SOLACE,1.8729,4
SOLANA NETWORKS,6.7273,3
SOLID CADDGROUP,-0.0455,3
SOLIDCAD,0,1
SOLOTECH,0.3624,30
SOLOTECH QUEBEC,-0.0075,3
SOLUDOC,2.5251,18
SOLUTIONS MOERAE,3.5318,43
SOMOS,1.632,20
SOUTHWEST RESEARCH INSTITUTE,0.2695,2
SOVO TECHNOLOGIES,10.0599,1
SPARK POWER HIGH VOLTAGE SERVICES,0.543,2
SPARTAN BIOSCIENCE,0.9043,1
SPEARHEAD MANAGEMENT CANADA,0.7275,9
SPECIALTY BUILDING SERVICES,4.1178,5
SPERRA CONSTRUCTION,0.1605,6
SPRINGCREST,4,1
SPRINGER VERLAG,-0.22,1
SPRINGHILL CONSTRUCTION,0.1584,1
SRA STAFFING SOLUTIONS,1.46,16
SSCL,-0.0016,4
ST AIRBORNE SYSTEMS,0.1603,3
ST DENIS THOMPSON,0.339,3
ST GELAIS MONTMINY ASSOCIES,0.8915,11
ST JOHN AMBULANCE,2.0207,6
ST JOSEPH PRINT GROUP,0.9724,20
ST LEONARD S COMMUNITY SERVICES,5.9008,6
ST LEONARD S SOCIETY HAMILTON,1.5857,8
ST LEONARDS HOUSE WINDSOR,1.7217,4
ST LEONARDS PLACE PEEL,1.6603,6
ST LEONARDS SOCIETY OF NORTH VANCOUVER,3.6899,5
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,3.2714,2
ST OPS TACTICAL TRAINING CANADA,-0.129,5
ST PATRICKS HOUSE SOCIETY,4.1148,2
STAG CONSTRUCTION SOLUTIONS,0.2918,8
STANDARD AERO,1.2267,7
STANDARD AERO ATLANTIC,4.7922,2
STANFIELDS,0.0049,1
STANLEY CONSTRUCTION,0.1272,5
STANTEC,1.3048,496
STAPLES ADVANTAGE CANADA,1.1214,2
STEEPLE,0.7297,2
STEPPED CARE SOLUTIONS,10.5804,1
STERICYCLE,0.8642,7
STERIS CANADA,0.9215,17
STERLING FUELS,0.2045,11
STIFF SENTENCES,0.5578,4
STOEGER CANADA,1,1
STONEHENGE THERAPEUTIC COMMUNITY,2.4636,2
STONEWORKDS TECHNOLOGIES,0,2
STONEWORKS TECHNOLOGIES,0.1047,42
STRATOS,1.204,33
STRONG BROS GENERAL CONTRACTING,0.7477,10
STRONG BROS HEATING AIR CONDITION,0.1345,2
STRONGCO,0.0133,1
STURGEON COUNTY,6.1313,2
SUBARU CANADA,-0.0748,12
SUER AND POLLON MECHANICAL,0.0484,2
SUER POLLON MECHANICAL,11.0393,2
SUMMIT CANADA DISTRIBUTORS,0.689,7
SUN LIFE ASSURANCE COMPANY,1.6286,5
SUNCOR ENERGY,0.4348,27
SUNCOR ENERGY PRODUCTS,0.466,1
SUPER CHANNEL INTERNATIONAL,0.3367,7
SUPERIOR PROPANE,1.1602,27
SUPERMAX HEALTHCARE CANADA,0.0175,1
SUPREMEX,0.2547,16
SURE FORM CONTRACTING,0.1294,1
SUSE SOFTWARE SOLUTIONS CANADA,1.7618,1
SUSTEMA,0,3
SUTHERLAND EXCAVATING,0.5946,34
SVEMY CONSTRUCTION,0.1852,11
SWALLOW FOURNIER,0.0285,1
SWITCH HEALTH,2.8643,2
SYFT TECHNOLOGIES,1.0196,2
SYLVIE ROY,1.2154,7
SYM COMMUNICATIONS,1.0419,17
SYMCOR,0.2287,1
SYNERGIE MEDICALE BRG,1.0366,1
SYNERSOLUTIONS TECHNOLOGIES,1,2
SYNTAGME,1.4433,6
SYSCO,0.0446,27
SYSTEMATIX SOLUTIONS,2.7392,116
SYSTEMES URBAINS,0.2383,2
SYSTEMS FOR RESEARCH,0.0243,3
SYSTEMSCOPE,1.9741,50
T J NOLAN CONSTRUCTION,0.0977,6
T LANE TRANSPORTATION AND LOGISTICS,-0.0637,3
T R HINAN CONTRACTORS,0.0873,2
TACS,0.0881,5
TAG HR,1.2579,86
TALIGENT CONSULTING,1.2344,31
TANGLE RIDGE CUSTOM CRUSHING,0.3632,2
TANKATEK,0.1063,17
TANKATEK 6854265 CANADA,0.3056,3
TAURUS CONTRACTORS,0.1792,12
TAYLOR FRANCIS,0.8684,3
TCI TRANSLATORS CONFERENCE,2.8529,3
TDE CONSTRUCTION COMPANY,0.0778,1
TDI INTERNATIONAL,0.3853,5
TECHNE SEATING COMPONENT,0.8099,3
TECHNO FEU,0.4396,3
TECHNOMICS,2.0516,1
TECHNOREM,2.0643,17
TECSIS,1.4442,3
TEEL TECHNOLOGIES CANADA,0.4595,6
TEKNION,0.1662,100
TEKSYSTEMS CANADA,2.2944,297
TELECOM COMPUTER SERVICES,0.119,75
TELECOMMUNICATION SUPPORT SERVICES,1.875,1
TELEDYNE,0.5585,9
TELEPHONICS,-0.2558,2
TELESAT,10.5989,24
TELFLEX TECHNOLOGIE,0.025,2
TELUS CANADA,2.4616,87
TELUS HEALTH CARE CENTRES,1.0654,7
TENAQUIP,-0.1318,11
TERAMACH TECHNOLOGIES,1.2942,79
TERLIN CONSTRUCTION,0.283,3
TERRAGON ENVIRONMENTAL TECHNOLOGIES,0.0064,2
TERVITA,0.1812,13
TES CONTRACT SERVICES,1.8446,96
TESTFORCE SYSTEMS,0.307,11
TETRA TECH,2.2097,81
TEXTILES MONTEREY 1996,0.6331,1
TFORCE LOGISTICS CANADA,3.594,3
THALES,0.8488,22
THE AIM GROUP,1.6984,263
THE BOEING COMPANY,1.3838,2
THE CALGARY AIRPORT AUTHORITY,10.3389,1
THE CANADA LIFE ASSURANCE COMPANY,0.3465,1
THE CANNINGTON ABORIGINAL VENTURE,1.3356,2
THE DELTIC GROUP,-0.4766,2
THE GOVERNING COUNCIL OF,2.7202,2
THE HALIFAX COMPUTER CONSULTING GROUP,2.8858,12
THE HALIFAX GROUP,1.1247,11
THE IT BROKER,1.8634,5
THE KTL GROUP,1.0761,17
THE MASHA KRUPP TRANSLATION GROUP,1.5463,37
THE MATHWORKS,1.1285,17
THE RIGHT DOOR CONSULTING,0.8737,109
THE ROYAL ARCHITECTURAL INSTITUTE,2.3144,2
THE STEVENS COMPANY,0.7122,2
THE UNIVERSITY OF BRITISH COLUMBIA,1.0382,4
THE VCAN GROUP,3.0548,19
THERMO FISHER SCIENTIFIC,0.6859,65
THG THE HISTORY GROUP,1.4879,23
THINKON,7.2196,3
THINKPOINT,0.976,12
THOMAS SCHMIDT,1.0206,25
THOMSON REUTERS,1.476,19
THRIVE HEALTH,1.7125,2
THYSSENKRUPP ELEVATOR,0.9034,20
TIREE,1.469,107
TISSEUR,1.3091,9
TITAN AEX,2.0963,2
TITAN BOATS,0.4776,9
TITANIUM CONSTRUCTION,0.064,6
TOFCON CONSTRUCTION,0.1518,2
TOMLINSON ENVIRONMENTAL SERVICES,0.8076,4
TOP ACES,0.1352,34
TOROMONT,0.3981,82
TORONTO BAIL PROGRAM,0.5771,2
TORONTO PORT AUTHORITY,4.46,1
TORONTO STAMP,0.0021,1
TOSHIBA CANADA,2.4057,25
TOTEM OFFISOURCE,0.1761,31
TOURE CLEANING,0.4856,1
TOURE CLEANING SERVICES,0.8688,16
TOYOTA,-0.0153,70
TPG TECHNOLOGY CONSULTANTS,1.9119,377
TR PETROLEUM,-0.016,15
TRACK24 CANADA,35.5463,2
TRACKGEN SOLUTIONS,0.3272,1
TRADUCTIONS PIERRE CLOUTIER,0,1
TRADUCTIONS SCRIPTIS,1.3878,5
TRAINOR MECHANICAL CONTRACTORS,0.1839,9
TRANE CANADA,2.1941,13
TRANS CAPITAL AIR,0.2152,1
TRANSCONTINENTAL PRINTING,2.0632,1
TRANSPOLAR TECHNOLOGY,1.1704,14
TRANSWEST AIR,1.1471,6
TRAUGOTT BUILDING CONTRACTORS,0.099,2
TRAYTOWN BUILDERS,0.2986,7
TRI STAR INDUSTRIES,11.6007,2
TRIDENT CONSTRUCTION,0.0391,3
TRIPLEWELL CANADA,0.6422,1
TRM TECHNOLOGIES,1.5367,89
TROY LIFE FIRE SAFETY,0.6922,10
TSI,0.087,2
TSUU T INA CONTRACTING GP,0.4859,1
TULMAR SAFETY SYSTEMS,0.1892,3
TUNDRA TECHNICAL SOLUTIONS,1.0449,28
TURNER TOWNSEND,2.783,8
TURTLE ISLAND STAFFING,1.0826,101
TWENTY20 INSIGHT,0.0253,2
TYCO INTEGRATED FIRE AND SECURITY CANADA,-0.0361,1
TYCO INTEGRATED FIRE SECURITY,0.5195,28
TYR TACTICAL,0.3025,5
UBIQUS CANADA,0.3755,31
ULTIMATE CONSTRUCTION,0.1272,6
ULTRA ELECTRONICS,0.5086,5
ULTRA ELECTRONICS MARITIMES SYSTEM,-0.7284,1
UNCHARTED SOFTWARE,0.4054,4
UNIFORM WORKS,-0.4776,1
UNISOURCE,0.1294,11
UNISYS CANADA,0.5103,4
UNITED CHURCH HALFWAY HOMES,2.5615,2
UNITED RENTALS,0.1174,31
UNITED STATES DEPARTMENT OF THE AIR FORCE,5.1395,6
UNITED STATES DEPARTMENT OF THE ARMY,0.3898,14
UNITED STATES DEPARTMENT OF THE NAVY,-0.0325,18
UNIVERSAL HELICOPTERS,0.7552,10
UNIVERSAL PROTECTION SERVICE,0.4604,2
UNIVERSITE DE MONTREAL,0.6709,10
UNIVERSITE DE SHERBROOKE,2.2951,5
UNIVERSITE LAVAL,0.3654,13
UNIVERSITE SAINTE ANNE,0.8054,88
UNIVERSITY OF ALBERTA,1.3434,29
UNIVERSITY OF BRITISH COLUMBIA,0.7284,8
UNIVERSITY OF CALGARY,1.0203,9
UNIVERSITY OF GUELPH,1.1318,22
UNIVERSITY OF MANITOBA,0.5036,3
UNIVERSITY OF NEW BRUNSWICK,1.2692,16
UNIVERSITY OF ONTARIO,4.25,2
UNIVERSITY OF OTTAWA,1.9033,29
UNIVERSITY OF REGINA,0.4925,2
UNIVERSITY OF SASKATCHEWAN,1.6805,17
UNIVERSITY OF TORONTO,0.6619,19
UNIVERSITY OF WATERLOO,0.5881,14
UNIVERSITY OF WESTERN ONTARIO,0.8089,6
UQSUQ,-0.0555,1
URBAN VALLEY TRANSPORT,1.2775,1
URLACHER CONSTRUCTION,0.2118,6
UTILITIES KINGSTON,0.0418,34
VAISALA CANADA,1.8405,8
VAISALA OYJ,0.5192,2
VALARD CONSTRUCTION,14.492,3
VALCOM CONSULTING,1.1965,114
VALLEY REFRIGERATION,0.1431,5
VALUE MASTER BUILDERS,-0.3244,2
VAN KAPPEL INTERNATIONAL,0.2088,5
VANCOUVER AIRPORT AUTHORITY,4.3849,1
VANCOUVER DRYDOCK COMPANY,0.0707,3
VANCOUVER FRASER PORT AUTHORITY,0.0441,1
VANCOUVER PILE DRIVING,0.7898,6
VANCOUVER SHIPYARDS,3.7001,17
VANRX PHARMASYSTEMS,0.4504,2
VARD MARINE,0.0648,2
VCI CONTROLS,0.425,15
VECTOR AEROSPACE,1.5423,11
VERITAAQ TECHNOLOGY HOUSE,2.1148,1124
VERITAS TECHNOLOGIES,1.4692,4
VERREAULT NAVIGATION,0.3151,10
VERSACOM,2.6973,23
VERSATIL BPI,0.4758,2
VETEMENTS COOKSHIRE,0.9844,2
VEYRON PROJECTS,0.0347,2
VFA CANADA,8.4488,3
VFS GLOBAL,6.4558,12
VIA TRAVAIL,1.9412,8
VIDCRUITER,1.2846,26
VIKING FIRE PROTECTION,1.0258,4
VIRTUAL POSSIBILITIES DIVISION,0,1
VISIONTEC,0.5945,6
VMWARE,27.1316,12
VOYAGEUR AVIATION,0.5258,4
VOYAGEUR TRANSPORTATION,4.7606,1
VVI CONSTRUCTION,0.2949,5
VWR INTERNATIONAL,0.3344,19
W S MORGAN CONSTRUCTION,0.1379,10
W3 DESIGN GROUP,3.3892,3
WADE GENERAL CONTRACTING,0.1277,5
WAHL CONSTRUCTION,6.9018,26
WAINWRIGHT MARINE SERVICES,-0.115,1
WAJAX,0.2321,62
WAMPUM RECORDS,1.0472,16
WARTSILA,0.5074,65
WASAUKSING FIRST NATION,1.8127,2
WASTE CONNECTIONS OF CANADA,0.6882,26
WASTE MANAGEMENT OF CANADA,0.4957,19
WASTE PROCESSING TECHNOLOGIES,0,1
WATCH SYSTEMS,1.1967,1
WATERS,0.8892,29
WATERSHED INFORMATION TECHNOLOGY,1.0672,9
WAZANA CLOTHING,0.0171,1
WCG INTERNATIONAL CONSULTANTS,0.9725,2
WEBSTER ELECTRIC,0.1825,22
WEIR CANADA,2.8862,1
WESCO DISTRIBUTION CANADA,0.7066,7
WEST COAST TUG BARGE,-0.1701,7
WESTBURY NATIONAL SHOW SYSTEMS,0.0339,14
WESTCO CONSTRUCTION,0.23,5
WESTCOAST GENESIS SOCIETY,3.0372,7
WESTCOMB OUTERWEAR,0.0079,1
WESTERN CANADA MARINE RESPONSE,9.7851,2
WESTERN MECHANICAL ELECTRICAL,0.2747,3
WESTERN PACIFIC ENTERPRISES,-0.9958,1
WESTERN PETROLEUM,0.5806,10
WESTJET,-0.3316,2
WESTOWER COMMUNICATIONS,0.1752,18
WHITE BEAR INDUSTRIES,0.1882,3
WHITECHURCH CONSTRUCTION,0.118,4
WHOOSHH INNOVATIONS,0.0885,1
WILCO CONTRACTORS SOUTHWEST,0.0674,7
WILD STONE ENGINEERING,0.1427,2
WILDLIFE COMPUTERS,0.0469,10
WILDROSE DISPOSAL,0.8594,5
WILDSTONE CONSTRUCTION,0.1277,8
WILEY SUBSCRIPTION SERVICES,1.1571,5
WILLS TRANSFER,0.8442,25
WINDREACH CONSULTING SERVICES,2.7532,4
WINMAR,3.2444,8
WINNIPEG AIRPORT AUTHORITY,6.214,1
WINTERSTEIGER,0.1511,4
WM M 1993,0.0573,6
