d_vendor_name,mean_original_value,mean_overall_value,n
KAYWAY INDUSTRIES,85506.72,86095.07,105
KEHOE MARINE CONSTRUCTION,402321.18,465093.67,10
KENN BOREK AIR,226072.75,433732.86,75
KETZA PACIFIC CONSTRUCTION,1079977.61,1115966.19,9
KEYDATA ASSOCIATES,486841.19,707159.28,19
KEYSIGHT TECHNOLOGIES CANADA,146590.07,149481.48,105
KEYSTONE ENVIRONMENTAL,445297.95,502417.38,42
KEYSTONE SUPPLIES INTERNATIONAL,261541.78,247661.55,65
KF AEROSPACE,43622944.87,43519527.77,41
KFN ENTERPRISES PARTNERSHIP,5024409.51,6426204.49,1
KGS GROUP CONSULTING ENGINEERS,354983.07,975452.33,5
KIA CANADA,113846.66,113073.32,81
KILEY PAVING,405994.32,421470.56,8
KINETIC CONSTRUCTION,2064501.76,2627291.19,21
KINETIC MACHINE WORKS,655197.15,721951.11,7
KING HOE EXCAVATING,7942215.75,9325231.64,3
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,1231896.70,3877257.09,2
KINGS ENTERPRISES,36315.12,36315.12,83
KINGSTON CONSTRUCTION,1089752.74,1089752.74,2
KINGSVIEW CONSTRUCTION,478382.94,513245.40,8
KLEYSEN GROUP,889103.74,899638.73,3
KMS INDUSTRIES,671827.22,827047.63,14
KNAPPETT INDUSTRIES,3953413.29,4463854.91,11
KNIGHT AEROSPACE MEDICAL SYSTEMS,3696520.42,3696520.42,1
KNOLL NORTH AMERICA,83932.90,80037.20,55
KNOWLEDGE CIRCLE,22238.19,24507.80,236
KODIAK GROUP HOLDINGS,7615643.33,6248969.00,3
KONE,101337.63,119007.70,70
KONGSBERG,395027.58,397804.36,111
KONICA MINOLTA BUSINESS SOLUTIONS,48498.46,58357.16,639
KONTZAMANIS GRAUMANN SMITH,242608.44,341841.24,38
KORN FERRY CA,81787.26,94522.99,43
KPMG,454919.36,703829.51,282
KRAKEN ROBOTIC SYSTEMS,603659.36,603659.36,5
KRAUSS MAFFEI WEGMANN,1422027.79,1095437.29,27
KROMAR PRINTING,38671.58,38845.74,82
KUBOTA CANADA,158339.32,158423.24,50
KUDLIK CONSTRUCTION,4240828.40,4502719.27,10
KURT J LESKER CANADA,21738.69,21810.46,109
KWC ARCHITECTS,135955.04,183990.25,40
KYNDRYL CANADA,2393668.74,2468467.57,38
L A HEBERT,3007230.42,3193738.51,4
L AGENCE,3104217.49,12999001.68,4
L BREAU AND SONS,340931.97,422380.01,19
L D WATSON E S MACEWEN ALLAN,451252.32,712807.85,11
L P ROYER,2557536.76,2173104.73,7
L W DENNIS CONTRACTING,2584127.70,3275733.11,3
L3HARRIS,3929132.61,5754412.19,268
LABORATOIRES OMEGA,1895224.81,2113145.31,3
LAKESHORE HELICOPTERS,76450.19,80627.32,50
LANDAUER,975069.35,975069.35,8
LANDAUER INLIGHT,142471.16,167139.56,19
LANDCO CONSTRUCTION,735155.45,788049.83,11
LANDFORM CIVIL INFRASTRUCTURES,3759055.17,4369927.80,2
LANGUAGE MARKETPLACE,40620.63,68835.74,73
LANGUAGE RESEARCH DEVELOPMENT GROUP,119120.52,208722.47,219
LANNICK CONTRACT SOLUTIONS,117421.92,226912.71,47
LANSDOWNE TECHNOLOGIES,70172.92,97238.82,97
LAPORTE,168963.67,251955.15,16
LAPORTE EXPERTS CONSEILS,4283318.89,5500265.32,2
LARCH HALF WAY HOUSE OF SUDBURY,239376.72,1648383.49,5
LARRY PENNER ENTERPRISES,39503.84,37543.93,131
LAURENTIAN TECHNOLOGIES,480156.73,477757.88,64
LAVAL FORTIN,1296017.29,2319776.82,3
LAVAL LAB,475380.35,475380.35,9
LAVERGNE CONSTRUCTION,314634.12,349089.46,13
LAZY H TRAIL COMPANY,3315734.17,3204477.21,3
LE GROUPE DRUMCO CONSTRUCTION,4780522.53,5046990.31,1
LEAN AGILITY,32094.78,33043.88,128
LEAR CONSTRUCTION,9867900.00,9845365.95,1
LEC ENGINEERING CONTRACTING,24245425.05,26704487.43,1
LEDCOR CONSTRUCTION,6769350.00,7442140.48,1
LEEWAY YACHTS,3173482.61,3729662.61,5
LEGER MARKETING,92481.66,105906.59,38
LEIGHTON CONTRACTING,362135.72,480025.43,11
LEMAY,871068.94,1076681.57,9
LENGKEEK VESSEL ENGINEERING,130243.93,148782.22,57
LEO PISCES SERVICES GROUP,210062.86,341673.82,44
LEONARDO,5186559.90,7491898.30,37
LES ALIMENTS GUY CHICOINE,15695.24,15695.24,118
LES AUTOBUS E MENARD ET FILS,869928.55,1066919.21,3
LES CONSTRUCTIONS BELAND,2664644.64,2860143.77,3
LES CONSTRUCTIONS BINET,2243670.70,2869295.23,5
LES CONSTRUCTIONS DES ILES,743783.77,1233788.24,8
LES COUVERTURES ST LEONARD,3700355.40,3867164.08,1
LES ENQUETES HENRI,30184.22,31709.11,146
LES ENTREPRISES FERVEL,1045440.10,1879759.60,11
LES ENTREPRISES MICHAUDVILLE,4993824.15,5967749.10,1
LES ENTREPRISES P E C,1836508.20,2143428.43,23
LES ENTREPRISES PREBBEL,146944.17,524564.65,12
LES ENTREPRISES ROBERT SANFACON,735220.97,858413.18,5
LES ENTREPRISES SAMSON ENTERPRISES,131286.25,163990.48,18
LES EQUIPEMENTS CLAUDE PEDNEAULT,391606.97,470759.24,11
LES HUILES DESROCHES,44546.62,44790.16,318
LES INSTALLATIONS ELECTRIQUES,1242059.06,1382771.68,8
LES TRADUCTEURS REUNIS,147740.66,172540.60,57
LES TRADUCTIONS TESSIER,105510.16,141421.47,105
LES TRAITEURS BYTOWN CATERING,446187.71,1234996.13,5
LESAGE DAVID DR,365632.19,1015612.35,8
LESLIE BENN CONTRACTING,2460819.94,2510547.47,7
LEVAERO AVIATION,37437.32,39318.74,225
LEVERAGE TECHNOLOGY RESOURCES,153898.15,370521.18,17
LEVITT SAFETY,145798.29,244955.90,111
LEXISNEXIS CANADA,57154.24,94956.90,97
LIEBHERR CANADA,477791.64,477791.64,13
LIFE TECHNOLOGIES,109917.63,149540.22,482
LIFELABS,16480869.69,23706564.70,9
LIFEPORT,2472198.12,2472198.12,1
LIFESPEAK,248847.50,2022995.11,4
LIFTKING MANUFACTURING,261776.51,361795.50,19
LIKE 10,175534.74,437941.59,21
LIMEN GROUP CONST,1514976.33,1831332.43,5
LINDSAY CONSTRUCTION,167503.28,220288.11,18
LINOVATI,96501.78,219635.66,51
LIONBRIDGE,122037.84,173526.74,483
LLOYD LIBKE LAW ENFORCEMENT SALES,988639.35,1602730.11,6
LLOYD S REGISTER CANADA,668446.43,1777600.45,31
LOCATION DE MOTONEIGES HAUTE MATAWINIE,1182620.51,1182620.51,6
LOCKHEED MARTIN,52747971.55,64360331.06,48
LOGISTIK UNICORP,3199006.96,1883402.53,181
LOISELLE,1157031.75,1185066.69,3
LOTEK WIRELESS,30023.37,40451.65,88
LOUIS W BRAY CONSTRUCTION,4681369.44,5935482.26,10
LOWE MARTIN COMPANY,92420.85,143911.69,111
LRO STAFFING,116710.81,159494.12,38
LS TELCOM,19600294.64,22878314.52,3
LUCIRA HEALTH,3837182.62,2923771.04,4
LUMINA IT,175442.24,274123.78,348
LUMINULTRA TECHNOLOGIES,364112.28,34757362.02,3
LUXTON CONSTRUCTION,603848.58,635303.35,23
LUXTON CONSTRUCTION PLAINS,479100.88,499825.11,8
LWG ARCHITECTURAL INTERIORS,151776.29,190355.17,22
LYNLEY CONTRACTING SERVICES,269922.02,270235.92,48
M 2 GROUP,2051828.01,2487020.62,2
M A INDEPENDENT BUILDING SERVICES,377563.82,1627884.22,3
M D CHARLTON,80670.96,92883.84,269
M D STEELE CONSTRUCTION,38797500.00,40044370.23,1
M R ENGINEERING,210724.23,524219.69,13
M SULLIVAN SON,5233100.55,5559732.31,6
MACDONALD DETTWILER AND ASSOCIATES,3333790.46,4043852.53,593
MACEWEN PETROLEUM,56575.49,58041.42,290
MACK TRUCKS,120831176.65,127011328.73,7
MACKINNON AND OLDING,95522.24,96680.76,300
MACONNERIE DYNAMIQUE,2260658.33,2727366.95,11
MACONNERIE RAINVILLE ET FRERES,1776201.72,2095348.32,7
MADSEN DIESEL TURBINE,42832.69,48612.62,256
MAGAL S3 CANADA,1560852.23,1672783.77,6
MAGELLAN AEROSPACE,3681331.31,3702360.57,19
MAGNET FORENSICS,251310.45,309747.58,21
MAISON CHARLEMAGNE,2000155.53,3669564.30,4
MAISON CROSS ROADS DE LA SOCIETE,1151024.72,3127408.61,4
MAISON DECISION HOUSE,1038366.22,1691479.72,4
MAISON JEUN AIDE,1636713.04,3939765.71,3
MAISON JOINS TOI,716190.64,3549198.00,3
MAISON PAINCHAUD,1032368.14,4562602.55,2
MAISON RADISSON,783819.24,3195353.96,2
MAKWA RESOURCING,446868.13,496544.93,90
MALATEST,127405.30,129357.05,57
MALLEN GOWING BERZINS,317475.68,366067.01,13
MAN ENERGY SOLUTIONS CANADA,8028858.20,9278858.20,4
MANIFEST COMMUNICATIONS,387826.36,958963.20,6
MANITEX LIFTKING,1603240.98,1510043.36,8
MANITOBA HYDRO,113892.00,114984.00,50
MANPOWER SERVICES CANADA,151516.76,338639.06,25
MANULIFE,330255.19,1009721.42,10
MAPLE LEAF ROPES,439471.00,438517.43,8
MAPLE REINDERS CONSTRUCTORS,59942237.83,88956246.76,6
MAPLE RIDGE MECHANICAL CONTRACTING,1830233.88,2769434.20,1
MAPLESOFT CONSULTING,533378.58,760848.54,379
MARCO GROUP,15543975.00,16067126.87,2
MARINE CONTRACTORS,1166485.99,1169689.58,11
MARINE RECYCLING,1875046.54,2068864.24,18
MARINENAV,69934.39,78482.60,83
MARITECH CONSTRUCTION,836275.59,873859.10,5
MARITIME FENCE,210440.78,329813.20,28
MARITIME FUELS,33257.52,36965.27,325
MARKIDO,42554.62,62199.63,74
MARKLAND PAVING,12118389.00,12118389.00,1
MARRBECK CONSTRUCTION,7287000.00,8616643.69,1
MARSHALL AEROSPACE,2837097.20,5111952.96,1
MARTEC,421125.99,610168.15,26
MARTECH ELECTRICAL SYSTEMS,1583634.41,1961687.39,4
MASKIMO CONSTRUCTION,3028815.39,3482176.15,7
MASONTECH,2476755.26,3483223.44,4
MATANE PRODUCTION,1563594.64,3535734.47,1
MATCON ENVIRONMENTAL,904186.25,1038249.41,20
MATCON EXCAVATION SHORING,104607.89,111933.61,41
MATRIX AVIATION SOLUTIONS,373119.91,376825.73,10
MAVERIN,1330268.68,1602030.66,22
MAVERIN BUSINESS SERVICES,192275.62,240566.53,17
MAXIM 2000,8348357.14,9790373.72,7
MAXIMUS CANADA,5380496.92,7472231.99,4
MAXSYS STAFFING AND CONSULTING,104548.45,152088.65,239
MCAFEE INTERNATIONAL,5992902.00,8063805.79,3
MCCARTHY TETRAULT,856744.15,867458.44,7
MCCOLMAN SONS DEMOLITION,757121.16,744878.23,7
MCDONALD BROS CONSTRUCTION,299299.67,391733.09,6
MCELHANNEY ASSOCIATES,403249.10,443522.19,145
MCGILL UNIVERSITY,115567.26,136956.92,101
MCGREGOR GEOSCIENCE,1188202.38,2475068.21,3
MCKESSON CANADA,58208.06,58292.10,3516
MCKINSEY AND COMPANY,1830679.98,2570386.64,18
MCKNIGHT ENTERPRISES,1200668.14,1299751.60,10
MCMASTER UNIVERSITY,76682.59,78766.36,64
MCNALLY CONSTRUCTION,4479518.90,4614830.78,14
MCW CONSULTANTS,175624.04,182014.49,28
MCW CUSTOM ENERGY SOLUTIONS,3159390.54,3866006.03,23
MDOS CONSULTING,337861.09,516420.58,62
MEAD AUTOMATION SOLUTIONS,1061756.12,1163006.12,4
MEAL KIT SUPPLY CANADA,1743082.67,2078019.00,9
MED ENG HOLDINGS,380760.12,381623.57,41
MEDALLION MILK,18349.10,18370.17,227
MEDAVIE,35870127.28,65275311.61,5
MEDI SELECT,191795.43,236160.70,19
MEDIA Q,54954.81,58727.96,114
MEDTRONIC CANADA,631836.09,2693614.72,7
MEEWASINOTA CRF,1844995.81,4346177.46,3
MEGA POWER INSTALLATIONS,34316.45,34721.03,115
MEGA TECH,60098.23,61130.89,287
MEGALEXIS COMMUNICATIONS,138425.57,238958.58,98
MELTWATER,37512.24,44498.28,148
MERCEDES BENZ CANADA,197839.73,197839.73,100
MERCER CANADA,144332.57,172938.57,46
MERCK FROSST,71720.98,237303.89,75
MERCURY MARINE,60124.04,59502.77,114
MERIDIAN ENGINEERING,42284.77,51388.03,72
MERIDIAN MEDICAL TECHNOLOGIES,2833989.50,3521591.09,9
MESSA COMPUTING,180771.74,311627.17,47
METALCRAFT MARINE,7967038.39,5931375.10,5
METOCEAN TELEMATICS,652507.35,1371109.31,33
METRO LOGISTICS,89342513.75,146074204.55,1
METRO PAVING AND ROAD BUILDING,2980222.62,3251462.62,12
METRO SUPPLY CHAIN,1494675.00,20014657.76,1
MGIS,255040.08,720562.95,69
MHV SERVICES D HYGIENE,31561.14,79243.25,47
MICHAEL WAGER CONSULTING,750244.63,1067266.96,69
MICHANIE CONSTRUCTION,249334.35,353929.13,34
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,2123030.17,2308962.68,3
MICHELIN,130842.47,130828.27,41
MICRONOSTYX,2939666.74,2979401.92,7
MICROSOFT CANADA,1453683.08,1956555.37,1106
MID CANADA MOD CENTER,35316.34,39737.24,115
MID VALLEY CONSTRUCTION,497349.74,502452.57,41
MIKE KELLY SONS,5498472.00,5384532.67,2
MIL AERO ELECTRONICS ATLANTIC,856782.22,856782.22,7
MILESTONE ENVIRONMENTAL,4742926.89,5195386.39,19
MILLBROOK TACTICAL,76066.17,77980.01,113
MILLENNIUM LIMOUSINE SERVICE,2474784.00,2684685.53,1
MILLER PAVING,4465093.58,4471446.07,6
MILLER WASTE SYSTEMS,94157.66,87042.55,63
MILLIPORE CANADA,73017.91,77227.78,41
MILTEX SOLUTIONS CANADA,225429.97,249631.34,66
MINDWIRE SYSTEMS,234191.37,357332.60,615
MINE EODCLR,770769.01,764504.69,3
MINISTRY OF FINANCE,587021.95,597393.35,36
MIREMS,118439.68,202866.24,20
MISHKUMI TECHNOLOGIES,128487.26,118835.25,207
MITSUBISHI MOTOR SALES,69757.20,69766.64,202
MKDS TRAINING,156715.98,249647.89,15
MLS OVERSEAS,93713.66,98023.58,463
MNP,139843.09,200103.79,255
MOBILE RESOURCE GROUP,125146.98,144034.84,60
MOBILE VALVE,339937.18,339937.18,55
MOBILITY LAB,234609.35,246247.78,33
MODERN CONSTRUCTION,994249.03,1021433.18,5
MODERN NIAGARA ALBERTA,258690.86,294508.21,10
MODIS CANADA,401420.36,654475.70,583
MOMENTUM SOLUTIONS,1193923.66,1285086.16,43
MONERIS,289500325.50,312133825.50,2
MONTREAL BRONZE,116061.21,116061.21,44
MOORE CANADA,462695.25,621160.01,67
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,9450000.00,9450000.00,1
MORIYAMA TESHIMA ARCHITECTS,5311736.38,10183415.82,3
MORNEAU SHEPELL,450028.22,772585.11,36
MORPHO CANADA,132213.31,211470.43,68
MORRISON HERSHFIELD,82950.45,116244.81,96
MOSS DEVELOPMENT,1701823.03,2146959.65,4
MOTOR COACH INDUSTRIES,3307834.37,3291120.70,3
MOTOROLA SOLUTIONS CANADA,409296.66,429639.84,939
MOUNTAIN ROCK STABILIZATION,429964.49,528464.83,8
MQM QUALITY MANUFACTURING,4690850.01,4664058.46,1
MRS MANAGEMENT AND,4200000.00,7000000.00,1
MTC LAW,1837731.29,10051798.65,1
MTE LOGISTIX EDMONTON,869167.96,1255197.45,4
MTM 2 CONTRACTING,1401698.62,926729.07,6
MTS ALLSTREAM,264091.07,559429.63,212
MUFACTOR,256160830.00,256160830.00,1
MULDER MEATS,17896.77,17896.77,147
MULTINATIONAL LOGISTIC SERVICES,73925.52,74040.74,76
MULTISHRED,108819.99,113751.34,36
MUNICIPAL READY MIX,598544.21,708511.24,14
MUNICIPALITY OF THE COUNTY OF KINGS,879647.67,879647.67,5
MURRAYS MILLWOOD MANOR,1530171.30,3068822.19,2
MURRAYS WINDERMERE GARDENS,1192460.73,3037827.32,4
MUSTANG HELICOPTERS,154977.40,219618.42,40
MUSTANG SURVIVAL,281510.39,315204.54,101
MWCO,2119834.09,1966349.58,7
MYTICAS CONSULTING,274779.06,1092787.86,3
N P A,1221975.73,1417034.23,6
N12 CONSULTING,198626.04,454297.55,17
"NADINE INTERNATIONAL",534769.42,599395.89,34
"NAHANNI CONSTRUCTION",14952197.66,20975534.44,4
"NAMMO PERRY",2913120.00,2913120.00,1
"NANOMETRICS",427087.37,444289.74,21
"NAPPAQ DESIGN CONSTRUCTION",2562860.06,2861650.41,2
"NASITTUQ",172439240.86,178379162.99,4
"NATCO PHARMA CANADA",1771817.71,1817325.25,5
"NATIONAL ARTS CENTRE",185062.14,372939.06,19
"NATIONAL STRUCTURES",2035637.34,2155427.80,3
"NATIONAL TEST PILOT SCHOOL",1358070.18,4566070.18,4
"NATIONS TRANSLATION GROUP",70355.62,90682.64,380
"NATIVE CLAN ORGANIZATION",1569719.13,3752839.52,3
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",8297968.64,5204308.79,14
"NATTIQ",102487.49,135665.07,102
"NAUT MAWT TRIBAL COUNCIL",1189961.53,1323756.01,9
"NAV CANADA",1698112.99,1997808.95,42
"NAVAMAR",1403828.45,1463835.56,13
"NAVPOINT CONSULTING GROUP",328145.09,638839.11,29
"NAVTECH",41668331.64,41677177.55,13
NDL CONSTRUCTION,4669875.00,7743868.97,2
NELSON ENVIRONMENTAL REMEDIATION,925805.17,910586.67,8
NEOPOST CANADA,114775.08,152533.85,26
NEPTEC DESIGN GROUP,1377884.13,1573244.87,13
NEPTUNE SECURITY SERVICES,2398325.83,2413791.80,25
NEUROSCOPE,1213532.67,2310357.67,3
NEVADA AUTOMOTIVE TEST CENTER,4000000.00,6678550.00,1
NEW ENGLAND BIOLABS,272516.36,241023.86,18
NEW TECHNOLOGIES,366993.55,474470.13,9
NEWDOCK ST JOHN S DOCKYARD,1640401.34,2616547.44,37
NEWFOUND RECRUITING,205009.03,304218.09,97
NEWFOUNDLAND HELICOPTERS,38874.62,43476.75,69
NEXTER SYSTEMS,3807916.00,4484253.50,2
NFOE,793069.85,1285277.85,9
NICHE TECHNOLOGY,2470456.19,3811271.73,2
NIELSEN,126502.78,178277.98,63
NIKON CANADA,39233.53,39554.87,124
NIMBLE INFORMATION STRATEGIES,229541.49,288922.71,61
NISHA TECHONOLOGIES,133464.84,165010.46,2024
NISSAN CANADA,99997.76,99776.06,186
NITAM SOLUTIONS,71235.30,73082.33,219
NITRO CONSTRUCTION,1716269.52,1795935.52,5
NKE INSTRUMENTATION,200433.38,213954.96,22
NMC DYNAPLAS,2504984.00,2504984.00,1
NOKIA CANADA,461907.79,504675.65,15
NOLINOR AVIATION,88551.66,88551.66,46
NORDLYS ENVIRONMENTAL,4423615.28,4423615.28,2
NORDLYS ENVIRONMENTAL PARTNERSHIP,5136823.70,5136823.70,3
NORDMEC CONSTRUCTION,6755636.11,7921579.50,2
NORR,978990.55,1589652.01,59
NORTAC DEFENCE,2953954.85,8546492.78,3
NORTAK SOFTWARE,303385.54,384870.40,22
NORTH AMERICA CONSTRUCTION,23594167.23,29453441.65,1
NORTH ATLANTIC PETROLEUM,81431.92,81595.79,174
NORTH BAY HYDRO,216860.42,239751.96,31
NORTH CARIBOO AIR,71866.54,63292.69,87
NORTH COUNTRY LOGISTICS,3777900.00,3777900.00,1
NORTH COUNTRY MAINTENANCE,18374340.64,19881451.94,2
NORTHEAST TREE TRIMMING,5611780.17,6021607.59,2
NORTHERN CONSTRUCTION,411501.25,445891.88,22
NORTHERN CONTRACTING,9220447.00,8634311.83,1
NORTHERN MICRO,210697.14,258662.78,2771
NORTHFIELD METAL PRODUCTS,99326.77,99372.48,112
NORTHROP GRUMMAN,7043896.28,7605430.32,12
NORTHSIDE DEVELOPMENT,2414864.64,2414864.64,3
NORTHWEST FUELS,32185.37,32185.37,56
NORTHWEST HYDRAULIC CONSULTANTS,124253.98,130001.86,21
NORTHWEST MARINE TECHNOLOGY,690980.32,664505.96,17
NORTHWESTEL,767581.25,1856598.88,25
NORTRAX CANADA,280933.78,287767.21,48
NOTRA,1905017.54,2087478.80,26
NOVA CONSTRUCTION,4618270.86,3909394.78,2
NOVA NETWORKS,29980.56,30059.64,208
NOVA SCOTIA POWER,431408.37,462592.87,53
NOVIPRO,85417.90,91452.91,32
NOYE AND NOYE,811578.89,822475.56,7
NP AEROSPACE CANADA,453013.69,452902.26,6
NRNS,356298.60,807422.07,14
NU VIEW HOMES,1087964.50,2677806.67,2
NUA OFFICE,57099.68,54995.08,112
NUCTECH COMPANY,1891344.94,2015404.08,4
NUIX NORTH AMERICA,227831.15,292671.63,39
NUMBER TEN ARCHITECTURAL GROUP,105246.08,155873.80,83
NUMERIS,368027.99,619365.42,8
NUNA EAST,16711179.78,29834037.68,3
NUNAVUT ARCTIC SERVICES,12984762.77,12890496.89,1
NUR CONSTRUCTION,45109.42,45313.62,103
OCEAN NAVIGATION,173776.81,207340.53,11
OCEAN PACIFIC MARINE SUPPLY,2711413.47,2727947.99,9
OCLC CANADA,1136452.66,1551315.43,4
OEI KRUEGER,36783.07,37046.44,476
OGILVY MONTREAL,348986.01,565415.95,10
OKANAGAN AGGREGATES,3905135.42,4516862.91,24
OKANAGAN HALFWAY HOUSE SOCIETY CRF,1059645.04,2434882.49,5
OLIN,396072.52,695862.68,14
OMNITECH ELECTRONICS,363177.28,363177.28,18
ONICA TECHNOLOGIES CANADA,1356000.00,2231750.00,1
ONIX NETWORKING CANADA,943420.07,1983275.43,5
ONLINE CONSTRUCTORS,343258.88,372588.37,30
ONTARIO DENTAL ASSOCIATION,27578.14,33754.30,228
ONX ENTERPRISE SOLUTIONS,392311.13,395469.81,297
OPEN GEOSPATIAL CONSORTIUM,162194.19,215205.12,17
OPEN STORAGE SOLUTIONS,126415.87,127124.35,42
OPENFRAME TECHNOLOGIES,188826.45,266051.44,45
OPENTEXT,368808.52,613436.09,329
OPROMA,97769.14,176606.30,44
OPSIS,375321.69,430092.12,75
OPTIMUM SOLUTIONS,51981.99,51981.99,141
OPTIV CANADA FEDERAL,321315.49,327383.15,107
ORACLE CANADA,664358.76,1111552.49,501
ORANGUTECH,167604.07,250259.01,186
ORBIS RISK CONSULTING,89206.41,96806.41,105
OSHKOSH,2453197.05,2453197.05,1
OSI,7475000.00,9200000.00,1
OSKAR CONSTRUCTION,343311.14,425848.13,22
OTIS ELEVATOR,300896.86,322219.06,81
OTTAWA BUSINESS INTERIORS,43176.58,43480.52,146
OTTAWA CONVENTION CENTRE,204898.78,207606.07,17
OTTAWA GREENBELT CONSTRUCTION,1023429.10,1102450.95,5
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,52051.33,52747.79,130
OUTLAW EAGLE MANUFACTURING,274545.76,320797.43,23
OVID TECHNOLOGIES,112756.97,180719.23,20
OXFORD ECONOMICS USA,220474.49,323739.63,17
OXFORD NANOPORE TECHNOLOGIES,76387.38,66257.04,68
OXFORD UNIVERSITY PRESS,57793.06,57793.06,62
P B ENTREPRISES,877497.83,988610.56,7
P C MCNEILL CONTRACTING,293326.00,326553.70,16
P K WELDING FABRICATORS,4298121.11,4919265.76,2
PACIFIC GEOMATICS,75320.47,75320.47,29
PACIFIC INDUSTRIAL MARINE,371654.41,408188.70,44
PACIFIC SAFETY PRODUCTS,317551.71,400496.74,101
PACWILL ENVIRONMENTAL,115333.90,276879.51,22
PAD CAR MECHANICAL,212092.60,210191.30,10
PAGEAU MOREL ASSOCIES,126839.86,168397.54,45
PAL AEROSPACE,1954369.42,2102694.77,84
PALADIN GROUP,153368.21,229717.97,371
PALFINGER MARINE,207213.04,232677.65,73
PAN AMERICAN DEVELOPMENT FOUNDATION,1842410.77,2242410.27,2
PANASONIC,127963.94,127025.33,224
PARKER JOHNSTON INDUSTRIES,2155712.92,2209915.07,4
PARKLAND,52916.88,52320.89,272
PARKLAND INDUSTRIES,21237.41,21835.06,269
PARKLAND REFINING,191659.23,191439.80,357
PARLEVIEW,1130000.00,4520000.00,1
PARSONS CANADA,3439358.83,7533571.59,56
PATLON AIRCRAFT INDUSTRIES,310796.32,371289.03,87
PATTISON SIGN GROUP,75113.60,76933.23,141
PAVEX,20771967.58,21053348.84,1
PCL CONSTRUCTORS,22843759.09,65878155.31,81
PEERLESS GARMENTS,1050033.75,1075377.27,30
PENN CONSTRUCTION CANADA,16173692.85,19086883.54,3
PENNANT CANADA,11932648.66,12441755.74,4
PENNECON,449504.30,483468.19,90
PEPCO,37414.45,37145.07,222
PEPIN FORTIN CONSTRUCTION,5963753.25,6320111.25,1
PERCEPTICS,2911964.00,7185692.77,4
PERSISTENT SYSTEMS,442143.60,469416.33,22
PETER J KINDREE ARCHITECT,327992.10,397189.17,15
PETER KIEWIT SONS,64990444.17,83324562.90,3
PETERS CONSTRUCTION,5203982.65,6230495.76,17
PETRO AIR SERVICES,326023.87,349989.09,37
PETROVALUE PRODUCTS,69476.79,78407.65,176
PFIZER CANADA,534523.76,576672.04,5
PHASELOCK SYSTEMS INTERNATIONAL,31232.11,31277.40,262
PHILIPPINE AIRLINES,2646220.00,2646220.00,1
PHOENIX DRUG ALCOHOL RECOVERY,1586829.50,2754249.44,5
PHOENIX STRATEGIC PERSPECTIVES,92459.80,92810.45,68
PIDHERNEY S,2413977.93,2697886.57,3
PILITAK ENTERPRISES,1183203.08,1323493.13,3
PIONEER CONSTRUCTION,3358005.04,3626410.54,2
PIPE QUEST PROJECTS,2523675.00,2951499.82,2
PITNEY BOWES,47045.05,54093.81,212
PIVOTAL POWER,521701.01,521701.01,7
PK WELDING FABRICATORS,661754.38,661754.38,8
PLANET LABS,59333.94,59333.94,78
PLEIAD CANADA,100484.00,128249.97,112
PMB ELECTRICAL SERVICES,263959.03,356250.92,30
PMG TECHNOLOGIES,1109566.38,1280080.66,122
PODOLINSKY EQUIPMENT,124454.36,125344.97,106
POINT HOPE MARITIME,1723494.65,2315697.40,8
POLARIS INDUSTRIES,64369.12,64270.97,253
POMERLEAU,26326277.63,38377179.65,32
PORT OF SPAIN HOLDINGS,334439.44,333168.44,17
PORTAGE PERSONNEL,76863.56,122158.10,70
POSTMEDIA NETWORK,177983.60,359962.18,37
POWER AUCTIONS,1423915.50,1819604.84,4
PR3 MEDIAS,1733188.07,2763778.21,5
PRA,74285.52,87659.31,108
PRAGMATIC CONFERENCING,1216221.38,3738097.27,3
PRECISION ADM,18283200.00,18283200.00,1
PRECISIONIT,291959.75,510474.71,87
PRICEWATERHOUSE COOPERS,392101.46,707496.31,801
PRIMED MEDICAL PRODUCTS,22445800.05,22445800.05,3
PRIMEX PROJECT MANAGEMENT,478638.70,670878.13,36
PRINCE GEORGE ACTIVATOR,1809405.67,2466130.57,6
PRINTERS PLUS,49773.58,50724.41,388
PRISM ENGINEERING,191644.27,193007.87,33
PRO MEDICAL INDUSTRIES,2538161.63,2538161.63,1
PROCOM CONSULTANTS,264080.77,443886.86,204
PROLINE ADVANTAGE,373182500.00,373182500.00,1
PROLOGIC SYSTEMS,70451.96,86853.26,85
PROMAXIS,332063.90,450253.01,223
PRONEX EXCAVATION,8705243.04,9477525.68,2
PROOF EXPERIENCES,334853.41,1359510.10,13
PROQUEST,92760.49,96051.19,143
PROSCI CANADA,53504.30,55313.33,288
PROTAK,358261.10,731448.30,5
PROTAK CONSULTING GROUP,202226.00,433159.11,192
PROVENCHER ROY ASSOCIES,384235.75,591909.55,19
PURELOGIC,392020.07,394305.13,364
PURESPIRIT SOLUTIONS,187670.83,210372.05,376
PUROLATOR,23289.81,25873.24,216
PV SERVICES,51976.59,51976.59,64
PW TRENCHLESS CONSTRUCTION,1235120.25,1235120.25,2
