category,d_description_en
3_information_technology,Software license - ibm case management - c&e
3_information_technology,Data communications service (include analog & digital data)
3_information_technology,Computer equipment - client computing domain - desktop/personal/portable
3_information_technology,"Communications / networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
3_information_technology,Informatic hardware
3_information_technology,Rental of computer equipment related to distributed computing environment (dce)
3_information_technology,Information technology and telecommunications consultants - technical architect and_x000d_ application software architect
3_information_technology,Information technology and telecommunications consultants - application designer
3_information_technology,"Computer equipment - desktop, personal, portable"
3_information_technology,Communications and networking equipment
3_information_technology,License and maintenance fees for server software.
3_information_technology,Appl software incl cots/development/delivery
3_information_technology,Computer equip - client - desktop/personnal/port
3_information_technology,Computer equipment-desktop/personal/portable
3_information_technology,Repair/maintenance-image/video equipment
3_information_technology,"Application software (including cots) and application development and delivery software pplic, devel, deliv software"
3_information_technology,Computer equipment - client domain
3_information_technology,Information technology and telecommunications consultants experts
3_information_technology,License/maintenance fees for server operating system and utility software
3_information_technology,Communication equipment / network
3_information_technology,Computer equipment related to distributed computing environment
3_information_technology,Computer equipment related to distributed computing environment (dce) -desktop/personal/portable (includes all related parts and peripherals)
3_information_technology,Lic/maint networking software
3_information_technology,Information tech. Consultants
3_information_technology,Comp equipmt/desktop personal
3_information_technology,Computer equip – servers incl parts and periph
3_information_technology,"Rental of computer equipment related to production and operations (p&o) environment-all servers, storage, printers, etc. (includes all related parts and peripherals)"
3_information_technology,0473 information technology and telecommunications consultants
3_information_technology,Computer equipment related to distributed computing environment (dce) (apple desktop and laptop with care)
3_information_technology,"Information technology and telecommunications consultants, webmaster, senior"
3_information_technology,Other machinery and parts
3_information_technology,Ferrous metals
3_information_technology,Info tech & telecom consultants
3_information_technology,Analog communication/networking equipment (incl related parts & periphrls)
3_information_technology,Digital (incl digtl voice) communication / networking equipment (incl reltd parts & periphrls)
3_information_technology,Powervault storage array
3_information_technology,Quantum scalar tape drive
3_information_technology,Monitor 23 inch
3_information_technology,Surface pro
3_information_technology,Notebooks
3_information_technology,Dell power edge r730 server
3_information_technology,"Acquisition of image and video communications equipment, including facsimile, image transfer equipment, facsimile-image transfer switches, television, video, associated security, test, calibration, monitoring and analysis equipment, and associated optical character devices. It excludes equipment provided as part of a service supplied by telecommunications common carriers or other telecommunications service providers. Notes: equipment provided by a image/video service provider should be classified under object 0232."
3_information_technology,"Maintenance/renewal fees for application development software, including any related royalties and licenses, which require periodic payments in order to continue their use. Application software includes information management software, business applications that support program activities, corporate and administrative systems software, business intelligence software, database management systems software and utilities, application development software, tools and utilities and integration software. Excludes costs to acquire software and one-time fees for software enhancements and upgrades. Notes: costs to acquire software and one-time fees for software enhancements and upgrades should be classified under object 1285."
3_information_technology,"License/maintenance fees for operating system and utility software related to servers, storage, periferals and components"
3_information_technology,"Image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts, and peripherals)"
3_information_technology,Printer/copier leasing costs
3_information_technology,Computer equipment purchases - nunavut
3_information_technology,Vmware recovery support renewal through combined contract with other departments
3_information_technology,Vmware support renewal through combined contract with other departments
3_information_technology,Purchase of cisco switches & accs. - toronto data centre
3_information_technology,Maintenance and support on software
3_information_technology,Video conferencing equipment
3_information_technology,Video conferencing license and unit
3_information_technology,Commvault data protection software
3_information_technology,Additional licenses and support renewal
3_information_technology,Back-up batteries for data center
3_information_technology,Creative cloud apps licencse and maintenance
3_information_technology,Professional services for the implementation of carbon black protection software.
3_information_technology,Solarwinds software and maintenance
3_information_technology,Purchase of switches and accessories
3_information_technology,Purchase of additional licenses and renewal of maintenance for nuance dragon naturally speaking software
3_information_technology,Purchase of dell pisa hardware solution
3_information_technology,Purchase of tracker pro software
3_information_technology,Tbips - sa - programmer/analyst - powerbuilder developer with 2 option periods
3_information_technology,Document hosting service
3_information_technology,Provide sccm sytems health check and roadmap for upgrading short falls - proservices
3_information_technology,Provide exchange 2010 and active directory 2008r2 health check and roadmap for upgrading short falls - proservices
3_information_technology,Purchase of 100 pc's through ssc itpro inventory
3_information_technology,Purchase of filemaker server v16 license - new
3_information_technology,Purchase of ms surface hubs and carts
3_information_technology,Purchase of av equipment for security operations - avso
3_information_technology,Purchase of av equipment portion to upgrade video conference rooms - avso
3_information_technology,Services of blackberry quickstart consultant program
3_information_technology,Purchase of av equipment for 1008
3_information_technology,Purchase of av equipment for 1147
3_information_technology,Purchase of av equipment for 1114
3_information_technology,Purchase of av equipment for 1004
3_information_technology,Purchase of av equipment for 223
3_information_technology,Purchase of av equipment for 806-van
3_information_technology,Purchase of av equipment for 6-046-tor
3_information_technology,Purchase of av equipment for 5-043-tor
3_information_technology,Purchase of av equipment for 241-mtl
3_information_technology,Purchase of av equipment for 4-045-tor
3_information_technology,Update av equipment for multiple sites
3_information_technology,Checkpoint firewall installation and configuration - proservices
3_information_technology,Installation and configuration of software
3_information_technology,Av services for install of items in qc office
3_information_technology,Cabling services - ncr
3_information_technology,Professional services for e-registry pilot project
3_information_technology,Lenovo laptops
3_information_technology,Microsoft surface pro tablet
3_information_technology,It disaster recovery site
3_information_technology,Tableau licenses and maintenance
3_information_technology,Blackberry gold bes support
3_information_technology,Accesspro software and maintenance
3_information_technology,Microsoft premier support software maintenance
3_information_technology,0583 license/maintenance fees for application software (including cots) & application development & delivery software
3_information_technology,0585 license/maintenance fees for networking software
3_information_technology,1283 computer equipment - client computing domain - desktop/personal/portable (includes related parts and peripherals)
3_information_technology,1285 application software (inc cots) and application development and delivery software
3_information_technology,1282 computer equipment - servers (includes related parts and peripherals)
3_information_technology,0582 license/maintenance fees for client software
3_information_technology,0583 license/maintenance fees for application software (including cots) and application development and delivery software
3_information_technology,1223 image/video equipment
3_information_technology,0582 - maintenance fees for client software
3_information_technology,1282 - computer equipment - servers
3_information_technology,0584 - maintenance fees server operating
3_information_technology,Laptops
3_information_technology,Help desk specialist - level 1
3_information_technology,Audio-visual production services - online animations
3_information_technology,Programmer/software developer
3_information_technology,Subscription to gartner
3_information_technology,Software - vmware
3_information_technology,Hpe transceivers
3_information_technology,Software license - mapinfo
3_information_technology,Acquisition and installation of av equipment
3_information_technology,Laptop purchase
3_information_technology,Hpe servers purchase
3_information_technology,Uninterruptable power supply
3_information_technology,Access to database for legal research
3_information_technology,Acquisition of an aruba switch
3_information_technology,Software - dreamweaver (web content management software)
3_information_technology,Video production for ccts
3_information_technology,Acquisition of audio/visual equipment
3_information_technology,Audio-visual services offered during a conference
3_information_technology,Access to ncfta website tools for 1 year
3_information_technology,Server operating system and utility software
3_information_technology,"Communications / network services (includes services for analog, digital or combined analog & digital, parts, peripherals and cabling)"
3_information_technology,1223 – image/video communications equipment
3_information_technology,0474 – information management services
3_information_technology,1285 – application software (including cots) and application development and delivery software
3_information_technology,0475 – information technology services
3_information_technology,0473 – information technology and telecommunications consultants - web content specialist
3_information_technology,"1282 – computer equipment related to production and operations (p&o) environment - all servers, storage, printers etc."
3_information_technology,0473 – information technology and telecommunications consultants - it information retrieval services
3_information_technology,0473 – information technology and telecommunications consultants - corporate and events hosting and operations management
3_information_technology,0473 – information technology and telecommunications consultants - telecommunications consultants
3_information_technology,0473 – information technology and telecommunications consultants - project advisor
3_information_technology,0473 – information technology and telecommunications consultants - technical architect and application architect
3_information_technology,0473 – information technology and telecommunications consultants - technology architect level 3
3_information_technology,"0584 – license/maintenance fees for operating system and utility software related to servers, storage, peripherals and components"
3_information_technology,0473 – information technology and telecommunications consultants - technical writer level 3
3_information_technology,1283 – computer equipment related to distributed computing environment (dce) - desktop/personal/portable
3_information_technology,0473 – information technology and telecommunications consultants - professional services for civic education website
3_information_technology,0473 – information technology and telecommunications consultants - technical writer
3_information_technology,0332 – audio-visual services
3_information_technology,Image and video communications equipment
3_information_technology,Rental of image/video communications equipment**
3_information_technology,Acquisition of communications/networking equipment
3_information_technology,Communication / network equipment
3_information_technology,Computer equipment - servers - servers
3_information_technology,NA
3_information_technology,Information technology and telecommunications consultants - commvault sw and maint
3_information_technology,"Computer equipment related to production and operations (p&o) environment - all servers, storage, printers etc (includes"
3_information_technology,"License/maintenance fees for operating system and utility software related to servers, storage, peripherals and componen"
3_information_technology,Computer equipment related to distributed computing environment (dce)-desktop/personal/portable (includes all related pa
3_information_technology,"Communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and"
3_information_technology,1289 acquisition of communications/networking equipment
3_information_technology,1283 computer equipment - client computing domain-desktop/personal/portable (includes related parts and peripherals)
3_information_technology,Computer equipment related to production and operation environment
3_information_technology,Image/video communications software (includes telepresence/video conferencing software)
3_information_technology,Comm./ Networking equipmen
3_information_technology,Client software related to distributed computing environmentalnment (dce)
3_information_technology,License/maintenance fees for client software related to distributed computing environmentalnment (dce)
3_information_technology,Computer equipment related to distributed computing environmentalnment (dce)-desktop/personal/portable (includes all related parts and peripherals)
3_information_technology,"Computer equipment related to production and operations (p&o) environmentalnment-all servers, storage, printers, etc. (includes all related parts and peripherals)"
3_information_technology,Assets - purchased application software (including cots) and application development and delivery software > $10k
3_information_technology,Purchase of computer equipment related to distributed computing environment (dce) - desktop/personal/portable < $10k
3_information_technology,Computer services - it solutions / deliverables - application / database development and maintenance (addm)_x000d_
3_information_technology,Assets - purchased client software related to distributed computing environment (dce) > $10k - desktop and office
3_information_technology,Image/video communications equipment (inc related parts and peripherals)
3_information_technology,Application software (including cost) and application development and delivery software
3_information_technology,"Application software (including cots) and application development and delivery software - st. Anthony and wabush, nl"
3_information_technology,Digital (incl digital voice) communication / networking equipment (including related parts and peripherals)
3_information_technology,Licence/maintenance fees for netwroking s/w
3_information_technology,Digital (incl digital voice) communication /networking equipment (incl related parts and peripherals)
3_information_technology,Rental or license/maintenance fees for application security software and application development and delivery security software
3_information_technology,"Computer equipment related to production and operations (p&o) environment - all servers, storage, printers etc/imprimantes, etc. (y compris pièces et périphériques"
3_information_technology,Renewal maintenance
3_information_technology,Photocopier lease - 5 years
3_information_technology,Communications consultant
3_information_technology,"Gx annual license, support and maintenance"
3_information_technology,Surface pro microsoft
3_information_technology,Dell power edge r830 server
3_information_technology,Toshiba portege laptop
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - laptops
3_information_technology,0812 comptr serv ogd - software purchase and license
3_information_technology,Main licens - software and maintenace
3_information_technology,0668 digi voice comm serv(ana
3_information_technology,Acquisition of tableau pro licenses
3_information_technology,Oracle licensing and support
3_information_technology,Hp printer m606dn - 100
3_information_technology,Oracle licenses and maintenance
3_information_technology,Renewal of goverlan + addl. Licenses
3_information_technology,Blackberry support renewals
3_information_technology,Security consoles
3_information_technology,Audio visual calgary
3_information_technology,Freebalance - renewal
3_information_technology,Oracle database appliance
3_information_technology,Security cameras for hamilton
3_information_technology,Alfresco licenses - amd 002
3_information_technology,Information managmenti services
3_information_technology,0362 data and database access services
3_information_technology,"1289 communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
3_information_technology,0332 - audio visual services
3_information_technology,0362 - data & database access service
3_information_technology,0585 - maintenance network software
3_information_technology,1289 - computer equipment servers over $5000
3_information_technology,Software license - microsoft
3_information_technology,Subscription to access database for legal research
3_information_technology,Acquisition of microsoft sharepoint licenses
3_information_technology,Printer fleet assessment
3_information_technology,Subscription to a real-time spam feed
3_information_technology,Fortinet forticare contract renewal
3_information_technology,Vmware licenses and support renewals
3_information_technology,Aruba networks / hpe foundation care support renewal for aruba wifi
3_information_technology,Absolute computrace renewal
3_information_technology,Check point software licenses and support renewal
3_information_technology,Tbips - programmer analyst level 3 - exercising option period 1
3_information_technology,Tbips - programmer analyst level 3 - exercising option period 2
3_information_technology,Smtp relay services
3_information_technology,Erp technical analyst
3_information_technology,Business analysts
3_information_technology,Database administrator
3_information_technology,Replacement of resource - exercising option period 2
3_information_technology,Task based informatics professional services (tbips)
3_information_technology,Microsoft assurance software renewal
3_information_technology,Renewal of our secdev subscription
3_information_technology,"Communications/ networking equipment (including analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
3_information_technology,"Communications/networking equipment (includes analog, digital and combined analog/digital equipment"
3_information_technology,"Rental of image/video communications equipment (includes cabling, parts and peripherals)"
3_information_technology,Communications / network services
3_information_technology,Image/video communications services
3_information_technology,Information technology and telecommunications consultants - senior business transformation architect
3_information_technology,Information technology and telecommunications consultants - business consultant
3_information_technology,Information technology and telecommunications consultants - identity and access management services
3_information_technology,Lic/maint sw appl devel and deliv software
3_information_technology,Computer equipment related to distributed computing environment (dce) - desktop/personal/portable
3_information_technology,License/maintenance fees for app.software
3_information_technology,Acquisition of application software & development
3_information_technology,License/maintenance fees - server op.system & util
3_information_technology,"Rental of image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals"
3_information_technology,0582 - license/maintenance fees for client software related to distributed computing environment (dce)
3_information_technology,0583 - license/maintenance fees for application software (including cots) and application development and delivery software
3_information_technology,"1289 - communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
3_information_technology,Computer equipment - client computing domain - desktop/personal/portable (includes related parts and peripherals)
3_information_technology,Rental of computers -client computing domain - desktop/personal/portable
3_information_technology,Digtl (incl digtl voice) communctn / netwrkng equipmnt (incl reltd parts & periphrls)
3_information_technology,Operating system software
3_information_technology,Notebook computers
3_information_technology,Comp eq-srvr (parts peri) - printers
3_information_technology,Comp eq-srvr (parts peri) - notebooks
3_information_technology,Comp eq-srvr (parts peri) - tablets
3_information_technology,Comp eq-srvr (parts peri) - monitors
3_information_technology,Comp eq-srvr (parts_x0016_peri) - printers
3_information_technology,Audio visual services
3_information_technology,Vmware application support
3_information_technology,Cabling and tracing
3_information_technology,System implementation person
3_information_technology,Professional services-quebec courtroom - tracing and layout of cables and devices
3_information_technology,Vsphere 6 enterprise licenses
3_information_technology,Network cables
3_information_technology,Taxfind online
3_information_technology,Subscription tax databases taxnetpro
3_information_technology,Subscription tax databases intelliconnect
3_information_technology,Bestcase library database
3_information_technology,Renewal of symantec licenses and support
3_information_technology,Renewal of freebalance accounting software licenses
3_information_technology,Polycom maintenance
3_information_technology,Vmware vsphere support
3_information_technology,Quickfield(laserfiche)
3_information_technology,Watchguard xtm 850 support
3_information_technology,Malware bytes liscs.
3_information_technology,Modular battery replacement service
3_information_technology,Cisco hardware license
3_information_technology,Router and accessories
3_information_technology,Monitors (80)
3_information_technology,Ms true-up sys datacenter
3_information_technology,Viq encompass -renewal
3_information_technology,Ssd drives for it
3_information_technology,Electronic court room equipment
3_information_technology,Dell poweredge r230 servers
3_information_technology,Ecourtroom project
3_information_technology,Update av
3_information_technology,Install and update vc equipment
3_information_technology,Surface pros
3_information_technology,Tecra laptops
3_information_technology,Toshiba tecra laptops
3_information_technology,Planetpress connect software & support
3_information_technology,"23"" monitors - 100"
3_information_technology,Forescout renewal
3_information_technology,Polycom licenses
3_information_technology,Software upgrade and services
3_information_technology,Dell 5050 optiplex pc's - 12
3_information_technology,Polycom - ceiling mics
3_information_technology,Portable radios - security
3_information_technology,0812 information technology managed services
3_information_technology,0362 - data & database access serv.
3_information_technology,0473 - info tech & tele consultants
3_information_technology,1285 - prepaid - application software
3_information_technology,Acquisition of microsoft system centre configuration manager licenses.
3_information_technology,Audience measurement data
3_information_technology,Opentext software maintenance and support
3_information_technology,Database analyst / im administrator
3_information_technology,Accellion licenses renewal
3_information_technology,Information technology and telecommunications consultants - technical architect
3_information_technology,Information technology and telecommunications consultants - business analyst and erp functional analyst
3_information_technology,Information technology and telecommunications consultants - database administrator
3_information_technology,Information technology and telecommunications consultants - privacy impact assessment
3_information_technology,Information technology and telecommunications consultants - job descriptions writing services
3_information_technology,Information technology and telecommunications consultants - expert consultant services
3_information_technology,Information technology and telecommunications consultants - technical architect and application architect
3_information_technology,Information technology and telecommunications consultants - crm solution experts
3_information_technology,Équipement informatique relié à l'environnement informatique décentralisé
3_information_technology,Équipement informatique de l'environnement de production et des opérations
3_information_technology,Information technology and telecommunications consultants - intermediate database administrator
3_information_technology,Rental of computers - client computing domain
3_information_technology,R&m image/video equipment
3_information_technology,It consultants to develop and test for the implementation of the next version of its case management tool
3_information_technology,1285 - application software (including cots) and application development and delivery software
3_information_technology,It consultants - application / database development and maintenance (addm)
3_information_technology,"Rental of audio visual equipment (includes cabling, parts and peripherals)"
3_information_technology,Video networking equipment
3_information_technology,Computer monitors
3_information_technology,Analytical or scientific software
3_information_technology,Tape drive libraries
3_information_technology,0583 main licens - software and maintenace
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - audio visual equipment
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - printer
3_information_technology,1282 comp eq-srvr (parts_x0016_peri) - computers
3_information_technology,0583 software
3_information_technology,Comp equi[ client desktop/personal/port
3_information_technology,"23"" monitors - 60"
3_information_technology,Secured usb keys and application
3_information_technology,Installation of battery cabinet-cdc
3_information_technology,"Evidence management system, e-trial toolkit technical support"
3_information_technology,Ecourtroom - toronto - polycom vcso
3_information_technology,"Ibm i2 analyst's notebook licenses, sw subscription & support"
3_information_technology,Ecourtroom - toronto - samsung avso
3_information_technology,Ecourtroom - toronto - crestron avso
3_information_technology,Amd002 - subscription tax databases taxnetpro
3_information_technology,Terminotix hosting services - amd 001
3_information_technology,"Audio-visual services to support departmental programs, special events and presentations, such as for films, slides, videos, microfilms, etc."
3_information_technology,1293 - application software over $5k
3_information_technology,1283 - computer equipment client domain
3_information_technology,0583 - maintenance fee application software
3_information_technology,0584 - maintenance fee server operation
3_information_technology,1292 - communication/networking equipment
3_information_technology,1223 - image/video communications
3_information_technology,Info. technology and telecommunication consultants
3_information_technology,It support renewal
3_information_technology,Conversion services (html5 and application of the standard on web accessibility (wcag 2.0 aa))
3_information_technology,Acquisition of axiom memory for lenovo servers
3_information_technology,It equipment - laptops
3_information_technology,Tape library for data protection
3_information_technology,Renewal of gartner it leaders subscription for advisors
3_information_technology,Audio-visual production services
3_information_technology,Image/video communication software (includes telepresence/video conferencing software)
3_information_technology,Information technology and telecommunications consultants - business intelligence developer
3_information_technology,Information technology and telecommunications consultants - work description writing services
3_information_technology,Information technology and telecommunications consultants - business system analyst
3_information_technology,Information technology and telecommunications consultants - security specialist level 3
3_information_technology,Information technology and telecommunications consultants - network analyst level 3
3_information_technology,Information technology and telecommunications consultants - business analyst
3_information_technology,Information technology and telecommunications consultants - senior instructor for gcdocs
3_information_technology,Computer equipment - desktop/personal/portable
3_information_technology,Information technology & telecommunications consultants
3_information_technology,License and maintenance fees for server software
3_information_technology,License/maintenance fees for application on software (including cots) and application development and delivery software
3_information_technology,Application software - development & delivery
3_information_technology,Video communications services (analog / digital)
3_information_technology,Communications/networking equipment acquisition
3_information_technology,Communications/networking equipment repair
3_information_technology,License/maintenance fees for application software (voip sw support)
3_information_technology,"Image/video communications equipment (includes telepresence/video conferencing equipment, cablin"
3_information_technology,0812 - computer services (includes it solutions / deliverables as well as it managed services)
3_information_technology,"0672 - computer equipment related to production and operations (p&o) environment - all servers, storage, printers, etc. (Includes all related parts and peripherals)"
3_information_technology,0588 - rental of computer equipment related to distributed computing environment (dce) - desktop/personal/portable (includes all related parts and peripherals)
3_information_technology,1223 image/video communications equipment (incl related parts and peripherals)
3_information_technology,Tape drives
3_information_technology,Network switches
3_information_technology,Computer servers
3_information_technology,Hard disc arrays
3_information_technology,Audioconferencing systems
3_information_technology,1282 comp eq-srvr (partsperi) - scanner
3_information_technology,1282 comp eq-srvr (partsperi) - laptops
3_information_technology,1282 comp eq-srvr (partsperi) - printers
3_information_technology,1282 comp eq-srvr (partsperi) - thin clients
3_information_technology,1282 comp eq-srvr (partsperi) - monitors
3_information_technology,1282 comp eq-srvr (partsperi) - docking stations
3_information_technology,1282 comp eq-srvr (partsperi) - briefcases
3_information_technology,1282 comp eq-srvr (parts peri)
3_information_technology,Data communication services including analog/digital
3_information_technology,Client software related to distributed computing
3_information_technology,Checkpoint firewall installation and configuration - proservices - amd 003
3_information_technology,Tbips-sa - project manager
3_information_technology,Tbips-sa - programmer analysts
3_information_technology,Filemaker 50 license s&m renewal
3_information_technology,Tbips-sa project manager & technical architect
3_information_technology,Special pc
3_information_technology,"Monitors - 23"" - 66 for ecourtrooms - tor"
3_information_technology,Prism add-on software
3_information_technology,Polycom equipment - tor - 7c
3_information_technology,Polycom equipment - tor - 6c
3_information_technology,Creston equipment - tor-7c
3_information_technology,Creston equipment - tor-6c
3_information_technology,Avso items for ecourtroom - tor-7c
3_information_technology,Avso items for ecourtroom - tor-6c
3_information_technology,Commvault renewal
3_information_technology,Vmware renewasl
3_information_technology,Equipment for ecourtroom - 306 - mtl
3_information_technology,Avso-crestron items - ecourtroom - 306 - mtl
3_information_technology,Vcso items for ecourtroom - 306 - mtl
3_information_technology,Headsets
3_information_technology,Solarwinds lem500 & workstation
3_information_technology,Sparks workstations
3_information_technology,Office furniture -winnipeg
3_information_technology,Kent - workstations
3_information_technology,Avso labour and installation of system upgrade
3_information_technology,Microsoft enterprise renewal
3_information_technology,Proservices - technical architect and project manager
3_information_technology,Proservices - hr consultants
3_information_technology,Ibm link analysis tool
3_information_technology,Oracle appliance expansion kit and install
3_information_technology,Printer plotter
3_information_technology,Adobe creative cloud
3_information_technology,Kace appliance
3_information_technology,Dell laptops - 15
3_information_technology,Ssd drives for laptops
3_information_technology,Forescout
3_information_technology,Polycom av items
3_information_technology,Crestron av items
3_information_technology,Various av items
3_information_technology,Printers
3_information_technology,Bassett pro software
3_information_technology,Electronic news subscription
3_information_technology,Terminotix hosting services - amd 003
3_information_technology,Tbips-sa - project manager - amd 001
3_information_technology,Tbips-sa - programmer analysts - amd 001
3_information_technology,Taxfind online subscription
3_information_technology,Oracle licenses maintenance and support
3_information_technology,Laserfiche maintenance and support
3_information_technology,"Themis support, technical architect (proservices)"
3_information_technology,"Court reporting, court registrar technician and transcription services - regina"
3_information_technology,"Court reporting, court registrar technician and transcription services - alberta, yukon, and northwest territories"
3_information_technology,Antidote 9 add'l licenses & renewal of maintenance
3_information_technology,Court usher services - toronto
3_information_technology,Court usher services - winnipeg
3_information_technology,Renewal freebalance software
3_information_technology,Add'l licenses & renewal of maintenance
3_information_technology,Renewal of cisco technical support
3_information_technology,Microsoft enterprise agreement maintenance and support
3_information_technology,Installation of conectivity equipment
3_information_technology,Purchase of ssd's
3_information_technology,Amd001 - ths - computer application support
3_information_technology,0584 license/maintenance fees for server operating system and utility software
3_information_technology,0915 computer equipment related to production and operations (p&o)
3_information_technology,0473 - info tech & telecommunication consultants
3_information_technology,1286 - server operating system
3_information_technology,0812 - computer services
3_information_technology,"Information technology and telecommunications consultants professional contracting and consulting services that support any information technology service (including distributed computing, application and database development and maintenance, production and operations computing, telecommunications, it security and it program management services). These services engage suppliers to augment it staff."
3_information_technology,Database administrator - alexandra vukovic
3_information_technology,Performance monitoring products for residential broadband internet services
3_information_technology,Professional services for lync 2010 to skype 2019 upgrade
3_information_technology,Web usability for the support centre
3_information_technology,Acquisition of computer monitors
3_information_technology,Acquisition of tablets
3_information_technology,Vmware support renewal
3_information_technology,Renewal of yearly subscription to domaintools
3_information_technology,Virus total
3_information_technology,Purchasing macbookpro
3_information_technology,Adobe dreamweaver cc & cc for teams yearly licenses renewal
3_information_technology,Video production
3_information_technology,Ups server room battery replacement
3_information_technology,Subscription and support renewal of ibm information management solutions.
3_information_technology,Acquisition of audio-visual equipment
3_information_technology,Procurement expertise services
3_information_technology,Service of a database analyst (sql)
3_information_technology,Ups power system
3_information_technology,Annual subscription to westlaw online database
3_information_technology,Renewal of mapinfo for 19-20
3_information_technology,Annual subscription to passive dns pro
3_information_technology,"Communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripher)"
3_information_technology,Image/video communication software
3_information_technology,Information technology and telecommunications consultants - senior project scheduler
3_information_technology,"Computer equipment related to production and operations (p&o) environment -all servers, storage, printers etc. (Includes all related parts and peripherals)"
3_information_technology,Information technology and telecommunications consultants - gis architecture professional services
3_information_technology,Information technology and telecommunications consultants - gis development professional services
3_information_technology,Information technology and telecommunications consultants - project advisor
3_information_technology,Information technology and telecommunications consultants - system analyst
3_information_technology,Information technology and telecommunications consultants - senior it instructor
3_information_technology,Information technology and telecommunications consultants - system administrator
3_information_technology,Information technology and telecommunications consultants - network security analyst
3_information_technology,Information technology and telecommunications consultants - technology architect
3_information_technology,Information technology and telecommunications consultants - security specialist
3_information_technology,Information technology and telecommunications consultants - platform analyst
3_information_technology,Information technology and telecommunications consultants - expert consultant of federal electoral system
3_information_technology,Other professional services not elsewhere specified -
3_information_technology,Information technology and telecommunications consultants - performance tester
3_information_technology,Computer services (includes information technology (it) solutions/deliverables as well as it managed services)
3_information_technology,License/maintenace fees for clients software related to distributed computing environment (dce)
3_information_technology,Information technology and telecommunication consultants
3_information_technology,Volume scanning
3_information_technology,Links between cf / cfa and cmf
3_information_technology,It consulting services
3_information_technology,Furniture quantum
3_information_technology,Furniture for vmware environment
3_information_technology,Digital services equipments
3_information_technology,Conseillers en ti application
3_information_technology,"Miscellaneous textiles, headgear, umbrellas, etc."
3_information_technology,Rental of computer
3_information_technology,Network equipment acquisition
3_information_technology,License/maintenance fees for software
3_information_technology,"Communications/network services (includes services for analog, digital or combined analog & digital, parts, peripherals and cabling)"
3_information_technology,0231 data communications services (includes analog and/or digital data communication services)
3_information_technology,Computer equipment related to distributed computing enviroment
3_information_technology,Client software related to distributed computing environment
3_information_technology,Repair of computer equipment related to the distributed comp
3_information_technology,0588 rental of computers -client computing domain - desktop/personal/portable
3_information_technology,Video communications services (includes analog and/or digital video communication services)
3_information_technology,Informatics technology services
3_information_technology,Application (cots) and application development and delivery software
3_information_technology,1289 acquisition of communications/ networking equipment
3_information_technology,Computer services (solution it/management services)
3_information_technology,Microsoft surface pro
3_information_technology,Latitude laptops
3_information_technology,Optiplex 5050 desktops
3_information_technology,Belkin kvm switches and cabling
3_information_technology,Precision 7730 laptops
3_information_technology,Administrative data and data/databases not specified elsewhere
3_information_technology,Digital (incl digital voice) communication / networking equipment (incl reltd parts & periphrls)
3_information_technology,Software maintenance
3_information_technology,Visual presenters
3_information_technology,Desktop computers
3_information_technology,Liquid crystal display lcd panels or monitors
3_information_technology,Back-up tape
3_information_technology,Telephone entry systems
3_information_technology,0583 - software
3_information_technology,0475 information technolgoy services
3_information_technology,1221 voice communic equip
3_information_technology,1282 comp eq-srvr (partsperi)
3_information_technology,Amendment to exercise option year
3_information_technology,Required to add additional licenses to the contract
3_information_technology,Tbips - sa - programmer/analyst - powerbuilder developer - amd 002
3_information_technology,Computer equipment related to distributed computing environment - desktop/personal / portable
3_information_technology,Application software and application development and delivery software
3_information_technology,"Communications/networking equipment (includes analog, digital and combined analog/digital equipment)"
3_information_technology,"Image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts, and periferals)"
3_information_technology,License/maintenance fees for application software (including cots) addm and application development and delivery software
3_information_technology,"Computer equipment related to production and operations (p&o) environment-all servers, storage, printers, etc.-repairs and maintenance (includes all related parts and peripherals)"
3_information_technology,0590 license/maintenance fees for image/video communications software
3_information_technology,License/maintenance fees for application software (including cots) and
3_information_technology,0585 - maintenance fee network software
3_information_technology,0473 - it & telecommunications consultants
3_information_technology,Information technology and telecommunications consultants - programmer and software developer services
3_information_technology,Information technology and telecommunications consultants - database administrator services
3_information_technology,Information technology and telecommunications consultants - performance tester services
3_information_technology,Information technology and telecommunications consultants - web accessibility testing
