d_vendor_name,min_overall_value,n
W S MORGAN CONSTRUCTION,594235.83,5
WAINWRIGHT MARINE SERVICES,13098.75,14
WAJAX,6574.43,401
WAMPUM RECORDS,10206.00,55
WARTSILA,10001.21,385
WASTE CONNECTIONS OF CANADA,11489.84,27
WASTE MANAGEMENT OF CANADA,10457.58,23
WATCHGUARD VIDEO,10170.60,39
WATERS,5299.71,295
WAZANA CLOTHING,99491989.67,1
WCG INTERNATIONAL CONSULTANTS,143157607.00,3
WEATHERHAVEN CANADA,12586.35,4
WEBSTER ELECTRIC,10477.95,40
WEIR CANADA,26250.00,7
WESCO DISTRIBUTION CANADA,10086.95,98
WEST COAST TUG BARGE,15225.00,12
WEST WIND AVIATION,15750.00,7
WESTBURY NATIONAL SHOW SYSTEMS,10061.61,57
WESTCO CONSTRUCTION,121485.00,5
WESTCOAST GENESIS SOCIETY,119437.50,7
WESTCOMB OUTERWEAR,11757606.62,1
WESTJET,14336.70,2
WESTOWER COMMUNICATIONS,10043.21,103
WHITE BEAR INDUSTRIES,700770.00,7
WHOOSHH INNOVATIONS,189295.47,2
WILCO CONTRACTORS SOUTHWEST,26460.00,10
WILD STONE ENGINEERING,2041409.59,4
WILDLIFE COMPUTERS,10628.08,87
WILDSTONE CONSTRUCTION,17035.49,10
WILLIAM J BARKER CLINICAL,127047.38,4
WILLS TRANSFER,11497.50,49
WINMAR CANADA INTERNATIONAL,53100000.00,1
WINTERSTEIGER,10016.57,74
WM M 1993,174057.10,6
WOLTERS KLUWER,10170.00,104
WOOD CANADA,10439.70,338
WOODWARD S OIL,10402.79,49
WOOLLY MAMMOTH OUTERWEAR,49420663.00,2
WORKDYNAMICS TECHNOLOGIES,5936.76,130
WORKPLACE HEALTH AND COST SOLUTIONS,10938.40,16
WORLD FUEL SERVICES,41625.75,4
WORLD UNIVERSITY CONSORTIUM,14836394.00,1
WORLD UNIVERSITY SERVICE OF CANADA,24500.00,8
WORLDREACH SOFTWARE,34239.00,11
WPP GROUP CANADA COMMUNICATIONS,10215.00,64
WRIGHT CONSTRUCTION WESTERN,32438561.46,1
WSP,5308.54,1011
WYSSEN AVALANCHE CONTROL,12700.80,8
XEROX,6648.39,1368
XPERA RISK MITIGATION INVESTIGATION,4332069.70,2
YAMAHA MOTORS CANADA,10046.63,256
ZAYO CANADA,11639.95,85
ZENITH PAVING,11270.70,5
ZERNAM ENTERPRISE,14807.52,41
ZODIAC HURRICANE TECHNOLOGIES,15242.10,16
ZOLL MEDICAL CANADA,17952.57,10
ZUTPHEN CONTRACTOR,19617.23,23
ZYCOM,11749.45,67
