d_vendor_name,mean_number_of_amendments,n
ST LEONARD S SOCIETY HAMILTON,2.43,7
ST LEONARDS HOUSE WINDSOR,2,3
ST LEONARDS PLACE PEEL,1.8,5
ST LEONARDS SOCIETY OF NORTH VANCOUVER,2.75,4
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,2.5,2
ST OPS TACTICAL TRAINING CANADA,1,5
ST PATRICKS HOUSE SOCIETY,5,1
STANFIELDS,1,1
STANLEY CONSTRUCTION,3,1
STANTEC,1.92,372
STAPLES ADVANTAGE CANADA,1,1
STEDFAST,1,2
STEPPED CARE SOLUTIONS,3,1
STERIS CANADA,1.33,15
STERLING FUELS,1,8
STIFF SENTENCES,2,2
STONEHENGE THERAPEUTIC COMMUNITY,2.5,2
STONEWORKS TECHNOLOGIES,1.42,12
STRATOS,1.38,29
SUBARU CANADA,1.38,8
SUMMIT CANADA DISTRIBUTORS,1.29,7
SUN LIFE ASSURANCE COMPANY,5,2
SUNCOR ENERGY,1.06,17
SUPER CHANNEL INTERNATIONAL,1.17,6
SUPERIOR CONTRACTING,1,2
SUPERMAX HEALTHCARE CANADA,1,1
SUPREMEX,1.67,15
SURE FORM CONTRACTING,1,1
SUSE SOFTWARE SOLUTIONS CANADA,3,1
SUSTAINABLE TRAILS 2011,1.83,6
SUTHERLAND EXCAVATING,1.67,30
SWITCH HEALTH,1.5,4
SYFT TECHNOLOGIES,3.5,2
SYLVIE ROY,1,4
SYM COMMUNICATIONS,1.13,15
SYMCOR,2,1
SYNERGIE MEDICALE BRG,2,1
SYNERSOLUTIONS TECHNOLOGIES,2,1
SYNTAGME,1.6,5
SYSCO SERCA FOOD SERVICES ATLANTIC,2.12,8
SYSTEMATIX SOLUTIONS,2.41,98
SYSTEMES URBAINS,2,1
SYSTEMSCOPE,2.17,48
T E S THE EMPLOYMENT SOLUTION,2,4
T R HINAN CONTRACTORS,1.5,2
T3P CONSTRUCTION,2.5,2
TAG HR,1.36,25
TAG HR THE ASSOCIATES GROUP,1.36,11
TALIGENT CONSULTING,2.22,23
TANGLE RIDGE CUSTOM CRUSHING,2,1
TANKATEK,1.3,10
TAURUS CONTRACTORS,1.5,10
TAYLOR FRANCIS,2,1
TAYLOR HAZELL ARCHITECTS,3.75,8
TCI TRANSLATORS CONFERENCE,1.67,3
TDI INTERNATIONAL,3.25,4
TECAN,1,1
TECHNE SEATING COMPONENT,1.67,3
TECHNOMICS,2,1
TECHNOREM,2.44,16
TECSIS,3.33,3
TEEL TECHNOLOGIES CANADA,1.75,4
TEKNION,1.44,81
TEKSYSTEMS CANADA,3.44,211
TELECOM COMPUTER SERVICES,1.39,36
TELEDYNE,1,8
TELESAT,4.14,21
TELUS CANADA,1.97,70
TENAQUIP,1,3
TERAMACH TECHNOLOGIES,1.69,54
TERLIN CONSTRUCTION,5,3
TERVITA,1.69,13
TES CONTRACT SERVICES,2.28,92
TESTFORCE SYSTEMS,1,6
TETRA TECH,1.83,66
TFORCE FINAL MILE,1.67,3
THALES,2.6,5
THE AIM GROUP,1.96,190
THE CALGARY AIRPORT AUTHORITY,5,1
THE CANADA LIFE ASSURANCE COMPANY,1,1
THE CONFERENCE BOARD OF CANADA,1.38,8
THE GLOBE AND MAIL,2,3
THE HALIFAX COMPUTER CONSULTING GROUP,2,8
THE HALIFAX GROUP,1.67,9
THE IT BROKER,2.33,3
THE KTL GROUP,1.94,17
THE MASHA KRUPP TRANSLATION GROUP,1.62,37
THE MATHWORKS,1.4,10
THE RIGHT DOOR,1.56,9
THE RIGHT DOOR CONSULTING,1.32,72
THE ROYAL ARCHITECTURAL INSTITUTE,3,2
THE STEVENS COMPANY,2,1
THE UNIVERSITY OF WESTERN ONTARIO,1,1
THE VCAN GROUP,2.53,15
THERMO FISHER SCIENTIFIC,1.24,41
THG THE HISTORY GROUP,1.18,17
THINKON,2,3
THINKPOINT,1,5
THOMAS SCHMIDT,1.75,12
THOMPSON BOILER WORKS,1.27,11
THOMSON REUTERS,1.81,16
THRIVE HEALTH,2,2
THYSSENKRUPP ELEVATOR,1.73,15
TIREE,2.02,94
TISSEUR,3.89,9
TITAN BOATS,1.56,9
TITANIUM CONSTRUCTION,2.33,6
TITUS,3,1
TOFCON CONSTRUCTION,2,2
TOM JONES,3,1
TOROMONT,1.27,71
TORONTO BAIL PROGRAM,2,1
TORONTO PORT AUTHORITY,3,1
TORONTO STAMP,1,1
TOSHIBA CANADA,1.83,18
TOTEM OFFISOURCE,1.26,23
TOURE CLEANING SERVICES,2.23,13
TOYOTA,1.55,40
TPG TECHNOLOGY CONSULTANTS,3.1,310
TRACK24 CANADA,2.5,2
TRADUCTIONS PIERRE CLOUTIER,1,1
TRADUCTIONS SCRIPTIS,1,3
TRAINOR MECHANICAL CONTRACTORS,3,7
TRANE CANADA,1.7,10
TRANSPOLAR TECHNOLOGY,1.62,13
TRANSWEST AIR,1.2,5
TRAUGOTT BUILDING CONTRACTORS,3,2
TRAYTOWN BUILDERS,2.5,6
TRI STAR INDUSTRIES,1,1
TRI WAVE CONSTRUCTION,2,1
TRIDENT CONSTRUCTION,2.33,3
TRIPLEWELL CANADA,2,1
TRM TECHNOLOGIES,2.03,69
TROY LIFE FIRE SAFETY,1.43,7
TSI,1,2
TSUU T INA CONTRACTING GP,2,1
TUNDRA TECHNICAL SOLUTIONS,2,22
TURNER TOWNSEND,2,7
TURTLE ISLAND STAFFING,1.3,56
TYCO INTEGRATED FIRE SECURITY,1.76,21
U BUILD CONSTRUCTION,1,2
UBIQUS CANADA,1.22,27
ULTIMATE CONSTRUCTION,3.5,2
ULTRA ELECTRONICS,2,2
UNCHARTED SOFTWARE,1,2
UNIFORM WORKS,1,1
UNISOURCE,1,1
UNISYS CANADA,5.5,2
UNITED CHURCH HALFWAY HOMES,3,2
UNITED RENTALS OF CANADA,1.33,3
UNIVERSAL HELICOPTERS,2.1,10
UNIVERSAL SHEET METAL,1.67,3
UNIVERSITE DE MONTREAL,1.44,9
UNIVERSITE DE SHERBROOKE,2,3
UNIVERSITE LAVAL,1.3,10
UNIVERSITE SAINTE ANNE,1.56,54
UNIVERSITY OF ALASKA FAIRBANKS,4,1
UNIVERSITY OF ALBERTA,1.36,25
UNIVERSITY OF BRITISH COLUMBIA,2,5
UNIVERSITY OF CALGARY,1.62,8
UNIVERSITY OF GUELPH,1.35,20
UNIVERSITY OF MANITOBA,1,1
UNIVERSITY OF NEW BRUNSWICK,1.73,11
UNIVERSITY OF OTTAWA,1.9,21
UNIVERSITY OF REGINA,1.5,2
UNIVERSITY OF SASKATCHEWAN,1.92,13
UNIVERSITY OF TORONTO,1.31,13
UNIVERSITY OF WATERLOO,1.33,12
UNIVERSITY OF WESTERN ONTARIO,1.67,6
UQSUQ,4,1
URBAN VALLEY TRANSPORT,1,1
URTHECAST,2,1
VAISALA CANADA,2.62,8
VALCOM CONSULTING,8.25,8
VANCOUVER AIRPORT AUTHORITY,3,1
VANCOUVER DRYDOCK COMPANY,1.33,3
VANCOUVER FRASER PORT AUTHORITY VFPA,3,1
VANCOUVER PILE DRIVING,2,6
VANCOUVER SHIPYARDS,4.73,11
VANRX PHARMASYSTEMS,1.5,2
VARD MARINE,3,2
VCI CONTROLS,1,5
VECTOR AEROSPACE,1,8
VERITAAQ TECHNOLOGY HOUSE,2.92,870
VERITAS TECHNOLOGIES,2,4
VERREAULT NAVIGATION,2.1,10
VERSATIL BPI,1,1
VETEMENTS COOKSHIRE,2.5,2
VFA CANADA,6,3
VFS GLOBAL,1.91,11
VIA TRAVAIL,2.12,8
VIDCRUITER,1.15,13
VIRTUAL POSSIBILITIES DIVISION,1,1
VISIONTEC,1.8,5
VMWARE,1.57,7
VOYAGEUR AVIATION,1,1
VOYAGEUR TRANSPORTATION,6,1
VVI CONSTRUCTION,4.75,4
VWR INTERNATIONAL,1,13
W S MORGAN CONSTRUCTION,2.25,4
WAINWRIGHT MARINE SERVICES,1,1
WAJAX,1.15,54
WAMPUM RECORDS,1.2,15
WARTSILA,1.25,60
WASAUKSING FIRST NATION,2,2
WASTE CONNECTIONS OF CANADA,1.22,9
WASTE MANAGEMENT OF CANADA,1.4,5
WATCH SYSTEMS L L C,2,1
WATCHGUARD VIDEO,1,2
WATERS,1.25,24
WATERSHED INFORMATION TECHNOLOGY,1.67,3
WATERWORKS CONSTRUCTION,1,1
WAZANA CLOTHING,3,1
WCG INTERNATIONAL CONSULTANTS,3,1
WEBSTER ELECTRIC,1.2,10
WESCO DISTRIBUTION CANADA,2.4,5
WEST COAST TUG BARGE,1.29,7
WEST WIND AVIATION,1,1
WESTBURY NATIONAL SHOW SYSTEMS,1.33,9
WESTCO CONSTRUCTION,3,3
WESTCOAST GENESIS SOCIETY,2.17,6
WESTCOMB OUTERWEAR,2,1
WESTERN CANADA MARINE RESPONSE,1,2
WESTERN MECHANICAL ELECTRICAL,2,1
WESTERN PETROLEUM,1.17,6
WESTJET,1,2
WESTOWER COMMUNICATIONS,1.5,16
WHITE BEAR INDUSTRIES,1,2
WHITECHURCH CONSTRUCTION,1.5,4
WHOOSHH INNOVATIONS,3,1
WILCO CONTRACTORS SOUTHWEST,3.57,7
WILD STONE ENGINEERING,1.5,2
WILDLIFE COMPUTERS,1,7
WILDSTONE CONSTRUCTION,2.57,7
WILLIAM J BARKER CLINICAL,3.5,2
WILLS TRANSFER,1.65,20
WINMAR CANADA INTERNATIONAL,5,1
WINMAR LONDON,1,1
WINNIPEG AIRPORT AUTHORITY,3,1
WINTERSTEIGER,1,2
WM M 1993,2.33,6
WOLTERS KLUWER,2.45,11
WOOD CANADA,1.42,55
WOOD ENVIRONMENT INFRASTRUCTURE,1.45,11
WOOD MACKENZIE,1,1
WOODWARD S OIL,1,2
WOOLLY MAMMOTH OUTERWEAR,2.5,2
WORKDYNAMICS TECHNOLOGIES,1.8,30
WORKPLACE HEALTH AND COST SOLUTIONS,3.43,7
WORLD FUEL SERVICES,1,2
WORLD UNIVERSITY SERVICE OF CANADA,1,1
WORLDREACH SOFTWARE,2.33,6
WORLEY PARSONS,2,4
WPP GROUP CANADA COMMUNICATIONS,1.38,13
WRIGHT CONSTRUCTION WESTERN,12,1
WSP,1.98,325
WTB LANGUAGE GROUP,1.14,7
WYSSEN AVALANCHE CONTROL,1.33,3
XANALYS CANADA,1,1
XEROX,1.57,270
XPERA RISK MITIGATION INVESTIGATION,1,1
XPERT SOLUTIONS TECHNOLOGIQUES,8,1
XPERTEK CONSTRUCTION 2004,1,5
YAMAHA MOTORS CANADA,1.17,18
YELLOWHEAD HELICOPTERS,1.11,9
YOURTE CA,1.29,7
ZAYO CANADA,1.51,43
ZENITH PAVING,3,1
ZERNAM ENTERPRISE,2,13
ZODIAC HURRICANE TECHNOLOGIES,4.2,5
ZUTPHEN CONTRACTOR,1.67,12
ZYCOM,1.67,3
