d_vendor_name,total_amendment_increase_value,n
PILITAK ENTERPRISES,570789.11,4
PIONEER CONSTRUCTION,536811.00,1
PIPE QUEST PROJECTS,855649.65,1
PITNEY BOWES,1848505.64,29
PITTMAN S ENTERPRISES,30273.41,3
PLANET LABS,765731.11,4
PLEIAD CANADA,2551513.49,19
PMB ELECTRICAL SERVICES,2579889.01,24
PMG TECHNOLOGIES,23807323.27,45
PODOLINSKY EQUIPMENT,67373.51,4
POINT HOPE MARITIME,4737622.01,5
POLARIS INDUSTRIES,85393.53,16
POMERLEAU,365582832.16,17
PORT OF SPAIN HOLDINGS,-65826.36,8
PORTAGE PERSONNEL,3775937.70,42
PORTS 79,6566931.57,1
POSTMEDIA NETWORK,13329537.08,5
POWER AUCTIONS,1582757.36,4
PR3 MEDIAS,6282055.12,3
PRA,1401133.11,17
PRAGMATIC CONFERENCING,7565627.68,1
PRECISIONIT,18039733.99,53
PRICEWATERHOUSE COOPERS,233405417.25,397
PRICEWATERHOUSECOOPERS ESIT CANADA ENTERPRISE SERVICES IN JV,80482.50,1
PRINCE GEORGE ACTIVATOR,6758428.40,2
PRINTERS PLUS,250044.31,23
PROCOM CONSULTANTS,28680329.67,126
PROLINE ADVANTAGE,0.00,1
PROLOGIC SYSTEMS,1348052.21,33
PROMAXIS,3038794.00,25
PRONEX EXCAVATION,2278978.58,2
PROOF EXPERIENCES,13697558.01,7
PROQUEST,290155.41,8
PROSCI CANADA,464841.85,13
PROTAK CONSULTING GROUP,44334919.20,95
PROVENCHER ROY ASSOCIES,4302889.63,14
PUBLIVATE,107019.24,6
PURELOGIC,0.00,5
PURESPIRIT SOLUTIONS,16285389.58,25
PUROLATOR,372310.71,29
PYLON ELECTRONICS,344925.00,2
QATAR AIRWAYS,0.00,5
QIAGEN,2799587.03,5
QINETIQ,1843059.15,1
QM ENVIRONMENTAL,12061121.33,20
QMR,10112232.84,198
QUADBRIDGE,3794.18,1
QUANTUM MANAGEMENT SERVICES,54752466.83,48
QUARTZ NATURE,256720.32,1
QUEEN S UNIVERSITY,1872975.92,8
QUESTEL ORBIT,4417345.46,5
QUINAN CONSTRUCTION,2881046.70,9
QUINTET CONSULTING,1594502.25,61
QUOREX CONSTRUCTION SERVICES,5265998.84,8
QUORUM,6659311.68,3
QUORUS CONSULTING GROUP,148829.73,12
R C M MODULAIRE,6380309.93,1
R E GILMORE INVESTMENTS,11508075.22,19
R GUILBEAULT CONSTRUCTION,213620.52,1
R J MACISAAC CONSTRUCTION,179481.12,1
R LAMBA FORENSIC PSYCH SERVICE,2500000.00,1
R R INTERNATIONAL TRANSLATION,11610090.53,61
R W TOMLINSON,966972.43,6
RACEROCKS 3D,22858.28,1
RACING FORENSICS,2743484.27,1
RADIATION SOLUTIONS,6018239.37,4
RAMPART INTERNATIONAL,2829578.34,7
RANDSTAD,77995473.10,521
RANDSTAD INTERIM INTERIM,317357.92,3
RAPISCAN SYSTEMS,139594.79,4
RATIO ARCHITECTURE INTERIOR DESIGN,2998126.83,13
RAYMOND CHABOT GRANT,50850.00,1
RAYMOND CHABOT GRANT THORNTON,12938242.03,110
RAYTHEON,-15783.46,1
REDACTED,2802400.00,2
REDMANGO MEDIA,0.00,2
REDWOOD PERFORMANCE GROUP,3395.45,4
REFORMAR,2507333.80,2
REGENT CONSTRUCTION,3964490.40,4
REHAB,6794213.42,4
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,5974832.98,46
REPUBLIC ARCHITECTURE,2651450.42,31
RESIDENCE CARPEDIEM,12856485.32,5
RESIDENCE LAFLEUR,2692011.11,3
RGB MEDIA,0.00,9
RHEA,2970681.66,15
RHEINMETALL,5256448.98,4
RICOH,62275087.22,303
RIGGS ENGINEERING,2945979.78,8
RISK SCIENCES INTERNATIONAL,3761387.26,19
RJG CONSTRUCTION,4624691.79,27
RMS SOFTWARE,1048153.67,8
ROBERT ALLAN,216058.11,3
ROBERTSON GEOCONSULTANTS,1105186.37,2
ROBERTSON MARTIN ARCHITECTS,7864862.96,18
ROCHE DIAGNOSTICS,65444235.01,7
ROCKWELL COLLINS CANADA,0.00,1
ROGERS,445111715.41,30
ROHDE SCHWARZ CANADA,293812.98,2
ROLLING TIDES CONSTRUCTION,30398.22,1
RONA,54537.55,8
RONALD J POIRIER PROFESSIONAL,5997796.73,1
RONDAR,3940944.76,3
ROOF TILE MANAGEMENT,40905.50,1
ROSBOROUGH BOATS,525983.83,10
ROSCOE CONSTRUCTION,2120234.73,5
ROSS AND ANGLIN,265502.71,2
ROUDEL MEDICAL AND SURGICAL,-48178115.00,2
ROXBORO EXCAVATION,1001879.05,3
RTG PROTECH,681650.52,16
RUSSEL METALS,16199.68,6
RUSSELL CHERNOFF RAND THOMPSON,4948862.51,14
RUSSELL REDI MIX CONCRETE,492379.02,1
RYCOM,5585850.84,12
S P GLOBAL MARKET INTELLIGENCE,2995644.85,18
S W WEEKS CONSTRUCTION,1540904.44,1
SAAB,9757.84,1
SABA SOFTWARE,8312115.51,4
SABRINA BARNABE,1721652.41,6
SAHO CONSTRUCTION,290354.56,1
SALESFORCE CANADA,4961937.85,10
SALISH SEA INDUSTRIAL SERVICES,290988.97,6
SALVATION ARMY,108769555.87,45
SAMSON ASSOCIES,19090363.44,156
SANDOZ CANADA,-1674852.64,9
SANEXEN SERVICES ENVIRONMENTAUX,1285958.85,9
SANI SABLE LB,17673628.04,12
SANI SPORT,313452.96,1
SANOFI PASTEUR,12621463.88,11
SAP,109259123.30,45
SARTORIUS STEDIM NORTH AMERICA,483352.63,5
SAS AIR,-59702.16,7
SAS INSTITUTE,7339696.47,18
SASKTEL,41803379.43,9
SCA SHIPPING CONSULTANTS ASSOCIATED,50076.77,1
SCANSA CONSTRUCTION,11992977.46,5
SCHOELER HEATON ARCHITECTS,1774111.36,16
SDL INTERNATIONAL CANADA,2597843.51,10
SEACOAST MARINE ELECTRONICS,147726.41,7
SEAGATE CONSTRUCTION,2004683.63,12
SEAMLESS MECHANICAL SOLUTIONS,273799.98,4
SEAWATCH,6750285.79,4
SEAWAVES DEVELOPMENT SERVICES,295450.87,2
SEAWAY CONSTRUCTION MANAGEMENT IN,2666811.52,2
SECURE ENERGY,493029.81,3
SECUREKEY TECHNOLOGIES,16529503.31,3
SECURIGUARD SERVICES,8472994.36,1
SED SYSTEMS,12781920.51,1
SEEGENE CANADA,18167765.21,1
SEGUIN MORRIS,407965.05,11
SEMANTIC CONSULTING,5466657.51,6
SENSUS COMMUNICATION SOLUTIONS,328770.07,5
SEPW ARCHITECTURE,2444047.78,10
SEQIRUS CANADA,41297622.38,2
SERCO,1228465.00,2
SERVICE STAR BUILDING CLEANING,10553286.99,7
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,9874094.91,4
SETANTA CONTRACTING,234609.42,1
SEVEN SOUTH STREET TREATMENT CENTRE,3536314.84,2
SEYEM,4867.65,1
SGS AXYS ANALYTICAL SERVICES,2334139.23,8
SGS CANADA,-205913.44,18
SHARP ELECTRONICS,888452.49,122
SHAW CABLE,5114149.33,4
SHELL CANADA PRODUCTS,-1349642.01,6
SHELTER NOVA SCOTIA,10331465.25,3
SHI CANADA,169554.02,8
SHM CANADA CONSULTING,1063525.99,18
SI SYSTEMS,217582711.93,813
SIEMENS,5381620.29,55
SIERRA SYSTEMS GROUP,25166392.51,20
SIFEC NORTH,1933345.75,7
SIGN LANGUAGE INTERPRETING,4325730.30,23
SIGNATURE SUR LE SAINT LAURENT,503314278.11,1
SILLIKER,-66922.71,9
SIMEX DEFENCE,158502.85,5
SIMONSON CONSTRUCTION,131692.25,2
SIMPLEX GRINNELL,9648349.93,32
SIMPSON BUILDING CONTRACTORS,96844.67,2
SKILLSOFT CANADA,6550087.53,3
SKRETTING,-10470.54,3
SKY CANOE,102720.45,1
SKYLINE ATLANTIC CANADA,2754755.69,4
SLR CONSULTING CANADA,19878388.89,62
SMITHS DETECTION,25863703.13,31
SNAP ON TOOLS,0.00,1
SNC LAVALIN,39197074.49,186
SOCIETE ACOLAD CANADA,2349731.04,9
SOCIETE EMMANUEL GREGOIRE,19180339.20,10
SOFTCHOICE,5177964.30,74
SOFTSIM TECHNOLOGIES,6391052.48,24
SOFTWARE ENGINEERING OF AMERICA,1624939.89,2
SOLACE,1973493.17,4
SOLANA NETWORKS,1781343.65,3
SOLID CADDGROUP,-5048.68,3
SOLIDCAD,0.00,1
SOLOTECH,7393754.09,25
SOLOTECH QUEBEC,9144.40,3
SOLUDOC,10400362.72,18
SOLUTIONS MOERAE,15773635.02,38
SOMOS,8527670.71,7
SOUTHWEST RESEARCH INSTITUTE,53238.19,2
SOVO TECHNOLOGIES,7466278.74,1
SPARK POWER HIGH VOLTAGE SERVICES,935625.95,2
SPARTAN BIOSCIENCE,70780500.00,1
SPEARHEAD MANAGEMENT CANADA,344503.62,6
SPECIALTY BUILDING SERVICES,3849452.89,5
SPERRA CONSTRUCTION,854662.31,6
SPRINGER VERLAG,-57681.25,1
SPRINGHILL CONSTRUCTION,1687310.36,1
SRA STAFFING SOLUTIONS,1409102.64,13
SSCL,155512.50,2
ST AIRBORNE SYSTEMS,3082600.00,3
ST DENIS THOMPSON,9901897.67,3
ST GELAIS MONTMINY ASSOCIES,7578241.29,11
ST JOHN AMBULANCE,10513079.66,5
ST JOSEPH PRINT GROUP,439993.27,14
ST LEONARD S COMMUNITY SERVICES,18875389.87,6
ST LEONARD S SOCIETY HAMILTON,14428645.15,8
ST LEONARDS HOUSE WINDSOR,6234246.85,4
ST LEONARDS PLACE PEEL,16086611.25,6
ST LEONARDS SOCIETY OF NORTH VANCOUVER,5864641.20,5
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,6346531.82,2
ST OPS TACTICAL TRAINING CANADA,-78654.50,5
ST PATRICKS HOUSE SOCIETY,5694441.94,2
STANDARD AERO,905426.16,7
STANDARD AERO ATLANTIC,1237326.04,2
STANFIELDS,135600.00,1
STANLEY CONSTRUCTION,368169.63,1
STANTEC,59694899.94,418
STAPLES ADVANTAGE CANADA,1341518.31,2
STEPPED CARE SOLUTIONS,198587591.03,1
STERICYCLE,414511.44,6
STERIS CANADA,569652.42,17
STERLING FUELS,70517.12,9
STIFF SENTENCES,3337229.00,2
STONEHENGE THERAPEUTIC COMMUNITY,2445068.05,2
STONEWORKS TECHNOLOGIES,1146080.80,13
STRATOS,2236996.53,33
STRONG BROS HEATING AIR CONDITION,305344.91,2
SUBARU CANADA,-299536.89,8
SUER AND POLLON MECHANICAL,311895.01,1
SUMMIT CANADA DISTRIBUTORS,550571.15,7
SUN LIFE ASSURANCE COMPANY,407387897.98,2
SUNCOR ENERGY,718048.29,19
SUNCOR ENERGY PRODUCTS,46145.75,1
SUPER CHANNEL INTERNATIONAL,297987.30,6
SUPERIOR PROPANE,507082.68,16
SUPERMAX HEALTHCARE CANADA,2686000.01,1
SUPREMEX,1232588.12,16
SURE FORM CONTRACTING,846270.49,1
SUSE SOFTWARE SOLUTIONS CANADA,4750771.07,1
SUSTEMA,0.00,2
SUTHERLAND EXCAVATING,858234.41,32
SVEMY CONSTRUCTION,1172584.01,11
SWALLOW FOURNIER,54920.77,1
SWITCH HEALTH,511309216.15,2
SYFT TECHNOLOGIES,2839542.82,2
SYLVIE ROY,1446292.25,7
SYM COMMUNICATIONS,4063925.22,17
SYMCOR,5638700.00,1
SYNERGIE MEDICALE BRG,2049820.00,1
SYNERSOLUTIONS TECHNOLOGIES,564774.00,1
SYNTAGME,2994940.97,6
SYSCO,84202.67,8
SYSTEMATIX SOLUTIONS,92158080.26,113
SYSTEMES URBAINS,553131.77,2
SYSTEMS FOR RESEARCH,-268333.19,1
SYSTEMSCOPE,19549799.01,49
T R HINAN CONTRACTORS,928983.83,2
TAG HR,3153394.28,59
TALIGENT CONSULTING,16784522.43,31
TANGLE RIDGE CUSTOM CRUSHING,2725440.44,2
TANKATEK,370298.74,11
TANKATEK 6854265 CANADA,93225.00,2
TAURUS CONTRACTORS,452173.01,10
TAYLOR FRANCIS,227100.85,3
TCI TRANSLATORS CONFERENCE,4381761.00,3
TDE CONSTRUCTION COMPANY,373723.93,1
TDI INTERNATIONAL,3477047.02,5
TECHNE SEATING COMPONENT,801916.98,3
TECHNOMICS,1784867.04,1
TECHNOREM,5836302.53,17
TECSIS,2983781.27,3
TEEL TECHNOLOGIES CANADA,1893769.45,5
TEKNION,-1816119.01,95
TEKSYSTEMS CANADA,154040987.00,292
TELECOM COMPUTER SERVICES,3746414.55,42
TELEDYNE,158879.65,8
TELESAT,216077692.70,21
TELUS CANADA,730090111.79,81
TELUS HEALTH CARE CENTRES,371609.42,7
TENAQUIP,-980661.86,3
TERAMACH TECHNOLOGIES,18171439.92,62
TERLIN CONSTRUCTION,1610037.80,3
TERRAGON ENVIRONMENTAL TECHNOLOGIES,0.00,1
TERVITA,2141886.85,13
TES CONTRACT SERVICES,151417021.13,93
TESTFORCE SYSTEMS,271590.92,7
TETRA TECH,18793856.20,81
TFORCE LOGISTICS CANADA,1627582.63,3
THALES,1391589.42,9
THE AIM GROUP,97440305.80,235
THE CALGARY AIRPORT AUTHORITY,7192822.59,1
THE CANADA LIFE ASSURANCE COMPANY,15053.22,1
THE GOVERNING COUNCIL OF,4539846.49,2
THE HALIFAX COMPUTER CONSULTING GROUP,5607125.00,9
THE HALIFAX GROUP,5628731.32,10
THE IT BROKER,2229863.12,5
THE KTL GROUP,2355538.64,17
THE MASHA KRUPP TRANSLATION GROUP,11034209.45,37
THE MATHWORKS,698306.88,13
THE RIGHT DOOR CONSULTING,10659511.66,97
THE ROYAL ARCHITECTURAL INSTITUTE,1983500.00,2
THE STEVENS COMPANY,-915437.65,1
THE UNIVERSITY OF BRITISH COLUMBIA,256055.00,4
THE VCAN GROUP,6473891.90,16
THERMO FISHER SCIENTIFIC,2598736.81,54
THG THE HISTORY GROUP,2849198.80,23
THINKON,6254648.02,3
THINKPOINT,1093880.54,6
THOMAS SCHMIDT,3036149.18,16
THOMSON REUTERS,12881237.39,17
THRIVE HEALTH,7316750.00,2
THYSSENKRUPP ELEVATOR,1845323.44,15
TIREE,38739680.88,107
TISSEUR,12573021.05,9
TITAN BOATS,2132230.22,9
TITANIUM CONSTRUCTION,4293394.18,6
TOFCON CONSTRUCTION,3127336.65,2
TOMLINSON ENVIRONMENTAL SERVICES,60725.03,4
TOROMONT,4376620.81,79
TORONTO BAIL PROGRAM,3120345.58,2
TORONTO PORT AUTHORITY,2653817.60,1
TORONTO STAMP,57969.00,1
TOSHIBA CANADA,34161844.94,18
TOTEM OFFISOURCE,-1911368.89,30
TOURE CLEANING SERVICES,2759131.03,16
TOYOTA,-350724.62,55
TPG TECHNOLOGY CONSULTANTS,168160175.09,374
TR PETROLEUM,30728.25,2
TRACK24 CANADA,10086613.22,2
TRADUCTIONS PIERRE CLOUTIER,0.00,1
TRADUCTIONS SCRIPTIS,2400614.90,5
TRAINOR MECHANICAL CONTRACTORS,2016847.82,8
TRANE CANADA,1622622.26,13
TRANS CAPITAL AIR,730835.18,1
TRANSPOLAR TECHNOLOGY,9388158.34,13
TRANSWEST AIR,13381283.89,6
TRAUGOTT BUILDING CONTRACTORS,737493.35,2
TRAYTOWN BUILDERS,963582.40,7
TRI STAR INDUSTRIES,3154236.65,1
TRIDENT CONSTRUCTION,740360.56,3
TRIPLEWELL CANADA,4136093.80,1
TRM TECHNOLOGIES,18474072.09,81
TROY LIFE FIRE SAFETY,785507.15,7
TSI,-84248.94,2
TSUU T INA CONTRACTING GP,4859000.00,1
TUNDRA TECHNICAL SOLUTIONS,3757822.86,25
TURNER TOWNSEND,20929575.30,7
TURTLE ISLAND STAFFING,2207053.97,68
TYCO INTEGRATED FIRE SECURITY,1943619.80,25
UBIQUS CANADA,3405788.87,30
ULTIMATE CONSTRUCTION,417644.02,2
ULTRA ELECTRONICS,772304.60,2
UNCHARTED SOFTWARE,215735.07,3
UNIFORM WORKS,-107931.44,1
UNISOURCE,27758.77,1
UNISYS CANADA,46127978.90,3
UNITED CHURCH HALFWAY HOMES,6342639.61,2
UNITED RENTALS,757505.58,4
UNIVERSAL HELICOPTERS,6291488.84,10
UNIVERSAL PROTECTION SERVICE,4335193.82,2
UNIVERSITE DE MONTREAL,1193845.25,10
UNIVERSITE DE SHERBROOKE,1088533.57,4
UNIVERSITE LAVAL,460758.15,10
UNIVERSITE SAINTE ANNE,1039226.83,83
UNIVERSITY OF ALBERTA,1744607.06,28
UNIVERSITY OF BRITISH COLUMBIA,270823.19,7
UNIVERSITY OF CALGARY,1183744.18,9
UNIVERSITY OF GUELPH,3655123.23,21
UNIVERSITY OF MANITOBA,180018.06,3
UNIVERSITY OF NEW BRUNSWICK,1347069.21,13
UNIVERSITY OF ONTARIO,2047500.00,2
UNIVERSITY OF OTTAWA,10411112.78,25
UNIVERSITY OF REGINA,1839822.76,2
UNIVERSITY OF SASKATCHEWAN,5476649.77,17
UNIVERSITY OF TORONTO,1695445.04,15
UNIVERSITY OF WATERLOO,7849737.10,14
UNIVERSITY OF WESTERN ONTARIO,1213238.05,6
UQSUQ,-55117.15,1
URBAN VALLEY TRANSPORT,9300000.00,1
VAISALA CANADA,4062074.78,8
VAISALA OYJ,2413135.61,2
VALCOM CONSULTING,2172147.89,8
VANCOUVER AIRPORT AUTHORITY,11291736.52,1
VANCOUVER DRYDOCK COMPANY,520461.71,3
VANCOUVER FRASER PORT AUTHORITY,258205.00,1
VANCOUVER PILE DRIVING,2669355.58,6
VANCOUVER SHIPYARDS,513354037.13,12
VANRX PHARMASYSTEMS,710170.87,2
VARD MARINE,45908.45,2
VCI CONTROLS,83428.55,6
VECTOR AEROSPACE,2217994.71,11
VERITAAQ TECHNOLOGY HOUSE,242565742.53,1102
VERITAS TECHNOLOGIES,9945599.94,4
VERREAULT NAVIGATION,9675812.39,10
VERSACOM,2590834.88,20
VERSATIL BPI,217228.88,2
VETEMENTS COOKSHIRE,2573860.34,2
VEYRON PROJECTS,76903.76,2
VFA CANADA,6354197.01,3
VFS GLOBAL,385411466.00,12
VIA TRAVAIL,7955661.81,8
VIDCRUITER,1486485.38,23
VIKING FIRE PROTECTION,22557.50,2
VIRTUAL POSSIBILITIES DIVISION,0.00,1
VISIONTEC,1334285.51,5
VMWARE,29275549.56,8
VOYAGEUR AVIATION,301414.48,4
VOYAGEUR TRANSPORTATION,7391527.74,1
VVI CONSTRUCTION,2261576.30,5
VWR INTERNATIONAL,214380.50,19
W S MORGAN CONSTRUCTION,823946.39,5
W3 DESIGN GROUP,2185102.46,3
WAINWRIGHT MARINE SERVICES,-481000.00,1
WAJAX,1116722.84,54
WAMPUM RECORDS,2778153.66,16
WARTSILA,27545785.57,61
WASAUKSING FIRST NATION,939045.34,2
WASTE CONNECTIONS OF CANADA,1677199.15,12
WASTE MANAGEMENT OF CANADA,1008355.73,5
WATCH SYSTEMS,2160627.53,1
WATERS,9716726.34,27
WATERSHED INFORMATION TECHNOLOGY,2254594.28,5
WAZANA CLOTHING,1673946.47,1
WCG INTERNATIONAL CONSULTANTS,100562359.13,2
WEBSTER ELECTRIC,258244.89,10
WESCO DISTRIBUTION CANADA,166424.69,5
WEST COAST TUG BARGE,-647769.71,7
WESTBURY NATIONAL SHOW SYSTEMS,62185.13,9
WESTCO CONSTRUCTION,1053546.77,4
WESTCOAST GENESIS SOCIETY,14869571.75,7
WESTCOMB OUTERWEAR,91938.62,1
WESTERN CANADA MARINE RESPONSE,3763667.25,2
WESTERN MECHANICAL ELECTRICAL,3256274.03,2
WESTERN PETROLEUM,381866.09,10
WESTJET,-28239.33,2
WESTOWER COMMUNICATIONS,674611.16,17
WHITE BEAR INDUSTRIES,11385663.18,3
WHITECHURCH CONSTRUCTION,152226.31,4
WHOOSHH INNOVATIONS,549377.54,1
WILCO CONTRACTORS SOUTHWEST,1583878.50,7
WILD STONE ENGINEERING,693410.63,2
WILDLIFE COMPUTERS,-12002.76,10
WILDSTONE CONSTRUCTION,3793568.10,8
WILEY SUBSCRIPTION SERVICES,1228640.69,4
WILLS TRANSFER,1902598.94,24
WINDREACH CONSULTING SERVICES,863026.63,4
WINMAR,50908729.97,5
WINNIPEG AIRPORT AUTHORITY,3354368.50,1
WINTERSTEIGER,34250.38,4
WM M 1993,577670.21,6
WOLTERS KLUWER,6447906.07,12
WOOD,2987061.01,30
WOOD CANADA,5017758.70,65
WOOD MACKENZIE,56354.22,2
WOODWARD S OIL,8015.21,2
WOOLLY MAMMOTH OUTERWEAR,39377223.00,2
WORKDYNAMICS TECHNOLOGIES,3014766.38,32
WORKPLACE HEALTH AND COST SOLUTIONS,5091890.72,6
WORLD FUEL SERVICES,-30628.15,2
WORLD UNIVERSITY SERVICE OF CANADA,937969.60,2
WORLDREACH SOFTWARE,3969298.71,8
WORLEY PARSONS,781479.26,5
WPP GROUP CANADA COMMUNICATIONS,2830249.23,18
WRIGHT CONSTRUCTION WESTERN,3056411.45,1
WSP,422052874.42,377
WTB LANGUAGE GROUP,185043.61,8
WYSSEN AVALANCHE CONTROL,446990.39,3
XANALYS CANADA,184353.85,2
XAV SOLUTION,0.00,1
XEROX,20993895.85,303
XPERA RISK MITIGATION INVESTIGATION,21813886.75,20
XPERTEK CONSTRUCTION,119832.33,5
YAMAHA MOTORS CANADA,-7103.14,22
YELLOWHEAD HELICOPTERS,-162265.03,12
ZAYO CANADA,-47001666.68,60
ZENITH PAVING,188630.77,1
ZERNAM ENTERPRISE,3513019.71,14
ZODIAC HURRICANE TECHNOLOGIES,6213301.84,8
ZUTPHEN CONTRACTOR,5628404.56,19
ZYCOM,0.00,3
