d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
NORTAK SOFTWARE,19,9,0.4737
NORTH AMERICA CONSTRUCTION,1,1,1
NORTH ATLANTIC PETROLEUM,154,3,0.0195
NORTH CARIBOO AIR,86,24,0.2791
NORTH COUNTRY MAINTENANCE,2,1,0.5
NORTHEAST TREE TRIMMING,2,2,1
NORTHERN CONSTRUCTION,22,6,0.2727
NORTHERN CONTRACTING,1,1,1
NORTHERN MICRO,2002,143,0.0714
NORTHFIELD METAL PRODUCTS,112,2,0.0179
NORTHROP GRUMMAN,3,0,0
NORTHWEST FUELS,54,0,0
NORTHWEST HYDRAULIC CONSULTANTS,20,3,0.15
NORTHWEST MARINE TECHNOLOGY,17,1,0.0588
NORTHWESTEL,25,9,0.36
NORTRAX CANADA,30,5,0.1667
NOTRA,5,2,0.4
NOVA CONSTRUCTION,2,2,1
NOVA NETWORKS,151,10,0.0662
NOVA SCOTIA POWER,36,4,0.1111
NOVIPRO,26,1,0.0385
NOYE AND NOYE,7,2,0.2857
NP AEROSPACE CANADA,2,2,1
NRNS,14,11,0.7857
NUA OFFICE,106,11,0.1038
NUCTECH COMPANY,4,2,0.5
NUIX NORTH AMERICA,39,4,0.1026
NUMBER TEN ARCHITECTURAL GROUP,76,17,0.2237
NUNA EAST,2,2,1
NUNAVUT ARCTIC SERVICES,1,1,1
OCEAN NAVIGATION,11,2,0.1818
OCEAN PACIFIC MARINE SUPPLY,9,3,0.3333
OCLC CANADA,3,2,0.6667
OEI KRUEGER,476,25,0.0525
OGILVY MONTREAL,9,4,0.4444
OKANAGAN AGGREGATES,24,16,0.6667
OKANAGAN HALFWAY HOUSE SOCIETY CRF,5,4,0.8
OLIN,14,6,0.4286
OMNITECH ELECTRONICS,1,0,0
ONICA TECHNOLOGIES CANADA,1,1,1
ONIX NETWORKING CANADA,3,2,0.6667
ONLINE CONSTRUCTORS,30,13,0.4333
ONTARIO DENTAL ASSOCIATION,228,64,0.2807
ONX ENTERPRISE SOLUTIONS,269,11,0.0409
OPEN GEOSPATIAL CONSORTIUM,17,5,0.2941
OPEN STORAGE SOLUTIONS,33,3,0.0909
OPENFRAME TECHNOLOGIES,26,14,0.5385
OPENTEXT,291,59,0.2027
OPROMA,38,13,0.3421
OPSIS,56,4,0.0714
OPSIS GESTION INFRASTRUCTURES,2,2,1
OPTIV CANADA FEDERAL,88,5,0.0568
ORACLE CANADA,450,30,0.0667
ORANGUTECH,166,41,0.247
ORBIS RISK CONSULTING,54,12,0.2222
OSKAR CONSTRUCTION,22,7,0.3182
OTIS ELEVATOR,76,15,0.1974
OTTAWA BUSINESS INTERIORS OBI,91,2,0.022
OTTAWA CONVENTION CENTRE,17,2,0.1176
OTTAWA GREENBELT CONSTRUCTION,5,2,0.4
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,130,15,0.1154
OUTLAW EAGLE MANUFACTURING,23,2,0.087
OVID TECHNOLOGIES,20,3,0.15
OXFORD ECONOMICS USA,17,2,0.1176
OXFORD NANOPORE TECHNOLOGIES,63,2,0.0317
OXFORD UNIVERSITY PRESS,24,0,0
P B ENTREPRISES,7,1,0.1429
P C MCNEILL CONTRACTING,1,0,0
P K WELDING FABRICATORS,2,1,0.5
PACIFIC GEOMATICS,9,0,0
PACIFIC INDUSTRIAL MARINE,42,20,0.4762
PACIFIC SAFETY PRODUCTS,93,14,0.1505
PACWILL ENVIRONMENTAL,22,4,0.1818
PAGEAU MOREL ASSOCIES,45,10,0.2222
PAL AEROSPACE,49,13,0.2653
PALADIN GROUP,340,30,0.0882
PALFINGER MARINE,71,9,0.1268
PAN AMERICAN DEVELOPMENT FOUNDATION,2,1,0.5
PANASONIC,215,9,0.0419
PARKER JOHNSTON INDUSTRIES,1,0,0
PARKLAND,108,11,0.1019
PARKLAND FUEL,53,1,0.0189
PARKLAND INDUSTRIES,269,9,0.0335
PARKLAND REFINING,318,8,0.0252
PARSONS CANADA,55,26,0.4727
PATLON AIRCRAFT INDUSTRIES,8,1,0.125
PATTISON SIGN GROUP,133,14,0.1053
PAVEX,1,1,1
PCL CONSTRUCTORS,75,39,0.52
PEERLESS GARMENTS,15,3,0.2
PENN CONSTRUCTION CANADA,3,3,1
PENNECON,87,14,0.1609
PEPCO,79,9,0.1139
PEPIN FORTIN CONSTRUCTION,1,1,1
PERCEPTICS,4,3,0.75
PERSISTENT SYSTEMS,4,0,0
PETER J KINDREE ARCHITECT,15,12,0.8
PETER KIEWIT SONS,3,1,0.3333
PETERS CONSTRUCTION,17,4,0.2353
PETRO AIR SERVICES,1,0,0
PETROVALUE PRODUCTS,69,7,0.1014
PFIZER CANADA,2,1,0.5
PHASELOCK SYSTEMS INTERNATIONAL,244,1,0.0041
PHILIPPINE AIRLINES,1,0,0
PHOENIX DRUG ALCOHOL RECOVERY,5,3,0.6
PHOENIX STRATEGIC PERSPECTIVES,45,3,0.0667
PIDHERNEY S,3,2,0.6667
PILITAK ENTERPRISES,3,2,0.6667
PIONEER CONSTRUCTION,1,1,1
PIPE QUEST PROJECTS,2,1,0.5
PITNEY BOWES,184,27,0.1467
PK WELDING FABRICATORS,8,0,0
PLANET LABS GEOMATICS,72,2,0.0278
PLEIAD CANADA,101,18,0.1782
PMB ELECTRICAL SERVICES,30,24,0.8
PMG TECHNOLOGIES,122,33,0.2705
PODOLINSKY EQUIPMENT,92,4,0.0435
POINT HOPE MARITIME,8,5,0.625
POLARIS INDUSTRIES,233,14,0.0601
POMERLEAU,21,16,0.7619
PORT OF SPAIN HOLDINGS,17,7,0.4118
PORTAGE PERSONNEL,68,39,0.5735
POSTMEDIA NETWORK,33,5,0.1515
POWER AUCTIONS,4,4,1
PR3 MEDIAS,5,2,0.4
PRA,103,16,0.1553
PRAGMATIC CONFERENCING,3,1,0.3333
PRECISION ADM,1,0,0
PRECISIONIT,79,48,0.6076
PRICEWATERHOUSE COOPERS,719,358,0.4979
PRIMED MEDICAL PRODUCTS,3,0,0
PRIMEX PROJECT MANAGEMENT,3,0,0
PRINCE GEORGE ACTIVATOR,6,1,0.1667
PRINTERS PLUS,314,22,0.0701
PRISM ENGINEERING,33,3,0.0909
PRO MEDICAL INDUSTRIES,1,0,0
PROCOM CONSULTANTS,176,120,0.6818
PROLINE ADVANTAGE,1,1,1
PROLOGIC SYSTEMS,78,30,0.3846
PROMAXIS,62,24,0.3871
PRONEX EXCAVATION,2,2,1
PROOF EXPERIENCES,13,7,0.5385
PROQUEST,81,6,0.0741
PROSCI CANADA,273,10,0.0366
PROTAK CONSULTING GROUP,147,51,0.3469
PROVENCHER ROY ASSOCIES,19,12,0.6316
PURELOGIC,172,2,0.0116
PURESPIRIT SOLUTIONS,280,14,0.05
PUROLATOR,189,19,0.1005
PV SERVICES,59,0,0
PW TRENCHLESS CONSTRUCTION,2,0,0
PYLON ELECTRONICS,5,2,0.4
QATAR AIRWAYS,6,5,0.8333
QIAGEN,85,3,0.0353
QINETIQ,2,1,0.5
QM ENVIRONMENTAL,33,15,0.4545
QMR,806,165,0.2047
QUADBRIDGE,22,1,0.0455
QUANTUM MANAGEMENT SERVICES,140,45,0.3214
QUARTZ NATURE,1,1,1
QUEEN S UNIVERSITY,61,7,0.1148
QUINAN CONSTRUCTION,11,9,0.8182
QUINTET CONSULTING,165,46,0.2788
QUOREX CONSTRUCTION SERVICES,9,8,0.8889
QUORUM,3,2,0.6667
QUORUS CONSULTING GROUP,42,11,0.2619
R A MALATEST ASSOCIATES,46,5,0.1087
R C M MODULAIRE,2,1,0.5
R D CONSTRUCTION,6,2,0.3333
R E GILMORE INVESTMENTS,58,15,0.2586
R GUILBEAULT CONSTRUCTION,1,1,1
R J MACISAAC CONSTRUCTION,3,1,0.3333
R LAMBA FORENSIC PSYCH SERVICE,2,1,0.5
R R INTERNATIONAL TRANSLATION,192,38,0.1979
R W TOMLINSON,8,6,0.75
R2I,9,0,0
RACEROCKS 3D,1,1,1
RACING FORENSICS,2,1,0.5
RADIATION SOLUTIONS,30,3,0.1
RADWARE,2,0,0
RAMPART INTERNATIONAL,187,6,0.0321
RANDSTAD,656,435,0.6631
RAPISCAN SYSTEMS,11,4,0.3636
RATIO ARCHITECTURE INTERIOR DESIGN,20,13,0.65
RAYMOND CHABOT GRANT THORNTON,364,87,0.239
RAYTHEON,6,1,0.1667
REACTOR ENGINEERING GROUP,1,0,0
REDACTED,7,2,0.2857
REDI FORM CONSTRUCTION,11,5,0.4545
REDMANGO MEDIA,46,2,0.0435
REDWOOD PERFORMANCE GROUP,16,2,0.125
REFORMAR,7,2,0.2857
REGENT CONSTRUCTION,9,3,0.3333
REHAB,4,4,1
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,144,46,0.3194
REPUBLIC ARCHITECTURE,71,28,0.3944
RESIDENCE CARPEDIEM,5,4,0.8
RESIDENCE LAFLEUR,3,3,1
RESOLVE MARINE GROUP,1,0,0
RESOLVE SALVAGE FIRE AMERICAS,1,0,0
REVISION MILITARY,2,0,0
RGB MEDIA,61,9,0.1475
RHEA,77,11,0.1429
RHEINMETALL,4,4,1
RICOH,1163,254,0.2184
RIGGS ENGINEERING,30,9,0.3
RIKJAK CONSTRUCTION,1,0,0
RISK SCIENCES INTERNATIONAL,105,18,0.1714
RJG CONSTRUCTION,44,26,0.5909
RMS SOFTWARE,41,7,0.1707
ROBERT ALLAN,16,3,0.1875
ROBERTSON GEOCONSULTANTS,6,2,0.3333
ROBERTSON MARTIN ARCHITECTS,24,9,0.375
ROBIN ELECTRIC,3,2,0.6667
ROCHE DIAGNOSTICS,61,9,0.1475
ROCKWELL COLLINS CANADA,8,1,0.125
ROGERS,86,26,0.3023
ROHDE SCHWARZ CANADA,29,2,0.069
ROLLING TIDES CONSTRUCTION,2,1,0.5
RONA,115,5,0.0435
RONALD J POIRIER PROFESSIONAL,1,1,1
RONDAR,28,3,0.1071
ROSBOROUGH BOATS,25,10,0.4
ROSCOE CONSTRUCTION,6,5,0.8333
ROSS AND ANGLIN,4,2,0.5
ROUDEL MEDICAL AND SURGICAL,2,2,1
ROXBORO EXCAVATION,3,3,1
ROYS CHEVROLET BUICK GMC,15,1,0.0667
RPL ARCHITECTS,4,1,0.25
RTG PROTECH,69,12,0.1739
RUSH TRUCK CENTRES OF CANADA,3,0,0
RUSSEL METALS,163,5,0.0307
RUSSELL CHERNOFF RAND THOMPSON,27,12,0.4444
RYCOM,14,9,0.6429
RYERSON UNIVERSITY,27,0,0
S P GLOBAL MARKET INTELLIGENCE,33,8,0.2424
S W WEEKS CONSTRUCTION,1,1,1
SAAB,3,1,0.3333
SABA SOFTWARE,4,4,1
SALESFORCE CANADA,84,7,0.0833
SALISH SEA INDUSTRIAL SERVICES,14,6,0.4286
SALVATION ARMY,59,36,0.6102
SAMSON AND ASSOCIATES,34,2,0.0588
SAMSON ASSOCIATES CPA CONSULTING,55,6,0.1091
SAMSON ASSOCIES,471,107,0.2272
SAMSON ASSOCIES CPA CONSULTATION,1,0,0
SANDOZ CANADA,11,4,0.3636
SANEXEN SERVICES ENVIRONMENTAUX,32,8,0.25
SANI SABLE LB,14,11,0.7857
SANI SPORT,32,1,0.0312
SAP,201,40,0.199
SARTORIUS STEDIM NORTH AMERICA,32,5,0.1562
SAS AIR,14,7,0.5
SAS INSTITUTE,202,13,0.0644
SASKTEL,19,9,0.4737
SCA SHIPPING CONSULTANTS ASSOCIATED,4,1,0.25
SCANSA CONSTRUCTION,6,5,0.8333
SCHOELER HEATON ARCHITECTS,30,14,0.4667
SDL INTERNATIONAL CANADA,36,4,0.1111
SEACOAST MARINE ELECTRONICS,34,7,0.2059
SEAFIRST CONSTRUCTION,3,1,0.3333
SEAGATE CONSTRUCTION,13,12,0.9231
SEALITE USA,46,6,0.1304
SEASONS CULINARY SERVICES,3,2,0.6667
SEASPAN VICTORIA SHIPYARDS,5,0,0
SEAWATCH,6,4,0.6667
SEAWAVES DEVELOPMENT SERVICES,2,2,1
SEAWAY CONSTRUCTION MANAGEMENT IN,3,2,0.6667
SECURE ENERGY ONSITE SERVICES,2,1,0.5
SECUREKEY TECHNOLOGIES,8,2,0.25
SECURIGUARD SERVICES,1,1,1
SED SYSTEMS,1,1,1
SEEGENE CANADA,3,1,0.3333
SEGUIN MORRIS,20,10,0.5
SELEX,2,0,0
SEMANTIC CONSULTING,7,6,0.8571
SENSTAR,10,7,0.7
SENSUS COMMUNICATION SOLUTIONS,67,5,0.0746
SEPW ARCHITECTURE,30,10,0.3333
SEQIRUS CANADA,2,2,1
SERCO,6,2,0.3333
SERVICE STAR BUILDING CLEANING,13,7,0.5385
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,4,2,0.5
SERVICES LINGUISTIQUES VERSACOM,25,5,0.2
SETANTA CONTRACTING,4,1,0.25
SEYEM,1,1,1
SGS AXYS ANALYTICAL SERVICES,88,4,0.0455
SHARP ELECTRONICS,461,107,0.2321
SHAW CABLE,4,3,0.75
SHELL CANADA PRODUCTS,16,6,0.375
SHELTER NOVA SCOTIA,3,3,1
SHI CANADA,171,7,0.0409
SHM CANADA CONSULTING,92,19,0.2065
SHOULDICE MECHANICAL,68,2,0.0294
SHRMA ARCHITECTS IN JOINT VENTURE,2,1,0.5
SI SYSTEMS,1043,695,0.6663
SIEMENS,354,49,0.1384
SIERRA SYSTEMS GROUP,100,17,0.17
SIFEC NORTH,7,6,0.8571
SIGMA SAFETY,30,1,0.0333
SIGN LANGUAGE INTERPRETING,82,22,0.2683
SIGNATURE SUR LE SAINT LAURENT,1,1,1
SILLIKER,76,7,0.0921
SIMEX DEFENCE,51,5,0.098
SIMONSON CONSTRUCTION,3,2,0.6667
SIMPLEX GRINNELL,130,29,0.2231
SIMPSON BUILDING CONTRACTORS,4,2,0.5
SKILLSOFT CANADA,27,1,0.037
SKRETTING,118,3,0.0254
SKY CANOE,1,1,1
SLR CONSULTING CANADA,128,53,0.4141
SMITHS DETECTION,134,27,0.2015
SMITHS MEDICAL CANADA,1,0,0
SNAP ON TOOLS OF CANADA,20,1,0.05
SNC LAVALIN,461,162,0.3514
SOCIETE ELIZABETH FRY DU QUEBEC,3,3,1
SOCIETE EMMANUEL GREGOIRE,10,8,0.8
SOFTCHOICE,892,62,0.0695
SOFTSIM TECHNOLOGIES,44,22,0.5
SOFTWARE ENGINEERING OF AMERICA,4,1,0.25
SOLACE,5,4,0.8
SOLANA NETWORKS,5,3,0.6
SOLOTECH,142,22,0.1549
SOLUDOC,32,13,0.4062
SOLUTIONS MOERAE,24,17,0.7083
SOMOS,12,7,0.5833
SOUTHMEDIC,1,0,0
SOUTHWEST RESEARCH INSTITUTE,12,2,0.1667
SOVO TECHNOLOGIES,3,1,0.3333
SPACE STRATEGIES CONSULTING,4,2,0.5
SPARTAN BIOSCIENCE,1,1,1
SPEARHEAD MANAGEMENT CANADA,22,6,0.2727
SPECIALTY BUILDING SERVICES,14,5,0.3571
SPERRA CONSTRUCTION,8,6,0.75
SPRINGER VERLAG,14,1,0.0714
SPRINGHILL CONSTRUCTION,1,1,1
SQUAMISH INDIAN BAND,3,0,0
SRA STAFFING SOLUTIONS,32,13,0.4062
ST AIRBORNE SYSTEMS,13,3,0.2308
ST DENIS THOMPSON,7,3,0.4286
ST GELAIS MONTMINY ASSOCIES,22,9,0.4091
ST ISIDORE ASPHALTE,1,1,1
ST JOHN AMBULANCE,13,3,0.2308
ST JOSEPH PRINT GROUP,117,12,0.1026
ST LEONARD S COMMUNITY SERVICES,6,5,0.8333
ST LEONARD S SOCIETY HAMILTON,10,7,0.7
ST LEONARDS HOUSE WINDSOR,7,3,0.4286
ST LEONARDS PLACE PEEL,7,5,0.7143
ST LEONARDS SOCIETY OF NORTH VANCOUVER,5,4,0.8
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,2,2,1
ST OPS TACTICAL TRAINING CANADA,18,5,0.2778
ST PATRICKS HOUSE SOCIETY,2,1,0.5
STANFIELDS,1,1,1
STANLEY CONSTRUCTION,1,1,1
STANTEC,1569,372,0.2371
STAPLES ADVANTAGE CANADA,38,1,0.0263
STEDFAST,60,2,0.0333
STEPPED CARE SOLUTIONS,1,1,1
STERIS CANADA,97,15,0.1546
STERLING FUELS,232,8,0.0345
STERLING SWIFT,1,0,0
STIFF SENTENCES,28,2,0.0714
STONEHENGE THERAPEUTIC COMMUNITY,2,2,1
STONEWORKS TECHNOLOGIES,391,12,0.0307
STRATOS,181,29,0.1602
STRONG BROS GENERAL CONTRACTING,1,0,0
STRYKER CANADA,20,0,0
SUBARU CANADA,163,8,0.0491
SUMMIT CANADA DISTRIBUTORS,102,7,0.0686
SUN LIFE ASSURANCE COMPANY,14,2,0.1429
SUNCOR ENERGY,443,17,0.0384
SUPER CHANNEL INTERNATIONAL,46,6,0.1304
SUPERIOR CONTRACTING,8,2,0.25
SUPERMAX HEALTHCARE CANADA,2,1,0.5
SUPREMEX,117,15,0.1282
SURE FORM CONTRACTING,1,1,1
SUSE SOFTWARE SOLUTIONS CANADA,8,1,0.125
SUSTAINABLE TRAILS 2011,6,6,1
SUTHERLAND EXCAVATING,273,30,0.1099
SWITCH HEALTH,7,4,0.5714
SYFT TECHNOLOGIES,3,2,0.6667
SYLVIE ROY,31,4,0.129
SYM COMMUNICATIONS,41,15,0.3659
SYMCOR,1,1,1
SYNERGIE MEDICALE BRG,1,1,1
SYNERSOLUTIONS TECHNOLOGIES,9,1,0.1111
SYNTAGME,12,5,0.4167
SYSCO SERCA FOOD SERVICES ATLANTIC,49,8,0.1633
SYSTEMATIX SOLUTIONS,143,98,0.6853
SYSTEMES URBAINS,3,1,0.3333
SYSTEMS FOR RESEARCH,9,0,0
SYSTEMSCOPE,147,48,0.3265
T E S THE EMPLOYMENT SOLUTION,4,4,1
T R HINAN CONTRACTORS,4,2,0.5
T3P CONSTRUCTION,2,2,1
TAG HR,79,25,0.3165
TAG HR THE ASSOCIATES GROUP,41,11,0.2683
TALIGENT CONSULTING,81,23,0.284
TANGLE RIDGE CUSTOM CRUSHING,9,1,0.1111
TANKATEK,39,10,0.2564
TAURUS CONTRACTORS,21,10,0.4762
TAYLOR FRANCIS,36,1,0.0278
TAYLOR HAZELL ARCHITECTS,10,8,0.8
TCI TRANSLATORS CONFERENCE,16,3,0.1875
TDI INTERNATIONAL,4,4,1
TECAN,25,1,0.04
TECHNE SEATING COMPONENT,87,3,0.0345
TECHNOMICS,6,1,0.1667
TECHNOREM,30,16,0.5333
TECSIS,16,3,0.1875
TEEL TECHNOLOGIES CANADA,57,4,0.0702
TEKNION,1404,81,0.0577
TEKSYSTEMS CANADA,407,211,0.5184
TELECOM COMPUTER SERVICES,439,36,0.082
TELEDYNE,70,8,0.1143
TELESAT,50,21,0.42
TELUS CANADA,643,70,0.1089
TENAQUIP,65,3,0.0462
TERAMACH TECHNOLOGIES,758,54,0.0712
TERLIN CONSTRUCTION,6,3,0.5
TERRA SENSE ANALYTICS,3,0,0
TERUS CONSTRUCTION,2,0,0
TERVITA,35,13,0.3714
TES CONTRACT SERVICES,114,92,0.807
TESTFORCE SYSTEMS,247,6,0.0243
TETRA TECH,197,66,0.335
TFORCE FINAL MILE,9,3,0.3333
THALES,55,5,0.0909
THE AIM GROUP,473,190,0.4017
THE CALGARY AIRPORT AUTHORITY,2,1,0.5
THE CANADA LIFE ASSURANCE COMPANY,8,1,0.125
THE CONFERENCE BOARD OF CANADA,96,8,0.0833
THE GLOBE AND MAIL,9,3,0.3333
THE HALIFAX COMPUTER CONSULTING GROUP,15,8,0.5333
THE HALIFAX GROUP,21,9,0.4286
THE IT BROKER,35,3,0.0857
THE KTL GROUP,34,17,0.5
THE MASHA KRUPP TRANSLATION GROUP,197,37,0.1878
THE MATHWORKS,160,10,0.0625
THE RIGHT DOOR,23,9,0.3913
THE RIGHT DOOR CONSULTING,229,72,0.3144
THE ROYAL ARCHITECTURAL INSTITUTE,2,2,1
THE STEVENS COMPANY,28,1,0.0357
THE UNIVERSITY OF WESTERN ONTARIO,14,1,0.0714
THE VCAN GROUP,29,15,0.5172
THERMO CRS,1,0,0
THERMO FISHER SCIENTIFIC,1380,41,0.0297
THG THE HISTORY GROUP,100,17,0.17
THINKON,7,3,0.4286
THINKPOINT,14,5,0.3571
THOMAS SCHMIDT,26,12,0.4615
THOMPSON BOILER WORKS,74,11,0.1486
THOMSON REUTERS,144,16,0.1111
THORNHILL MEDICAL,1,0,0
THRIVE HEALTH,2,2,1
THYSSENKRUPP ELEVATOR,92,15,0.163
TIREE,179,94,0.5251
TISSEUR,9,9,1
TITAN BOATS,28,9,0.3214
TITANIUM CONSTRUCTION,8,6,0.75
TITUS,10,1,0.1
TLD CANADA,2,0,0
TOFCON CONSTRUCTION,2,2,1
TOM JONES,1,1,1
TOROMONT,442,71,0.1606
TORONTO BAIL PROGRAM,2,1,0.5
TORONTO PORT AUTHORITY,1,1,1
TORONTO STAMP,1,1,1
TOSHIBA CANADA,82,18,0.2195
TOTEM OFFISOURCE,356,23,0.0646
TOURE CLEANING SERVICES,31,13,0.4194
TOYOTA,474,40,0.0844
TPG TECHNOLOGY CONSULTANTS,425,310,0.7294
TRACK24 CANADA,2,2,1
TRADUCTIONS PIERRE CLOUTIER,4,1,0.25
TRADUCTIONS SCRIPTIS,12,3,0.25
TRAINOR MECHANICAL CONTRACTORS,13,7,0.5385
TRANE CANADA,33,10,0.303
TRANSCONTINENTAL PRINTING,1,0,0
TRANSPOLAR TECHNOLOGY,79,13,0.1646
TRANSTEC,3,0,0
TRANSWEST AIR,29,5,0.1724
TRAUGOTT BUILDING CONTRACTORS,2,2,1
TRAYTOWN BUILDERS,12,6,0.5
TRI STAR INDUSTRIES,1,1,1
TRI WAVE CONSTRUCTION,4,1,0.25
TRIDENT CONSTRUCTION,3,3,1
TRIGON ASSOCIATES,1,0,0
TRIPLEWELL CANADA,1,1,1
TRM TECHNOLOGIES,151,69,0.457
TROY LIFE FIRE SAFETY,55,7,0.1273
TRUDELL HEALTHCARE SOLUTIONS,1,0,0
TRUMPF,12,0,0
TSI,33,2,0.0606
TSUU T INA CONTRACTING GP,1,1,1
TULMAR SAFETY SYSTEMS,6,0,0
TUNDRA TECHNICAL SOLUTIONS,41,22,0.5366
TURN KEY CONSTRUCTION,1,0,0
TURNER TOWNSEND,13,7,0.5385
TURTLE ISLAND STAFFING,168,56,0.3333
TYCO INTEGRATED FIRE SECURITY,144,21,0.1458
TYR TACTICAL,2,0,0
U BUILD CONSTRUCTION,4,2,0.5
UBIQUS CANADA,106,27,0.2547
ULTIMATE CONSTRUCTION,4,2,0.5
ULTRA ELECTRONICS,6,2,0.3333
UNCHARTED SOFTWARE,11,2,0.1818
UNIFORM WORKS,13,1,0.0769
UNISOFT INTERNATIONAL,2,0,0
UNISOURCE,20,1,0.05
UNISYNC GROUP,4,0,0
UNISYS CANADA,3,2,0.6667
UNITED CHURCH HALFWAY HOMES,3,2,0.6667
UNITED RENTALS,3,0,0
UNITED RENTALS OF CANADA,24,3,0.125
UNIVERSAL HELICOPTERS,36,10,0.2778
UNIVERSAL PROTECTION SERVICE,4,0,0
UNIVERSAL SHEET METAL,8,3,0.375
UNIVERSITE DE MONTREAL,34,9,0.2647
UNIVERSITE DE SHERBROOKE,27,3,0.1111
UNIVERSITE LAVAL,109,10,0.0917
UNIVERSITE SAINTE ANNE,220,54,0.2455
UNIVERSITY OF ALASKA FAIRBANKS,6,1,0.1667
UNIVERSITY OF ALBERTA,170,25,0.1471
UNIVERSITY OF BRITISH COLUMBIA,104,5,0.0481
UNIVERSITY OF CALGARY,66,8,0.1212
UNIVERSITY OF GUELPH,117,20,0.1709
UNIVERSITY OF MANITOBA,58,1,0.0172
UNIVERSITY OF NEW BRUNSWICK,70,11,0.1571
UNIVERSITY OF OTTAWA,241,21,0.0871
UNIVERSITY OF REGINA,34,2,0.0588
UNIVERSITY OF SASKATCHEWAN,74,13,0.1757
UNIVERSITY OF TORONTO,118,13,0.1102
UNIVERSITY OF WATERLOO,112,12,0.1071
UNIVERSITY OF WESTERN ONTARIO,53,6,0.1132
UQSUQ,2,1,0.5
URBAN VALLEY TRANSPORT,1,1,1
URTHECAST,3,1,0.3333
UTILITIES KINGSTON,1,0,0
VAISALA CANADA,48,8,0.1667
VALARD CONSTRUCTION,3,0,0
VALCOM CONSULTING,17,8,0.4706
VANCOUVER AIRPORT AUTHORITY,1,1,1
VANCOUVER CONVENTION CENTRE,4,0,0
VANCOUVER DRYDOCK COMPANY,6,3,0.5
VANCOUVER FRASER PORT AUTHORITY VFPA,4,1,0.25
VANCOUVER PILE DRIVING,11,6,0.5455
VANCOUVER SHIPYARDS,16,11,0.6875
VANRX PHARMASYSTEMS,5,2,0.4
VARD MARINE,19,2,0.1053
VCI CONTROLS,21,5,0.2381
VECTOR AEROSPACE,65,8,0.1231
VERITAAQ TECHNOLOGY HOUSE,1168,870,0.7449
VERITAS TECHNOLOGIES,9,4,0.4444
VERREAULT NAVIGATION,10,10,1
VERSATIL BPI,22,1,0.0455
VETEMENTS COOKSHIRE,2,2,1
VFA CANADA,12,3,0.25
VFS GLOBAL,11,11,1
VIA TRAVAIL,15,8,0.5333
VIDCRUITER,76,13,0.1711
VIRTUAL POSSIBILITIES DIVISION,1,1,1
VISA SERVICES,1,0,0
VISIONTEC,17,5,0.2941
VMWARE,115,7,0.0609
VOYAGEUR AVIATION,9,1,0.1111
VOYAGEUR TRANSPORTATION,2,1,0.5
VVI CONSTRUCTION,7,4,0.5714
VWR INTERNATIONAL,606,13,0.0215
W S MORGAN CONSTRUCTION,5,4,0.8
WAINWRIGHT MARINE SERVICES,14,1,0.0714
WAJAX,401,54,0.1347
WAMPUM RECORDS,55,15,0.2727
WARTSILA,385,60,0.1558
WASAUKSING FIRST NATION,3,2,0.6667
WASTE CONNECTIONS OF CANADA,27,9,0.3333
WASTE MANAGEMENT OF CANADA,23,5,0.2174
WATCH SYSTEMS L L C,1,1,1
WATCHGUARD VIDEO,39,2,0.0513
WATERS,296,24,0.0811
WATERSHED INFORMATION TECHNOLOGY,6,3,0.5
WATERWORKS CONSTRUCTION,1,1,1
WAZANA CLOTHING,1,1,1
WCG INTERNATIONAL CONSULTANTS,3,1,0.3333
WEATHERHAVEN CANADA,4,0,0
WEBSTER ELECTRIC,40,10,0.25
WEIR CANADA,7,0,0
WESCO DISTRIBUTION CANADA,98,5,0.051
WEST COAST TUG BARGE,12,7,0.5833
WEST WIND AVIATION,7,1,0.1429
WESTBURY NATIONAL SHOW SYSTEMS,57,9,0.1579
WESTCO CONSTRUCTION,5,3,0.6
WESTCOAST GENESIS SOCIETY,7,6,0.8571
WESTCOMB OUTERWEAR,1,1,1
WESTERN CANADA MARINE RESPONSE,9,2,0.2222
WESTERN MECHANICAL ELECTRICAL,2,1,0.5
WESTERN PETROLEUM,58,6,0.1034
WESTJET,2,2,1
WESTOWER COMMUNICATIONS,103,16,0.1553
WHITE BEAR INDUSTRIES,7,2,0.2857
WHITECHURCH CONSTRUCTION,11,4,0.3636
WHOOSHH INNOVATIONS,2,1,0.5
WILCO CONTRACTORS SOUTHWEST,10,7,0.7
WILD STONE ENGINEERING,4,2,0.5
WILDLIFE COMPUTERS,87,7,0.0805
WILDSTONE CONSTRUCTION,10,7,0.7
WILLIAM J BARKER CLINICAL,4,2,0.5
WILLS TRANSFER,49,20,0.4082
WINMAR CANADA INTERNATIONAL,1,1,1
WINMAR LONDON,1,1,1
WINNIPEG AIRPORT AUTHORITY,2,1,0.5
WINTERSTEIGER,74,2,0.027
WM M 1993,6,6,1
WOLTERS KLUWER,104,11,0.1058
WOOD CANADA,338,55,0.1627
WOOD ENVIRONMENT INFRASTRUCTURE,40,11,0.275
WOOD MACKENZIE,13,1,0.0769
WOODWARD S OIL,49,2,0.0408
